"年度","縣市","戶籍登記戶數","戶籍登記戶量","戶籍登記人口數","0-14歲人口數","15-64歲人口數","65歲以上人口數","幼年人口比率(0-14歲)","青壯年人口比率(15-64歲)","老年人口比率(65歲以上)","扶養比","老化指數","男性人口","女性人口","性比例","出生登記數","死亡登記數","粗出生率","粗死亡率","自然增加率","遷入人口數","遷出人口數","社會增加率","人口增加率","人口密度","15-49婦女人口數","婚生出生登記數","非婚生出生登記數","棄嬰或無依兒童數","婚生嬰兒占出生嬰兒比率","非婚生嬰兒占出生嬰兒比率","棄嬰或無依兒童占出生嬰兒比率","一般生育率","結婚登記對數","離婚登記對數","粗結婚率","粗離婚率","15歲以上未婚人口數","15歲以上有偶人口數","15歲以上離婚人口數","15歲以上喪偶人口數","15歲以上人口未婚比率","15歲以上人口有偶比率","15歲以上人口喪偶比率","15歲以上人口離婚比率","0歲人口數","1歲人口數","2歲人口數","3歲人口數","4歲人口數","5歲人口數","6歲人口數","7歲人口數","8歲人口數","9歲人口數","10歲人口數","11歲人口數","12歲人口數","13歲人口數","14歲人口數","15歲人口數","16歲人口數","17歲人口數","18歲人口數","19歲人口數","20歲人口數","21歲人口數","22歲人口數","23歲人口數","24歲人口數","25歲人口數","26歲人口數","27歲人口數","28歲人口數","29歲人口數","30歲人口數","31歲人口數","32歲人口數","33歲人口數","34歲人口數","35歲人口數","36歲人口數","37歲人口數","38歲人口數","39歲人口數","40歲人口數","41歲人口數","42歲人口數","43歲人口數","44歲人口數","45歲人口數","46歲人口數","47歲人口數","48歲人口數","49歲人口數","50歲人口數","51歲人口數","52歲人口數","53歲人口數","54歲人口數","55歲人口數","56歲人口數","57歲人口數","58歲人口數","59歲人口數","60歲人口數","61歲人口數","62歲人口數","63歲人口數","64歲人口數","65歲人口數","66歲人口數","67歲人口數","68歲人口數","69歲人口數","70歲人口數","71歲人口數","72歲人口數","73歲人口數","74歲人口數","75歲人口數","76歲人口數","77歲人口數","78歲人口數","79歲人口數","80歲人口數","81歲人口數","82歲人口數","83歲人口數","84歲人口數","85歲人口數","86歲人口數","87歲人口數","88歲人口數","89歲人口數","90歲人口數","91歲人口數","92歲人口數","93歲人口數","94歲人口數","95歲人口數","96歲人口數","97歲人口數","98歲人口數","99歲人口數","100歲以上人口數"
1998, 總計,6369768.000000,3.440000,21928591.000000,4815400.000000,15302960.000000,1810231.000000,21.960000,69.790000,8.260000,43.300000,37.590000,11243408.000000,10685183.000000,105.220000,271450.000000,123180.000000,12.430000,5.640000,6.790000,1635617.000000,1598111.000000,1.720000,8.540000,605.960000,6287996.000000,262081.000000,9294.000000,75.000000,96.548536,3.420000,0.027629,43.000000,145976.000000,43603.000000,6.690000,2.000000,5872881.000000,9728171.000000,634162.000000,877977.000000,34.320000,56.850000,5.130000,3.710000,254776.000000,322470.000000,322134.000000,324123.000000,322386.000000,326628.000000,320862.000000,319169.000000,335645.000000,311368.000000,342033.000000,309642.000000,301356.000000,338566.000000,364242.000000,375756.000000,395979.000000,406084.000000,401099.000000,410360.000000,398417.000000,379496.000000,413504.000000,356931.000000,351922.000000,351727.000000,352174.000000,364089.000000,375140.000000,377697.000000,377740.000000,361495.000000,388973.000000,384536.000000,391772.000000,397709.000000,392645.000000,387765.000000,384334.000000,381414.000000,369550.000000,351211.000000,363269.000000,355205.000000,336780.000000,324250.000000,317938.000000,322250.000000,272099.000000,253847.000000,223411.000000,196954.000000,160628.000000,144734.000000,169464.000000,173196.000000,170357.000000,172365.000000,172079.000000,163948.000000,154113.000000,152248.000000,143711.000000,142605.000000,137990.000000,133062.000000,133037.000000,136181.000000,135810.000000,129648.000000,124511.000000,116614.000000,111127.000000,101996.000000,88828.000000,79156.000000,75977.000000,70689.000000,58338.000000,49410.000000,42999.000000,38862.000000,31733.000000,28251.000000,25584.000000,21800.000000,19925.000000,13669.000000,10878.000000,8504.000000,6111.000000,4815.000000,3584.000000,2745.000000,1834.000000,1313.000000,980.000000,727.000000,456.000000,274.000000,803.000000
1998, 臺灣地區,6350613.000000,3.440000,21870876.000000,4802764.000000,15264921.000000,1803191.000000,21.960000,69.800000,8.240000,43.280000,37.540000,11213301.000000,10657575.000000,105.210000,270779.000000,122806.000000,12.430000,5.640000,6.790000,1631141.000000,1591554.000000,1.820000,8.650000,607.420000,6273765.000000,261419.000000,9285.000000,75.000000,96.543307,3.430000,0.027698,43.000000,145678.000000,43574.000000,6.690000,2.000000,5857450.000000,9702324.000000,633651.000000,874687.000000,34.320000,56.840000,5.120000,3.710000,254130.000000,321722.000000,321415.000000,323373.000000,321599.000000,325868.000000,320087.000000,318426.000000,334835.000000,310556.000000,341036.000000,308730.000000,300376.000000,337531.000000,363080.000000,374614.000000,394826.000000,404937.000000,399977.000000,409145.000000,397261.000000,378330.000000,412291.000000,355887.000000,350873.000000,350730.000000,351273.000000,363230.000000,374350.000000,376961.000000,377039.000000,360845.000000,388172.000000,383739.000000,390967.000000,396959.000000,391871.000000,387104.000000,383564.000000,380722.000000,368784.000000,350285.000000,362416.000000,354470.000000,335908.000000,323564.000000,317185.000000,321550.000000,271589.000000,253288.000000,222871.000000,196492.000000,160216.000000,144302.000000,168973.000000,172736.000000,169853.000000,171908.000000,171593.000000,163454.000000,153542.000000,151656.000000,143151.000000,142075.000000,137393.000000,132450.000000,132475.000000,135670.000000,135352.000000,129248.000000,124105.000000,116277.000000,110776.000000,101656.000000,88494.000000,78882.000000,75713.000000,70401.000000,58116.000000,49230.000000,42814.000000,38697.000000,31577.000000,28122.000000,25455.000000,21674.000000,19760.000000,13597.000000,10802.000000,8452.000000,6050.000000,4782.000000,3547.000000,2718.000000,1806.000000,1298.000000,974.000000,715.000000,449.000000,270.000000,787.000000
1998, 新北市,1062767.000000,3.260000,3459624.000000,773207.000000,2471534.000000,214883.000000,22.350000,71.440000,6.210000,39.980000,27.790000,1751279.000000,1708345.000000,102.510000,39617.000000,14442.000000,11.520000,4.200000,7.320000,267164.000000,253250.000000,4.040000,11.430000,1685.510000,1066503.000000,38117.000000,1484.000000,16.000000,96.213747,3.750000,0.040387,37.000000,23463.000000,7722.000000,6.820000,2.240000,978273.000000,1492156.000000,110576.000000,105412.000000,36.420000,55.540000,3.920000,4.120000,36437.000000,46240.000000,46620.000000,48752.000000,49928.000000,52597.000000,53911.000000,54031.000000,56870.000000,52593.000000,57572.000000,51453.000000,49242.000000,56387.000000,60574.000000,62929.000000,66744.000000,68150.000000,66995.000000,68970.000000,65898.000000,61960.000000,67315.000000,57488.000000,56360.000000,55731.000000,56062.000000,57666.000000,59502.000000,60187.000000,60341.000000,58225.000000,63342.000000,64221.000000,65532.000000,67662.000000,66823.000000,65585.000000,65461.000000,65489.000000,63777.000000,59977.000000,62500.000000,61181.000000,57498.000000,55594.000000,53953.000000,53253.000000,44424.000000,41241.000000,35164.000000,30822.000000,24644.000000,21442.000000,25118.000000,25306.000000,24127.000000,23697.000000,23225.000000,21370.000000,19442.000000,18962.000000,17543.000000,16781.000000,15855.000000,15441.000000,15668.000000,15681.000000,15868.000000,15110.000000,14679.000000,13900.000000,13281.000000,12333.000000,10719.000000,9529.000000,9150.000000,8413.000000,7077.000000,6122.000000,5205.000000,4498.000000,3712.000000,3286.000000,3142.000000,2530.000000,2463.000000,1576.000000,1207.000000,1050.000000,773.000000,570.000000,494.000000,382.000000,282.000000,174.000000,159.000000,111.000000,76.000000,62.000000,160.000000
1998, 臺北市,869803.000000,3.040000,2639939.000000,535910.000000,1860567.000000,243462.000000,20.300000,70.480000,9.220000,41.890000,45.430000,1311789.000000,1328150.000000,98.770000,30203.000000,12374.000000,11.530000,4.720000,6.810000,230402.000000,206785.000000,9.020000,15.950000,9712.810000,799108.000000,29144.000000,1040.000000,19.000000,96.493726,3.440000,0.062908,38.000000,17707.000000,5788.000000,6.760000,2.210000,751309.000000,1166647.000000,94413.000000,91660.000000,35.710000,55.450000,4.360000,4.490000,29522.000000,37941.000000,37370.000000,37860.000000,36327.000000,35964.000000,34278.000000,33623.000000,36157.000000,33840.000000,37457.000000,34195.000000,33721.000000,37463.000000,40192.000000,41612.000000,42894.000000,43663.000000,42473.000000,42853.000000,41121.000000,38173.000000,44638.000000,37227.000000,38172.000000,38308.000000,38864.000000,41202.000000,43561.000000,44390.000000,44414.000000,43236.000000,45782.000000,46128.000000,48099.000000,48714.000000,48062.000000,48012.000000,48952.000000,49580.000000,49218.000000,47374.000000,49776.000000,49289.000000,46840.000000,46103.000000,45660.000000,45390.000000,39593.000000,37260.000000,31800.000000,28707.000000,22423.000000,19279.000000,22023.000000,22387.000000,21636.000000,21121.000000,21048.000000,19618.000000,17904.000000,17458.000000,16475.000000,16430.000000,15625.000000,15470.000000,16125.000000,16263.000000,16632.000000,16293.000000,15956.000000,15099.000000,15031.000000,14362.000000,12685.000000,11532.000000,11129.000000,10244.000000,8632.000000,7443.000000,6354.000000,5718.000000,4791.000000,4194.000000,3878.000000,3269.000000,3291.000000,1912.000000,1584.000000,1307.000000,932.000000,793.000000,616.000000,490.000000,337.000000,275.000000,233.000000,151.000000,100.000000,57.000000,284.000000
1998, 桃園市,466035.000000,3.540000,1650984.000000,407334.000000,1120569.000000,123081.000000,24.670000,67.870000,7.460000,47.330000,30.220000,851908.000000,799076.000000,106.610000,22865.000000,7690.000000,14.000000,4.710000,9.290000,121849.000000,100511.000000,13.070000,22.620000,1352.210000,481098.000000,22005.000000,857.000000,3.000000,96.238793,3.750000,0.013120,48.000000,12089.000000,3791.000000,7.400000,2.320000,420525.000000,723464.000000,47983.000000,51678.000000,33.810000,58.170000,4.160000,3.860000,21733.000000,27212.000000,27247.000000,27586.000000,27813.000000,27920.000000,28315.000000,28060.000000,29538.000000,26808.000000,28718.000000,25559.000000,24333.000000,27173.000000,29319.000000,30010.000000,31454.000000,31783.000000,30268.000000,30622.000000,29263.000000,27580.000000,29920.000000,26041.000000,25944.000000,26234.000000,27015.000000,28330.000000,29505.000000,29825.000000,29995.000000,28832.000000,31244.000000,31480.000000,31260.000000,31771.000000,31185.000000,29771.000000,29378.000000,28982.000000,27699.000000,26214.000000,26932.000000,25754.000000,24214.000000,22482.000000,22334.000000,21589.000000,17799.000000,16770.000000,14305.000000,12535.000000,10658.000000,9418.000000,10835.000000,10872.000000,10529.000000,10438.000000,10261.000000,9543.000000,9148.000000,8728.000000,8296.000000,7808.000000,7716.000000,7776.000000,8378.000000,9006.000000,9937.000000,9676.000000,9445.000000,8623.000000,8208.000000,7576.000000,6197.000000,5475.000000,4886.000000,4488.000000,3643.000000,3117.000000,2761.000000,2381.000000,2101.000000,1768.000000,1601.000000,1343.000000,1152.000000,788.000000,678.000000,529.000000,409.000000,310.000000,227.000000,163.000000,124.000000,86.000000,72.000000,55.000000,35.000000,20.000000,47.000000
1998, 臺中市,664814.000000,3.590000,2385367.000000,578409.000000,1647734.000000,159224.000000,24.250000,69.080000,6.680000,44.770000,27.530000,1209205.000000,1176162.000000,102.810000,30981.000000,11307.000000,13.090000,4.780000,8.310000,184326.000000,168355.000000,6.750000,15.170000,1076.970000,705699.000000,29981.000000,993.000000,7.000000,96.772215,3.210000,0.022594,44.000000,15762.000000,4839.000000,6.660000,2.040000,621663.000000,1036808.000000,66131.000000,82356.000000,34.400000,57.380000,4.560000,3.660000,28910.000000,37766.000000,38254.000000,37793.000000,38266.000000,39344.000000,39736.000000,39534.000000,41367.000000,38138.000000,41379.000000,37535.000000,36392.000000,40692.000000,43303.000000,43643.000000,45837.000000,46686.000000,45790.000000,46022.000000,44336.000000,41554.000000,44412.000000,38353.000000,37039.000000,37459.000000,37911.000000,39116.000000,41116.000000,41979.000000,42766.000000,41417.000000,43928.000000,43500.000000,44556.000000,45026.000000,44309.000000,43228.000000,42733.000000,42188.000000,40016.000000,37746.000000,39088.000000,38056.000000,36291.000000,34424.000000,33019.000000,33212.000000,28522.000000,25358.000000,22283.000000,19541.000000,16395.000000,14770.000000,16458.000000,16576.000000,16471.000000,16197.000000,16211.000000,15697.000000,14146.000000,14117.000000,13045.000000,12742.000000,12449.000000,11913.000000,12140.000000,12105.000000,12245.000000,11792.000000,11431.000000,10620.000000,10137.000000,9397.000000,7669.000000,6764.000000,6646.000000,5882.000000,4851.000000,4152.000000,3497.000000,3172.000000,2701.000000,2362.000000,2066.000000,1807.000000,1511.000000,1092.000000,788.000000,689.000000,486.000000,371.000000,279.000000,210.000000,129.000000,110.000000,63.000000,53.000000,38.000000,11.000000,45.000000
1998, 臺南市,532961.000000,3.420000,1822102.000000,384981.000000,1273171.000000,163950.000000,21.130000,69.870000,9.000000,43.120000,42.590000,934360.000000,887742.000000,105.250000,20543.000000,11389.000000,11.300000,6.260000,5.030000,141776.000000,142890.000000,-0.610000,4.430000,831.380000,512889.000000,19803.000000,737.000000,3.000000,96.397800,3.590000,0.014604,40.000000,10842.000000,3377.000000,5.960000,1.860000,479236.000000,824514.000000,51023.000000,82348.000000,33.350000,57.370000,5.730000,3.550000,19359.000000,24967.000000,24574.000000,25143.000000,24977.000000,25970.000000,24892.000000,25490.000000,26893.000000,25332.000000,28388.000000,25733.000000,24822.000000,28153.000000,30288.000000,30730.000000,32349.000000,33588.000000,33172.000000,34212.000000,33504.000000,31736.000000,34304.000000,29004.000000,28479.000000,28496.000000,27925.000000,29057.000000,29889.000000,30578.000000,30790.000000,29346.000000,32338.000000,31655.000000,32590.000000,32738.000000,32959.000000,33505.000000,32664.000000,32132.000000,31035.000000,29803.000000,30108.000000,28825.000000,27529.000000,26344.000000,25655.000000,27018.000000,22194.000000,20795.000000,19069.000000,15903.000000,12767.000000,11747.000000,14348.000000,15081.000000,13949.000000,15075.000000,14959.000000,14216.000000,13822.000000,13869.000000,13569.000000,13905.000000,13846.000000,12661.000000,12287.000000,12981.000000,12778.000000,11761.000000,11305.000000,10218.000000,9817.000000,8575.000000,7946.000000,6911.000000,6701.000000,6542.000000,5174.000000,4273.000000,3755.000000,3727.000000,2667.000000,2564.000000,2293.000000,2022.000000,1892.000000,1357.000000,1082.000000,749.000000,538.000000,413.000000,300.000000,240.000000,123.000000,95.000000,63.000000,55.000000,25.000000,21.000000,39.000000
1998, 高雄市,833937.000000,3.220000,2689374.000000,563944.000000,1929667.000000,195763.000000,20.970000,71.750000,7.280000,39.370000,34.710000,1380319.000000,1309055.000000,105.440000,30876.000000,14471.000000,11.540000,5.410000,6.130000,272889.000000,263222.000000,3.610000,9.790000,912.810000,796816.000000,29811.000000,1052.000000,13.000000,96.550719,3.410000,0.042104,39.000000,17217.000000,5707.000000,6.430000,2.130000,752677.000000,1180759.000000,89413.000000,102581.000000,35.410000,55.550000,4.830000,4.210000,29077.000000,36971.000000,37285.000000,37646.000000,37491.000000,38315.000000,37260.000000,37530.000000,39485.000000,36364.000000,41009.000000,36322.000000,35299.000000,40206.000000,43684.000000,45420.000000,48398.000000,49921.000000,50434.000000,51702.000000,51091.000000,49190.000000,54627.000000,47341.000000,46454.000000,46231.000000,45628.000000,46754.000000,48127.000000,47374.000000,47435.000000,45146.000000,47755.000000,46725.000000,47582.000000,47671.000000,47711.000000,47524.000000,47213.000000,46280.000000,45788.000000,44474.000000,46154.000000,45787.000000,43338.000000,42404.000000,41543.000000,42986.000000,36708.000000,33257.000000,30280.000000,25478.000000,20276.000000,19041.000000,22088.000000,22144.000000,21296.000000,21572.000000,20786.000000,19524.000000,18629.000000,17736.000000,16401.000000,16619.000000,15624.000000,14832.000000,14705.000000,15499.000000,15444.000000,14452.000000,14068.000000,12787.000000,12548.000000,11458.000000,9946.000000,8593.000000,8142.000000,7624.000000,6071.000000,5003.000000,4391.000000,3693.000000,2959.000000,2624.000000,2431.000000,2093.000000,1807.000000,1194.000000,953.000000,703.000000,491.000000,385.000000,266.000000,191.000000,132.000000,76.000000,76.000000,54.000000,25.000000,12.000000,35.000000
1998, 宜蘭縣,127466.000000,3.650000,465627.000000,102114.000000,318973.000000,44540.000000,21.930000,68.500000,9.570000,45.980000,43.620000,241261.000000,224366.000000,107.530000,5992.000000,3116.000000,12.860000,6.690000,6.170000,28856.000000,32708.000000,-8.260000,-2.090000,217.210000,125167.000000,5777.000000,214.000000,1.000000,96.411883,3.570000,0.016689,48.000000,3031.000000,808.000000,6.500000,1.730000,119161.000000,209470.000000,11468.000000,23414.000000,32.780000,57.620000,6.440000,3.150000,5615.000000,7191.000000,7107.000000,7151.000000,6947.000000,7173.000000,6781.000000,6726.000000,6948.000000,6545.000000,7064.000000,6425.000000,6154.000000,6867.000000,7420.000000,7756.000000,8248.000000,8487.000000,8324.000000,8508.000000,8446.000000,8122.000000,8797.000000,7762.000000,7841.000000,7918.000000,7615.000000,7862.000000,8148.000000,8280.000000,7909.000000,7392.000000,7878.000000,7634.000000,7831.000000,7940.000000,7688.000000,7691.000000,7579.000000,7361.000000,7031.000000,6562.000000,6981.000000,6800.000000,6289.000000,6216.000000,5834.000000,6057.000000,5158.000000,4736.000000,4057.000000,3606.000000,3281.000000,3145.000000,3691.000000,4007.000000,4225.000000,4268.000000,4510.000000,4164.000000,4049.000000,4015.000000,3898.000000,3742.000000,3634.000000,3546.000000,3344.000000,3429.000000,3377.000000,3164.000000,2917.000000,2814.000000,2718.000000,2327.000000,2058.000000,1954.000000,1903.000000,1580.000000,1499.000000,1222.000000,1043.000000,970.000000,833.000000,709.000000,646.000000,595.000000,452.000000,338.000000,311.000000,236.000000,152.000000,105.000000,85.000000,76.000000,48.000000,29.000000,15.000000,15.000000,8.000000,10.000000,12.000000
1998, 新竹縣,108693.000000,3.940000,427980.000000,103554.000000,284564.000000,39862.000000,24.200000,66.490000,9.310000,50.400000,38.490000,224762.000000,203218.000000,110.600000,6599.000000,2676.000000,15.530000,6.300000,9.230000,24293.000000,21957.000000,5.500000,14.840000,299.790000,111664.000000,6419.000000,180.000000,-,97.272314,2.730000,-,59.000000,3182.000000,815.000000,7.490000,1.920000,100096.000000,196340.000000,9926.000000,18064.000000,30.850000,60.520000,5.570000,3.060000,6309.000000,7673.000000,7684.000000,7486.000000,7608.000000,7364.000000,7100.000000,6989.000000,7224.000000,6510.000000,6824.000000,5947.000000,5831.000000,6249.000000,6756.000000,6963.000000,7421.000000,7428.000000,7211.000000,7422.000000,7122.000000,6789.000000,7610.000000,6299.000000,6778.000000,6758.000000,6893.000000,7330.000000,7484.000000,7785.000000,7624.000000,7273.000000,7861.000000,8016.000000,7773.000000,7975.000000,7620.000000,7404.000000,7289.000000,6887.000000,6477.000000,5997.000000,6026.000000,5954.000000,5539.000000,5230.000000,5029.000000,5105.000000,4222.000000,4126.000000,3340.000000,3203.000000,2771.000000,2560.000000,3078.000000,3321.000000,3254.000000,3471.000000,3474.000000,3414.000000,3291.000000,3378.000000,3135.000000,3158.000000,2996.000000,2892.000000,2935.000000,2862.000000,3005.000000,2806.000000,2789.000000,2537.000000,2345.000000,2189.000000,1897.000000,1763.000000,1585.000000,1431.000000,1259.000000,1112.000000,926.000000,891.000000,813.000000,668.000000,608.000000,491.000000,417.000000,379.000000,273.000000,230.000000,198.000000,153.000000,110.000000,93.000000,56.000000,44.000000,39.000000,29.000000,14.000000,11.000000,12.000000
