"年度","縣市","勞動力人口數","勞動力參與率","失業率","年齡別失業率-15-24歲","年齡別失業率-25-44歲","年齡別失業率-45-64歲","年齡別失業率-65歲及以上","教育程度別失業率-大專及以上","教育程度別失業率-高中(職)","教育程度別失業率-國中及以下","就業人口數","就業者之行業結構-工業","就業者之行業結構-服務業","就業者之行業結構-農林漁牧業","就業者之教育程度結構-大專及以上","就業者之教育程度結構-高中(職)","就業者之教育程度結構-國中及以下","就業者之年齡別結構-15-24歲","就業者之年齡別結構-25-44歲","就業者之年齡別結構-45-64歲","就業者之年齡別結構-65歲及以上","失能傷害次數","總經歷工時","失能傷害頻率"
1998, 總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6162.000000,2877150226.000000,2.140000
1998, 臺灣地區,9546.000000,58.000000,2.700000,7.300000,2.300000,1.400000,0.200000,2.800000,3.100000,2.300000,9289.000000,37.920000,53.230000,8.850000,24.900000,34.600000,40.500000,12.570000,60.840000,24.980000,1.620000,6162.000000,2877150226.000000,2.140000
1998, 新北市,1522.000000,58.900000,2.800000,7.400000,2.100000,2.000000,0.800000,2.500000,3.200000,2.600000,1480.000000,43.750000,54.550000,1.690000,24.940000,35.530000,39.530000,13.310000,63.740000,22.190000,0.760000,490.000000,297193746.000000,1.650000
1998, 臺北市,1143.000000,56.100000,2.600000,7.300000,2.600000,1.200000,-,2.300000,3.000000,2.500000,1113.000000,21.650000,77.950000,0.400000,47.330000,32.170000,20.500000,8.160000,63.740000,26.810000,1.290000,658.000000,373822510.000000,1.760000
1998, 桃園市,682.000000,57.300000,2.100000,5.500000,1.700000,1.000000,-,2.500000,1.900000,1.900000,668.000000,50.200000,46.140000,3.660000,23.310000,39.470000,37.220000,13.440000,65.210000,20.180000,1.180000,1420.000000,535538164.000000,2.650000
1998, 臺中市,1032.000000,59.400000,2.600000,7.000000,2.100000,1.300000,0.200000,2.900000,3.000000,2.100000,1005.000000,40.910000,53.310000,5.790000,25.810000,37.290000,36.900000,13.960000,62.150000,22.480000,1.410000,416.000000,280831305.000000,1.480000
1998, 臺南市,840.000000,60.400000,3.300000,8.800000,2.900000,1.800000,0.100000,3.300000,3.800000,2.900000,812.000000,41.160000,46.290000,12.550000,22.760000,31.090000,46.160000,12.040000,58.540000,26.590000,2.830000,312.000000,272126972.000000,1.150000
1998, 高雄市,1153.000000,56.700000,3.200000,7.700000,2.800000,1.800000,0.200000,3.800000,3.100000,2.800000,1116.000000,37.670000,56.370000,5.960000,24.310000,38.300000,37.390000,13.180000,60.540000,25.020000,1.260000,1165.000000,406476642.000000,2.870000
1998, 宜蘭縣,205.000000,58.200000,3.400000,7.000000,3.000000,2.800000,0.200000,2.800000,3.200000,3.800000,198.000000,37.870000,52.000000,10.130000,16.350000,31.230000,52.420000,13.490000,59.520000,24.860000,2.130000,137.000000,42217361.000000,3.250000
1998, 新竹縣,194.000000,62.200000,2.300000,7.500000,1.500000,1.300000,-,2.200000,2.700000,1.800000,190.000000,56.340000,36.350000,7.310000,22.770000,38.980000,38.250000,12.620000,61.570000,24.030000,1.780000,301.000000,99022846.000000,3.040000
1998, 苗栗縣,249.000000,59.300000,2.100000,5.800000,1.900000,0.800000,0.200000,2.800000,2.600000,1.400000,244.000000,46.370000,40.950000,12.680000,16.380000,36.880000,46.750000,13.150000,57.820000,26.030000,3.010000,268.000000,84433959.000000,3.170000
1998, 彰化縣,541.000000,55.700000,1.800000,5.600000,1.400000,0.600000,0.200000,2.100000,2.500000,1.200000,532.000000,44.110000,39.580000,16.300000,16.380000,31.570000,52.050000,14.440000,57.280000,26.390000,1.890000,225.000000,149186148.000000,1.510000
1998, 南投縣,250.000000,60.300000,2.500000,9.600000,1.800000,0.700000,-,4.000000,3.000000,1.700000,244.000000,30.490000,43.780000,25.730000,15.790000,30.230000,53.980000,12.300000,56.490000,28.990000,2.230000,38.000000,39803080.000000,0.950000
1998, 雲林縣,350.000000,60.100000,2.300000,7.500000,2.100000,0.500000,-,4.800000,3.300000,1.300000,342.000000,32.170000,39.020000,28.810000,13.610000,26.410000,59.980000,13.310000,52.860000,31.030000,2.790000,140.000000,50718464.000000,2.760000
1998, 嘉義縣,270.000000,61.100000,2.500000,8.000000,2.000000,1.000000,0.700000,3.100000,4.200000,1.600000,264.000000,31.370000,37.060000,31.570000,12.360000,25.880000,61.760000,12.460000,53.720000,29.930000,3.890000,101.000000,48361853.000000,2.090000
1998, 屏東縣,381.000000,54.900000,2.800000,7.900000,2.100000,1.900000,-,3.100000,3.300000,2.300000,370.000000,29.310000,48.130000,22.570000,16.400000,35.700000,47.900000,12.400000,58.360000,28.180000,1.060000,101.000000,53683683.000000,1.880000
1998, 臺東縣,114.000000,59.000000,3.300000,8.000000,3.000000,1.700000,-,2.500000,4.400000,2.900000,110.000000,30.480000,42.730000,26.790000,8.690000,29.240000,62.070000,14.040000,56.360000,27.130000,2.470000,30.000000,8242238.000000,3.640000
1998, 花蓮縣,154.000000,56.600000,2.800000,6.400000,2.600000,1.500000,-,2.700000,3.500000,2.400000,149.000000,29.160000,57.600000,13.250000,17.510000,35.310000,47.180000,13.700000,57.910000,26.410000,1.990000,51.000000,25949312.000000,1.970000
1998, 澎湖縣,35.000000,49.700000,1.700000,6.300000,1.200000,0.200000,-,1.900000,2.300000,0.900000,34.000000,19.620000,71.200000,9.190000,23.610000,38.850000,37.540000,13.740000,57.850000,27.460000,0.960000,1.000000,3111749.000000,0.320000
1998, 基隆市,166.000000,57.000000,4.000000,11.600000,3.200000,2.000000,-,3.400000,4.500000,3.800000,159.000000,31.060000,67.920000,1.020000,22.820000,40.780000,36.400000,12.310000,63.810000,22.780000,1.100000,136.000000,40637300.000000,3.350000
1998, 新竹市,158.000000,60.200000,2.500000,6.200000,2.100000,1.400000,0.700000,1.700000,3.200000,2.500000,154.000000,43.940000,53.610000,2.460000,31.140000,33.660000,35.210000,12.700000,62.640000,23.190000,1.470000,111.000000,33069884.000000,3.360000
1998, 嘉義市,107.000000,54.200000,2.500000,5.700000,2.400000,1.600000,-,2.100000,2.700000,2.800000,105.000000,25.710000,70.130000,4.160000,35.240000,36.500000,28.260000,10.460000,61.250000,26.660000,1.620000,61.000000,32723010.000000,1.860000
1998, 金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998, 連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
