"年度","縣市","勞資爭議件數","勞資爭議終結件數","勞資爭議人數","勞工服務中心服務案件"
1998, 總計,-,-,-,69147.000000
1998, 臺灣地區,-,-,-,69147.000000
1998, 新北市,-,-,-,7832.000000
1998, 臺北市,-,-,-,19206.000000
1998, 桃園市,-,-,-,1096.000000
1998, 臺中市,-,-,-,9741.000000
1998, 臺南市,-,-,-,921.000000
1998, 高雄市,-,-,-,4333.000000
1998, 宜蘭縣,-,-,-,317.000000
1998, 新竹縣,-,-,-,408.000000
1998, 苗栗縣,-,-,-,598.000000
1998, 彰化縣,-,-,-,1771.000000
1998, 南投縣,-,-,-,8955.000000
1998, 雲林縣,-,-,-,3460.000000
1998, 嘉義縣,-,-,-,1163.000000
1998, 屏東縣,-,-,-,3886.000000
1998, 臺東縣,-,-,-,125.000000
1998, 花蓮縣,-,-,-,727.000000
1998, 澎湖縣,-,-,-,301.000000
1998, 基隆市,-,-,-,367.000000
1998, 新竹市,-,-,-,1336.000000
1998, 嘉義市,-,-,-,2604.000000
1998, 金門縣,-,-,-,-
1998, 連江縣,-,-,-,-
1999, 總計,5850.000000,-,30085.000000,83414.000000
1999, 臺灣地區,5850.000000,-,30085.000000,83414.000000
1999, 新北市,882.000000,-,8497.000000,7957.000000
1999, 臺北市,1297.000000,-,5217.000000,16351.000000
1999, 桃園市,417.000000,-,1387.000000,1042.000000
1999, 臺中市,631.000000,-,4342.000000,22157.000000
1999, 臺南市,643.000000,-,1805.000000,1213.000000
1999, 高雄市,971.000000,-,4750.000000,2960.000000
1999, 宜蘭縣,95.000000,-,249.000000,390.000000
1999, 新竹縣,81.000000,-,693.000000,257.000000
1999, 苗栗縣,115.000000,-,807.000000,615.000000
1999, 彰化縣,287.000000,-,608.000000,1654.000000
1999, 南投縣,80.000000,-,225.000000,14674.000000
1999, 雲林縣,36.000000,-,116.000000,3132.000000
1999, 嘉義縣,90.000000,-,178.000000,1656.000000
1999, 屏東縣,67.000000,-,795.000000,3387.000000
1999, 臺東縣,5.000000,-,13.000000,262.000000
1999, 花蓮縣,30.000000,-,53.000000,686.000000
1999, 澎湖縣,2.000000,-,2.000000,511.000000
1999, 基隆市,58.000000,-,115.000000,369.000000
1999, 新竹市,43.000000,-,185.000000,1568.000000
1999, 嘉義市,20.000000,-,48.000000,2573.000000
1999, 金門縣,-,-,-,-
1999, 連江縣,-,-,-,-
2000, 總計,8001.000000,-,56175.000000,100617.000000
2000, 臺灣地區,8001.000000,-,56175.000000,100617.000000
2000, 新北市,1339.000000,-,3195.000000,15308.000000
2000, 臺北市,1560.000000,-,22845.000000,13705.000000
2000, 桃園市,513.000000,-,6319.000000,1241.000000
2000, 臺中市,1268.000000,-,2427.000000,26081.000000
2000, 臺南市,854.000000,-,3121.000000,1880.000000
2000, 高雄市,1235.000000,-,8874.000000,4640.000000
2000, 宜蘭縣,104.000000,-,664.000000,2297.000000
2000, 新竹縣,66.000000,-,462.000000,472.000000
2000, 苗栗縣,142.000000,-,2594.000000,880.000000
2000, 彰化縣,330.000000,-,3324.000000,2279.000000
2000, 南投縣,80.000000,-,375.000000,14642.000000
2000, 雲林縣,53.000000,-,97.000000,3220.000000
2000, 嘉義縣,120.000000,-,852.000000,3043.000000
2000, 屏東縣,126.000000,-,279.000000,3227.000000
2000, 臺東縣,4.000000,-,4.000000,646.000000
2000, 花蓮縣,58.000000,-,126.000000,2248.000000
2000, 澎湖縣,-,-,-,300.000000
2000, 基隆市,77.000000,-,347.000000,353.000000
2000, 新竹市,49.000000,-,245.000000,2055.000000
2000, 嘉義市,23.000000,-,25.000000,2100.000000
2000, 金門縣,-,-,-,-
2000, 連江縣,-,-,-,-
2001, 總計,10929.000000,-,58580.000000,128133.000000
2001, 臺灣地區,10929.000000,-,58580.000000,128133.000000
2001, 新北市,1755.000000,-,4068.000000,34249.000000
2001, 臺北市,2135.000000,-,14892.000000,16925.000000
2001, 桃園市,730.000000,-,8033.000000,1977.000000
2001, 臺中市,1426.000000,-,2660.000000,27476.000000
2001, 臺南市,1010.000000,-,3549.000000,3446.000000
2001, 高雄市,2161.000000,-,14524.000000,4342.000000
2001, 宜蘭縣,119.000000,-,1011.000000,469.000000
2001, 新竹縣,111.000000,-,661.000000,459.000000
2001, 苗栗縣,209.000000,-,4454.000000,1297.000000
2001, 彰化縣,425.000000,-,990.000000,2509.000000
2001, 南投縣,98.000000,-,175.000000,15218.000000
2001, 雲林縣,88.000000,-,128.000000,3425.000000
