"年度","縣市","歲入","歲出","經常收入","經常支出","經常收支賸餘","歲入來源別-稅課收入","歲入來源別-規費收入","歲入來源別-罰款及賠償收入","歲入來源別-補助及協助收入","歲入來源別-財產收入","歲入來源別-營業盈餘及事業收入","歲入來源別-工程受益費收入","歲入來源別-信託管理收入","歲入來源別-捐獻及贈與收入","歲入來源別-其他收入","歲入來源別結構比-稅課收入","歲入來源別結構比-規費及罰款收入","歲入來源別結構比-補助及協助收入","歲入來源別結構比-財產收入","歲入來源別結構比-營業盈餘及事業收入","歲入來源別結構比-其他收入","歲出政事別-一般政務支出","歲出政事別-經濟發展支出","歲出政事別-教育科學文化支出","歲出政事別-社會福利支出","歲出政事別-社區發展及環保支出","歲出政事別-退休撫卹支出","歲出政事別-警政支出","歲出政事別-債務支出","歲出政事別-協助及補助支出","歲出政事別-其他支出","歲出政事別結構比-一般政務支出","歲出政事別結構比-經濟發展支出","歲出政事別結構比-教育科學文化支出","歲出政事別結構比-社會福利支出","歲出政事別結構比-社區發展及環保支出","歲出政事別結構比-退休撫卹支出","歲出政事別結構比-警政支出","歲出政事別結構比-債務支出","歲出政事別結構比-協助及補助支出","歲出政事別結構比-其他支出","稅課收入-統籌分配稅收入","自籌財源","自籌財源比率","歲出財源-融資性收入","融資需求-歲入歲出差短","融資需求-債務之償還","補助及協助收入依存度","融資性收入依存度"
1998, 總計,634929.967000,649020.815000,595042.701000,452572.996000,142469.704000,332116.104000,23832.882000,16969.456000,169299.789000,39351.207000,4856.874000,25.001000,278.999000,849.167000,18826.413000,52.310000,6.430000,26.660000,6.200000,0.760000,3.150000,54103.624000,93233.765000,224357.708000,78809.972000,35053.584000,7651.044000,60473.672000,61456.399000,28780.312000,5100.729000,8.340000,14.360000,34.570000,12.140000,5.400000,1.180000,9.320000,9.470000,4.430000,0.790000,59719.702000,437106.107000,68.840000,28524.071000,14090.847000,49411.362000,26.085417,4.394939
1998, 臺灣地區,628763.849000,643004.504000,589361.796000,448420.828000,140940.968000,331783.411000,23742.116000,16934.552000,166781.522000,38974.150000,2704.804000,25.001000,278.999000,849.167000,18484.434000,52.770000,6.470000,26.520000,6.200000,0.430000,3.120000,53250.484000,91545.239000,222423.224000,77963.910000,34857.008000,7651.044000,60445.033000,61425.165000,28367.620000,5075.772000,8.280000,14.240000,34.590000,12.130000,5.420000,1.190000,9.400000,9.550000,4.410000,0.790000,59719.702000,433776.639000,68.990000,28205.687000,14240.654000,49386.362000,25.937847,4.386546
1998, 新北市,56981.479000,56981.479000,53328.595000,46562.429000,6766.165000,31230.772000,1710.748000,2727.560000,15106.826000,2040.837000,220.206000,-,4.490000,2.570000,1152.369000,54.810000,7.790000,26.510000,3.580000,0.390000,2.030000,4496.457000,4016.739000,24760.215000,10184.446000,2958.794000,-,7332.542000,243.941000,2988.082000,0.259000,7.890000,7.050000,43.450000,17.870000,5.190000,-,12.870000,0.430000,5.250000,0.000000,4572.716000,39089.556000,58.050000,2785.096000,-,191.666000,26.511818,4.887721
1998, 臺北市,176504.823000,176060.011000,172870.718000,104509.019000,68361.698000,123796.241000,9408.469000,5933.754000,2750.000000,26087.225000,1616.626000,-,145.196000,-,6767.309000,70.140000,8.690000,1.560000,14.780000,0.920000,3.910000,10058.127000,18724.805000,45301.190000,25252.134000,13296.103000,3381.007000,11383.751000,47191.553000,-,1471.337000,5.710000,10.640000,25.730000,14.340000,7.550000,1.920000,6.470000,26.800000,-,0.840000,-,173754.823000,98.440000,-,-444.812000,39912.669000,1.561967,-
1998, 桃園市,31256.928000,31256.928000,27340.977000,23736.088000,3604.889000,15507.784000,906.975000,959.416000,8992.650000,1609.724000,-,-,-,2.912000,263.848000,49.620000,5.970000,28.770000,5.150000,-,0.850000,3221.622000,3625.924000,13111.726000,5428.173000,1042.133000,-,3328.665000,371.516000,1127.166000,-,10.310000,11.600000,41.950000,17.370000,3.330000,-,10.650000,1.190000,3.600000,-,2935.408000,19250.661000,61.840000,3013.616000,-,339.619000,28.770102,9.641434
1998, 臺中市,51381.321000,54961.594000,47428.320000,37902.973000,9525.347000,23534.018000,2501.221000,1469.270000,18265.192000,1145.885000,379.229000,-,2.500000,420.989000,659.054000,45.800000,7.730000,35.550000,2.230000,0.740000,2.110000,4914.258000,6887.165000,20189.914000,4316.258000,2070.721000,-,4971.993000,1757.033000,8853.858000,1000.390000,8.940000,12.530000,36.730000,7.850000,3.770000,-,9.050000,3.200000,16.110000,1.820000,4053.794000,30112.169000,58.610000,3003.959000,3580.273000,1442.234000,33.232646,5.465560
1998, 臺南市,43108.768000,43690.785000,39278.870000,31843.664000,7435.205000,19965.770000,1089.309000,678.696000,16041.670000,1347.888000,13.898000,-,-,10.142000,984.765000,46.310000,4.100000,37.210000,3.130000,0.030000,2.310000,4759.918000,6055.276000,17459.983000,4660.019000,1973.674000,-,4919.362000,1860.001000,1972.527000,30.020000,10.890000,13.860000,39.960000,10.670000,4.520000,-,11.260000,4.260000,4.510000,0.070000,5315.882000,24090.471000,55.880000,2976.627000,582.016000,1411.573000,36.716369,6.812940
1998, 高雄市,85346.164000,85346.164000,74957.627000,61916.080000,13041.546000,44712.381000,2060.559000,2185.949000,18641.867000,2221.985000,288.222000,-,118.399000,101.000000,6090.789000,52.390000,4.980000,21.840000,2.600000,0.340000,7.390000,6870.887000,11713.875000,26537.111000,8614.999000,9657.923000,4270.036000,7269.084000,6411.887000,2524.549000,1475.807000,8.050000,13.730000,31.090000,10.090000,11.320000,5.000000,8.520000,7.510000,2.960000,1.730000,3790.659000,57779.289000,67.700000,8925.007000,-,2868.335000,21.842654,10.457420
1998, 宜蘭縣,11374.070000,11847.656000,10988.730000,9159.094000,1829.635000,4736.986000,237.753000,273.296000,5346.917000,13.967000,-,-,-,-,390.497000,41.650000,4.490000,47.010000,0.120000,-,3.430000,1305.521000,1592.749000,5037.661000,1133.018000,242.386000,-,1348.252000,675.884000,412.791000,99.389000,11.020000,13.440000,42.520000,9.560000,2.050000,-,11.380000,5.710000,3.480000,0.840000,2902.164000,5652.502000,27.470000,374.650000,473.586000,637.309000,45.130590,3.162229
1998, 新竹縣,12415.810000,12415.810000,11117.418000,7841.219000,3276.199000,4807.002000,201.281000,178.451000,5311.547000,685.956000,32.723000,-,0.786000,-,474.179000,38.720000,3.060000,42.780000,5.520000,0.260000,3.830000,974.575000,2258.851000,4419.511000,2631.065000,118.902000,-,1234.063000,85.122000,673.948000,19.768000,7.850000,18.190000,35.600000,21.190000,0.960000,-,9.940000,0.680000,5.430000,0.160000,2161.440000,6380.380000,39.810000,723.882000,-,77.046000,42.780511,5.830324
