"年度","縣市","醫療機構數","平均每一醫療機構服務人數","平均每一醫療機構服務面積","執業醫事人員數","執業醫師數","護士數","病床數","每萬人口執業醫事人員","每平方公里執業醫事人員","平均每一執業醫師服務之人口數","平均每一護士服務之人口數","每萬人口病床數","平均每一病床服務之人口數"
1998, 總計,17731.000000,1236.737409,2.040947,144070.000000,30629.000000,71215.000000,124564.000000,65.699616,3.981150,715.942114,307.920958,56.804379,176.042765
1998, 臺灣地區,17710.000000,1234.945003,2.033099,143882.000000,30579.000000,71122.000000,124294.000000,65.787031,3.996036,715.225351,307.512106,56.830828,175.960835
1998, 新北市,2405.000000,1438.513098,0.853458,12232.000000,2898.000000,4998.000000,10025.000000,35.356443,5.959368,1193.797101,692.201681,28.977137,345.099651
1998, 臺北市,2610.000000,1011.470881,0.104138,30987.000000,6910.000000,15401.000000,21493.000000,117.377712,114.006748,382.046165,171.413480,81.414760,122.827851
1998, 桃園市,1146.000000,1440.649215,1.065405,11873.000000,2456.000000,6726.000000,10919.000000,71.914688,9.724363,672.224756,245.462979,66.136316,151.202857
1998, 臺中市,2671.000000,893.061400,0.829239,17929.000000,4040.000000,8205.000000,12509.000000,75.162438,8.094734,590.437376,290.721146,52.440568,190.692062
1998, 臺南市,1545.000000,1179.354045,1.418546,11160.000000,2392.000000,5388.000000,9673.000000,61.247943,5.092047,761.748328,338.177803,53.087039,188.369896
1998, 高雄市,2328.000000,1155.229381,1.265579,19539.000000,4147.000000,9514.000000,16495.000000,72.652595,6.631782,648.510731,282.675426,61.333976,163.041770
1998, 宜蘭縣,293.000000,1589.170648,7.316127,2739.000000,505.000000,1605.000000,4097.000000,58.823908,1.277742,922.033663,290.110280,87.988884,113.650720
1998, 新竹縣,252.000000,1698.333333,5.665052,2060.000000,350.000000,1070.000000,1742.000000,48.133090,1.442988,1222.800000,399.981308,40.702837,245.683123
1998, 苗栗縣,364.000000,1538.071429,5.000865,2625.000000,523.000000,1344.000000,2987.000000,46.886889,1.442058,1070.474187,416.561012,53.352814,187.431537
1998, 彰化縣,899.000000,1447.682981,1.195101,6993.000000,1380.000000,3564.000000,5293.000000,53.731674,6.508773,943.092029,365.170314,40.669491,245.884565
1998, 南投縣,419.000000,1302.801909,9.800563,2875.000000,559.000000,1419.000000,3200.000000,52.667832,0.700120,976.518784,384.689218,58.676544,170.585625
1998, 雲林縣,473.000000,1583.498943,2.729038,2864.000000,589.000000,1320.000000,2104.000000,38.237905,2.218719,1271.638370,567.420455,28.090975,355.986217
1998, 嘉義縣,228.000000,2481.285088,8.340669,1919.000000,310.000000,1020.000000,1482.000000,33.920595,1.009112,1824.945161,554.640196,26.196103,381.736167
1998, 屏東縣,584.000000,1559.143836,4.752740,5390.000000,956.000000,2701.000000,4928.000000,59.195642,1.941922,952.447699,337.112181,54.121730,184.768669
1998, 臺東縣,141.000000,1772.602837,24.930870,1400.000000,244.000000,806.000000,1276.000000,56.014116,0.398264,1024.331967,310.095533,51.052865,195.875392
1998, 花蓮縣,274.000000,1301.463504,16.892596,2920.000000,565.000000,1784.000000,8083.000000,81.884235,0.630864,631.152212,199.888453,226.667901,44.117407
1998, 澎湖縣,68.000000,1315.632353,1.865649,446.000000,94.000000,242.000000,481.000000,49.853012,3.515573,951.734043,369.681818,53.429910,185.993763
1998, 基隆市,300.000000,1273.726667,0.442530,2283.000000,557.000000,1090.000000,2231.000000,59.745942,17.196587,686.028725,350.566972,58.385106,171.276558
1998, 新竹市,336.000000,1060.247024,0.309811,2177.000000,440.000000,1031.000000,2067.000000,61.109973,20.913307,809.643182,345.531523,58.022193,172.347847
1998, 嘉義市,374.000000,703.342246,0.160496,3471.000000,664.000000,1894.000000,3209.000000,131.952100,57.825328,396.159639,138.885956,121.992017,81.972577
1998, 金門縣,14.000000,3647.142857,10.932571,153.000000,38.000000,78.000000,233.000000,29.964747,0.999634,1343.684211,654.615385,45.632589,219.141631
1998, 連江縣,7.000000,950.714286,4.114286,35.000000,12.000000,15.000000,37.000000,52.592036,1.215278,554.583333,443.666667,55.597295,179.864865
1999, 總計,17770.000000,1243.240687,2.036468,152385.000000,31762.000000,75603.000000,122937.000000,68.976250,4.210922,695.560324,292.215745,55.646771,179.704946
1999, 臺灣地區,17751.000000,1241.287589,2.028403,152180.000000,31714.000000,75506.000000,122703.000000,69.065688,4.226497,694.775052,291.819140,55.687785,179.572594
1999, 新北市,2441.000000,1438.310938,0.840871,13532.000000,3098.000000,5639.000000,10319.000000,38.542637,6.592721,1133.285023,622.613407,29.391182,340.238104
1999, 臺北市,2620.000000,1008.134351,0.103740,31935.000000,6988.000000,15818.000000,20940.000000,120.905823,117.494611,377.978248,166.981414,79.278783,126.137154
1999, 桃園市,1133.000000,1492.755516,1.077629,12686.000000,2564.000000,7113.000000,11303.000000,75.007746,10.390236,659.630265,237.774779,66.830565,149.632133
1999, 臺中市,2681.000000,903.392764,0.826146,19083.000000,4273.000000,8788.000000,13622.000000,78.790386,8.615751,566.813948,275.602640,56.242867,177.800323
1999, 臺南市,1541.000000,1188.697599,1.422228,12032.000000,2604.000000,5758.000000,9972.000000,65.684636,5.489920,703.449693,318.128343,54.438763,183.692639
1999, 高雄市,2329.000000,1161.810648,1.265035,20800.000000,4250.000000,10259.000000,16235.000000,76.870285,7.059781,636.672235,263.754459,59.999475,166.668124
1999, 宜蘭縣,296.000000,1570.959459,7.241977,2922.000000,514.000000,1758.000000,3749.000000,62.838169,1.363111,904.677043,264.507395,80.622962,124.034142
1999, 新竹縣,248.000000,1749.060484,5.756424,2079.000000,363.000000,1085.000000,1882.000000,47.928957,1.456297,1194.950413,399.785253,43.387349,230.481934
1999, 苗栗縣,346.000000,1617.930636,5.261026,2750.000000,510.000000,1417.000000,3135.000000,49.124336,1.510728,1097.654902,395.062809,56.001743,178.565869
1999, 彰化縣,896.000000,1457.187500,1.199103,7473.000000,1494.000000,3722.000000,5266.000000,57.236298,6.955536,873.922356,350.789898,40.332710,247.937714
1999, 南投縣,391.000000,1391.401535,10.502394,2927.000000,537.000000,1430.000000,2801.000000,53.801389,0.712784,1013.106145,380.446154,51.485374,194.229918
1999, 雲林縣,466.000000,1601.375536,2.770032,3043.000000,606.000000,1432.000000,2359.000000,40.777711,2.357389,1231.420792,521.118017,31.611772,316.337855
1999, 嘉義縣,229.000000,2457.039301,8.304247,1955.000000,337.000000,1044.000000,1784.000000,34.745549,1.028042,1669.620178,538.948276,31.706424,315.393498
