年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,15302960.000000,15264921.000000,2471534.000000,1860567.000000,1120569.000000,1647734.000000,1273171.000000,1929667.000000,318973.000000,284564.000000,378329.000000,891471.000000,373809.000000,517962.000000,388844.000000,635100.000000,172428.000000,245289.000000,60040.000000,269219.000000,243131.000000,182520.000000,33404.000000,4635.000000
1999,15492319.000000,15453700.000000,2530531.000000,1865686.000000,1155676.000000,1682971.000000,1285752.000000,1950982.000000,319342.000000,289027.000000,379413.000000,898264.000000,374559.000000,516748.000000,387252.000000,636075.000000,171266.000000,245595.000000,59760.000000,272278.000000,248456.000000,184067.000000,34112.000000,4507.000000
2000,15652271.000000,15611742.000000,2584931.000000,1870882.000000,1187809.000000,1714499.000000,1295254.000000,1968197.000000,319595.000000,292585.000000,379586.000000,903554.000000,373279.000000,513531.000000,386077.000000,634939.000000,169599.000000,244719.000000,60001.000000,274649.000000,253382.000000,184674.000000,35871.000000,4658.000000
2001,15770327.000000,15725348.000000,2626677.000000,1864350.000000,1211904.000000,1737904.000000,1301532.000000,1975247.000000,320052.000000,296767.000000,380486.000000,906650.000000,373329.000000,512457.000000,385703.000000,636602.000000,169195.000000,244681.000000,62275.000000,276626.000000,256873.000000,186038.000000,38405.000000,6574.000000
2002,15890584.000000,15844202.000000,2662427.000000,1875044.000000,1238135.000000,1760100.000000,1308271.000000,1988464.000000,319106.000000,300868.000000,380490.000000,909654.000000,372737.000000,510807.000000,384357.000000,634479.000000,168635.000000,244172.000000,62389.000000,277560.000000,260772.000000,185735.000000,39939.000000,6443.000000
2003,16035196.000000,15987093.000000,2710726.000000,1871415.000000,1268339.000000,1787806.000000,1319157.000000,2000903.000000,319557.000000,306485.000000,382018.000000,913641.000000,373321.000000,508326.000000,382781.000000,635069.000000,168283.000000,244360.000000,62531.000000,280015.000000,264960.000000,187400.000000,41669.000000,6434.000000
2004,16151565.000000,16099905.000000,2748628.000000,1871660.000000,1298465.000000,1809907.000000,1327093.000000,2010042.000000,319651.000000,313053.000000,382793.000000,915494.000000,372423.000000,504897.000000,381114.000000,633942.000000,166831.000000,243605.000000,62361.000000,281270.000000,268579.000000,188097.000000,44717.000000,6943.000000
2005,16294530.000000,16236801.000000,2788396.000000,1873292.000000,1328155.000000,1835309.000000,1336097.000000,2019360.000000,320427.000000,322061.000000,384203.000000,918792.000000,372864.000000,502826.000000,381492.000000,635347.000000,166453.000000,243432.000000,63364.000000,282487.000000,272659.000000,189785.000000,49844.000000,7885.000000
2006,16443867.000000,16381272.000000,2826111.000000,1891448.000000,1359807.000000,1862373.000000,1344714.000000,2031417.000000,320773.000000,330814.000000,385785.000000,921253.000000,372723.000000,499211.000000,379992.000000,633662.000000,164795.000000,243175.000000,63023.000000,283153.000000,276411.000000,190632.000000,55205.000000,7390.000000
2007,16584623.000000,16517481.000000,2865923.000000,1892181.000000,1387612.000000,1887740.000000,1354200.000000,2042333.000000,322311.000000,338219.000000,388063.000000,925134.000000,373428.000000,498423.000000,379974.000000,633800.000000,164100.000000,243281.000000,64045.000000,284717.000000,280392.000000,191605.000000,59623.000000,7519.000000
2008,16729608.000000,16660355.000000,2907549.000000,1891785.000000,1414937.000000,1913461.000000,1363720.000000,2053939.000000,325151.000000,345623.000000,390824.000000,928420.000000,374687.000000,498526.000000,380005.000000,633917.000000,163617.000000,243597.000000,65426.000000,285787.000000,286266.000000,193118.000000,61901.000000,7352.000000
2009,16884106.000000,16806974.000000,2950289.000000,1885352.000000,1441272.000000,1935036.000000,1373258.000000,2063435.000000,327936.000000,353525.000000,394649.000000,933042.000000,377173.000000,500746.000000,381800.000000,637001.000000,165160.000000,245040.000000,68375.000000,287475.000000,292018.000000,194392.000000,69614.000000,7518.000000
2010,17049919.000000,16969519.000000,2988765.000000,1903092.000000,1473703.000000,1962096.000000,1384101.000000,2078990.000000,329901.000000,358806.000000,397560.000000,936561.000000,377117.000000,500790.000000,382134.000000,636279.000000,165170.000000,245428.000000,69723.000000,287400.000000,296886.000000,195017.000000,72834.000000,7566.000000
2011,17194873.000000,17108585.000000,3015088.000000,1929803.000000,1494077.000000,1987907.000000,1393801.000000,2089848.000000,331496.000000,365330.000000,401259.000000,939650.000000,377182.000000,500477.000000,381838.000000,635626.000000,164689.000000,245647.000000,70365.000000,286943.000000,301717.000000,195842.000000,78606.000000,7682.000000
2012,17303993.000000,17208316.000000,3032178.000000,1941436.000000,1514913.000000,2010485.000000,1400888.000000,2095236.000000,333493.000000,372348.000000,403892.000000,940436.000000,377303.000000,500769.000000,381057.000000,634041.000000,163772.000000,245436.000000,72313.000000,286009.000000,305747.000000,196564.000000,86943.000000,8734.000000
2013,17332510.000000,17229531.000000,3035481.000000,1940310.000000,1528505.000000,2023202.000000,1400280.000000,2090998.000000,334266.000000,378181.000000,405108.000000,938407.000000,375786.000000,499650.000000,378916.000000,629866.000000,163181.000000,244708.000000,73758.000000,284495.000000,308172.000000,196261.000000,93551.000000,9428.000000
2014,17347763.000000,17238545.000000,3030913.000000,1938993.000000,1540482.000000,2036077.000000,1398881.000000,2084053.000000,334860.000000,383938.000000,406133.000000,935653.000000,374124.000000,498976.000000,376550.000000,627009.000000,163269.000000,244309.000000,74879.000000,282942.000000,310200.000000,196304.000000,99490.000000,9728.000000
