年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,94.920000,94.940000,96.300000,97.410000,95.230000,95.680000,94.440000,94.860000,92.710000,96.020000,95.980000,90.670000,94.570000,90.220000,91.220000,93.010000,95.150000,96.770000,95.850000,94.740000,95.620000,95.020000,84.850000,87.400000
1999,95.280000,95.310000,96.610000,97.570000,95.640000,96.010000,94.830000,95.170000,93.660000,96.320000,96.260000,91.350000,94.950000,90.760000,91.660000,93.420000,95.410000,96.990000,96.110000,95.080000,95.990000,95.360000,85.750000,87.470000
2000,95.550000,95.580000,96.800000,97.690000,95.940000,96.260000,95.170000,95.410000,94.050000,96.550000,96.510000,91.810000,95.250000,91.130000,91.960000,93.740000,95.610000,97.280000,96.320000,95.360000,96.300000,95.660000,87.380000,88.390000
2001,95.790000,95.810000,97.030000,97.800000,96.200000,96.460000,95.420000,95.630000,94.390000,96.770000,96.730000,92.180000,95.500000,91.480000,92.320000,94.080000,95.800000,97.430000,96.650000,95.600000,96.520000,95.890000,88.360000,90.730000
2002,96.030000,96.050000,97.220000,97.990000,96.440000,96.650000,95.660000,95.840000,94.710000,96.970000,96.980000,92.530000,95.730000,91.840000,92.640000,94.360000,96.010000,97.600000,96.830000,95.870000,96.720000,96.100000,91.230000,91.100000
2003,96.970000,96.990000,98.110000,98.650000,97.410000,97.520000,96.490000,96.780000,95.820000,97.730000,97.710000,93.880000,96.710000,93.310000,93.880000,95.550000,96.930000,98.190000,97.390000,97.100000,97.640000,97.030000,92.600000,92.250000
2004,97.160000,97.170000,98.260000,98.730000,97.580000,97.670000,96.700000,96.940000,96.060000,97.910000,97.910000,94.170000,96.910000,93.700000,94.190000,95.780000,97.080000,98.290000,97.520000,97.270000,97.780000,97.210000,93.270000,92.940000
2005,97.330000,97.330000,98.340000,98.810000,97.740000,97.810000,96.900000,97.100000,96.310000,98.080000,98.060000,94.470000,97.100000,93.990000,94.500000,96.030000,97.230000,98.390000,97.690000,97.420000,97.920000,97.350000,97.360000,93.640000
2006,97.480000,97.480000,98.440000,98.880000,97.880000,97.950000,97.080000,97.240000,96.520000,98.240000,98.210000,94.740000,97.280000,94.260000,94.690000,96.240000,97.360000,98.490000,97.800000,97.580000,98.060000,97.490000,98.040000,93.730000
2007,97.630000,97.630000,98.540000,98.960000,98.020000,98.080000,97.260000,97.380000,96.730000,98.390000,98.350000,95.000000,97.440000,94.540000,94.960000,96.450000,97.500000,98.600000,97.950000,97.730000,98.200000,97.630000,98.230000,94.090000
2008,97.780000,97.780000,98.630000,99.030000,98.150000,98.200000,97.430000,97.520000,96.950000,98.530000,98.480000,95.260000,97.600000,94.830000,95.290000,96.650000,97.610000,98.690000,98.100000,97.860000,98.340000,97.770000,98.350000,94.180000
2009,97.910000,97.910000,98.720000,99.090000,98.270000,98.310000,97.590000,97.640000,97.150000,98.640000,98.600000,95.500000,97.750000,95.100000,95.570000,96.850000,97.770000,98.760000,98.250000,97.990000,98.460000,97.920000,98.560000,94.550000
2010,98.040000,98.040000,98.790000,99.160000,98.390000,98.410000,97.730000,97.770000,97.320000,98.750000,98.720000,95.720000,97.890000,95.480000,95.810000,97.020000,97.880000,98.840000,98.360000,98.110000,98.580000,98.050000,98.700000,94.940000
2011,98.170000,98.160000,98.860000,99.220000,98.500000,98.510000,97.870000,97.890000,97.490000,98.850000,98.840000,95.980000,98.020000,95.700000,96.040000,97.210000,97.990000,98.910000,98.430000,98.220000,98.680000,98.170000,98.720000,95.170000
2012,98.290000,98.280000,98.930000,99.280000,98.600000,98.610000,98.010000,97.980000,97.660000,98.950000,98.940000,96.200000,98.410000,95.930000,96.270000,97.360000,98.100000,98.970000,98.550000,98.340000,98.780000,98.290000,98.890000,95.820000
2013,98.390000,98.390000,98.990000,99.330000,98.690000,98.700000,98.140000,98.090000,97.830000,99.040000,99.020000,96.400000,98.510000,96.160000,96.490000,97.510000,98.200000,99.040000,98.620000,98.460000,98.870000,98.400000,99.020000,96.350000
2014,98.500000,98.500000,99.050000,99.380000,98.790000,98.790000,98.270000,98.200000,97.990000,99.130000,99.110000,96.610000,98.610000,96.390000,96.710000,97.670000,98.320000,99.120000,98.700000,98.560000,98.960000,98.510000,99.160000,96.690000
