年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,877977.000000,874687.000000,105412.000000,91660.000000,51678.000000,82356.000000,82348.000000,102581.000000,23414.000000,18064.000000,27077.000000,60044.000000,28396.000000,43336.000000,32560.000000,46560.000000,14229.000000,18260.000000,5691.000000,16318.000000,13366.000000,11337.000000,2910.000000,380.000000
1999,904648.000000,901238.000000,109791.000000,94318.000000,54038.000000,85315.000000,84452.000000,106082.000000,23831.000000,18612.000000,27740.000000,61433.000000,29257.000000,44299.000000,33261.000000,47663.000000,14511.000000,18693.000000,5790.000000,16919.000000,13848.000000,11385.000000,3032.000000,378.000000
2000,930455.000000,926935.000000,113880.000000,97147.000000,56481.000000,88049.000000,86585.000000,109474.000000,24359.000000,19027.000000,28295.000000,62821.000000,29900.000000,45163.000000,33918.000000,48667.000000,14793.000000,19073.000000,5843.000000,17523.000000,14280.000000,11657.000000,3126.000000,394.000000
2001,955695.000000,951980.000000,117290.000000,99765.000000,58634.000000,90786.000000,88519.000000,112859.000000,24831.000000,19628.000000,28906.000000,64147.000000,30565.000000,46210.000000,34544.000000,49667.000000,15197.000000,19557.000000,5969.000000,18272.000000,14670.000000,11964.000000,3267.000000,448.000000
2002,979989.000000,976142.000000,120976.000000,102790.000000,60773.000000,93322.000000,90523.000000,116352.000000,25128.000000,20274.000000,29502.000000,65376.000000,31110.000000,47037.000000,35207.000000,50365.000000,15391.000000,19905.000000,6037.000000,18683.000000,15101.000000,12290.000000,3403.000000,444.000000
2003,1003835.000000,999873.000000,124934.000000,105503.000000,62915.000000,96100.000000,92473.000000,119485.000000,25435.000000,20762.000000,30096.000000,66689.000000,31731.000000,47721.000000,35824.000000,51296.000000,15632.000000,20154.000000,6091.000000,19035.000000,15451.000000,12546.000000,3508.000000,454.000000
2004,1029748.000000,1025590.000000,129441.000000,108428.000000,65337.000000,98949.000000,94809.000000,122749.000000,25896.000000,21383.000000,30681.000000,67914.000000,32255.000000,48563.000000,36416.000000,52180.000000,15873.000000,20461.000000,6168.000000,19424.000000,15873.000000,12790.000000,3686.000000,472.000000
2005,1056457.000000,1051988.000000,133884.000000,111294.000000,67844.000000,101531.000000,96816.000000,126267.000000,26305.000000,22202.000000,31361.000000,69249.000000,32915.000000,49425.000000,37087.000000,53237.000000,16090.000000,20829.000000,6262.000000,19888.000000,16311.000000,13191.000000,3954.000000,515.000000
2006,1083795.000000,1079107.000000,138215.000000,114750.000000,70599.000000,104519.000000,98873.000000,129756.000000,26722.000000,22924.000000,32006.000000,70663.000000,33531.000000,50255.000000,37845.000000,54125.000000,16366.000000,21176.000000,6327.000000,20303.000000,16737.000000,13415.000000,4190.000000,498.000000
2007,1109075.000000,1104160.000000,142824.000000,117326.000000,73008.000000,107269.000000,100971.000000,133037.000000,27285.000000,23435.000000,32658.000000,72027.000000,34042.000000,50993.000000,38390.000000,55028.000000,16557.000000,21498.000000,6390.000000,20691.000000,17088.000000,13643.000000,4426.000000,489.000000
2008,1133535.000000,1128435.000000,147187.000000,119648.000000,75624.000000,110133.000000,102899.000000,136402.000000,27678.000000,23969.000000,33274.000000,73239.000000,34594.000000,51727.000000,39019.000000,55859.000000,16743.000000,21823.000000,6457.000000,20966.000000,17360.000000,13834.000000,4605.000000,495.000000
2009,1158790.000000,1153384.000000,152265.000000,121455.000000,78330.000000,112996.000000,104775.000000,139800.000000,28091.000000,24485.000000,33882.000000,74581.000000,35121.000000,52428.000000,39572.000000,56664.000000,16968.000000,22188.000000,6564.000000,21310.000000,17807.000000,14102.000000,4902.000000,504.000000
2010,1183634.000000,1178089.000000,157859.000000,123349.000000,81109.000000,115848.000000,106829.000000,143309.000000,28472.000000,24872.000000,34449.000000,75801.000000,35458.000000,53028.000000,40153.000000,57229.000000,17133.000000,22499.000000,6621.000000,21567.000000,18174.000000,14330.000000,5059.000000,486.000000
2011,1207657.000000,1201676.000000,163133.000000,125079.000000,83718.000000,118669.000000,108644.000000,146642.000000,28887.000000,25332.000000,34945.000000,76791.000000,35989.000000,53660.000000,40714.000000,57894.000000,17237.000000,22742.000000,6671.000000,21887.000000,18525.000000,14517.000000,5508.000000,473.000000
2012,1230810.000000,1224454.000000,168501.000000,126882.000000,86323.000000,121284.000000,110455.000000,149894.000000,29127.000000,25788.000000,35387.000000,77754.000000,36399.000000,54115.000000,41200.000000,58539.000000,17362.000000,22994.000000,6730.000000,22156.000000,18867.000000,14697.000000,5857.000000,499.000000
2013,1254073.000000,1247404.000000,173672.000000,129035.000000,88988.000000,124097.000000,112065.000000,153068.000000,29447.000000,26191.000000,35848.000000,78721.000000,36735.000000,54667.000000,41501.000000,59348.000000,17490.000000,23236.000000,6865.000000,22332.000000,19169.000000,14929.000000,6143.000000,526.000000
2014,1276715.000000,1269781.000000,178372.000000,131269.000000,91662.000000,127206.000000,113502.000000,156218.000000,29762.000000,26614.000000,36236.000000,79930.000000,36910.000000,54984.000000,41829.000000,60067.000000,17581.000000,23451.000000,6954.000000,22543.000000,19568.000000,15123.000000,6400.000000,534.000000
