年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,9728171.000000,9702324.000000,1492156.000000,1166647.000000,723464.000000,1036808.000000,824514.000000,1180759.000000,209470.000000,196340.000000,257370.000000,590621.000000,251070.000000,358240.000000,273036.000000,412449.000000,104261.000000,148356.000000,40503.000000,164635.000000,157795.000000,113830.000000,22857.000000,2990.000000
1999,9818044.000000,9791736.000000,1517531.000000,1169308.000000,742793.000000,1053637.000000,829706.000000,1190419.000000,209559.000000,199534.000000,258102.000000,595020.000000,250358.000000,358199.000000,272582.000000,412114.000000,103337.000000,147585.000000,40520.000000,165888.000000,160781.000000,114763.000000,23362.000000,2946.000000
2000,9908126.000000,9880341.000000,1544690.000000,1172597.000000,761341.000000,1071393.000000,833474.000000,1200115.000000,210185.000000,202552.000000,258480.000000,598563.000000,249671.000000,357184.000000,272611.000000,411213.000000,102170.000000,146579.000000,41034.000000,167233.000000,163911.000000,115345.000000,24712.000000,3073.000000
2001,9960660.000000,9929750.000000,1563593.000000,1166342.000000,774440.000000,1082266.000000,834750.000000,1201161.000000,210322.000000,205541.000000,259219.000000,600779.000000,249311.000000,357077.000000,273143.000000,411727.000000,101504.000000,145835.000000,42690.000000,168027.000000,166060.000000,115963.000000,26531.000000,4379.000000
2002,10008726.000000,9976804.000000,1575862.000000,1173143.000000,787132.000000,1091035.000000,835829.000000,1205875.000000,209454.000000,208285.000000,258742.000000,602855.000000,248393.000000,356523.000000,272326.000000,409902.000000,101273.000000,145646.000000,42848.000000,167813.000000,168325.000000,115543.000000,27633.000000,4289.000000
2003,10038668.000000,10005490.000000,1591503.000000,1167367.000000,800150.000000,1098812.000000,836012.000000,1206588.000000,209004.000000,211519.000000,258459.000000,602899.000000,247301.000000,354448.000000,270693.000000,407883.000000,100477.000000,145546.000000,42791.000000,167778.000000,169986.000000,116274.000000,28904.000000,4274.000000
2004,10021216.000000,9985739.000000,1595764.000000,1162452.000000,809028.000000,1101590.000000,832345.000000,1201249.000000,207590.000000,214466.000000,256763.000000,600921.000000,244881.000000,350242.000000,267679.000000,403049.000000,98635.000000,143296.000000,42283.000000,166630.000000,170783.000000,116093.000000,30893.000000,4584.000000
2005,10029173.000000,9989746.000000,1603681.000000,1158471.000000,818329.000000,1107439.000000,830916.000000,1197282.000000,206656.000000,219643.000000,255501.000000,599997.000000,243236.000000,347080.000000,265959.000000,400202.000000,97346.000000,141610.000000,42608.000000,165537.000000,172294.000000,115959.000000,34290.000000,5137.000000
2006,10058108.000000,10015353.000000,1614596.000000,1169335.000000,829781.000000,1115521.000000,829922.000000,1196815.000000,205607.000000,224029.000000,254703.000000,599436.000000,241519.000000,343352.000000,263071.000000,396208.000000,95513.000000,140012.000000,42017.000000,164404.000000,173808.000000,115704.000000,37934.000000,4821.000000
2007,10070986.000000,10025384.000000,1624760.000000,1167573.000000,837442.000000,1121299.000000,829343.000000,1195822.000000,204934.000000,227210.000000,253864.000000,598526.000000,239766.000000,340774.000000,261430.000000,392883.000000,94089.000000,138473.000000,42291.000000,163827.000000,175540.000000,115538.000000,40706.000000,4896.000000
2008,10128749.000000,10081745.000000,1646266.000000,1170577.000000,849854.000000,1131989.000000,831786.000000,1198320.000000,205854.000000,231264.000000,254502.000000,599710.000000,239264.000000,340349.000000,259865.000000,390283.000000,93279.000000,137437.000000,42723.000000,163426.000000,179008.000000,115989.000000,42263.000000,4741.000000
2009,10123793.000000,10072571.000000,1659088.000000,1161978.000000,855059.000000,1132819.000000,828996.000000,1191874.000000,205240.000000,233794.000000,253823.000000,597231.000000,237629.000000,338133.000000,258129.000000,387050.000000,92808.000000,136236.000000,43659.000000,162421.000000,181319.000000,115285.000000,46439.000000,4783.000000
2010,10143762.000000,10090990.000000,1671709.000000,1174132.000000,863580.000000,1139739.000000,827482.000000,1191717.000000,204399.000000,234247.000000,253690.000000,595587.000000,235229.000000,334563.000000,254787.000000,381973.000000,91736.000000,135035.000000,43664.000000,159939.000000,183315.000000,114467.000000,48003.000000,4769.000000
2011,10214026.000000,10157767.000000,1687304.000000,1202257.000000,871428.000000,1152792.000000,830485.000000,1195401.000000,204050.000000,236788.000000,255492.000000,596492.000000,233737.000000,332538.000000,252382.000000,378502.000000,90818.000000,134494.000000,43619.000000,158330.000000,186501.000000,114357.000000,51418.000000,4841.000000
2012,10235154.000000,10173976.000000,1694502.000000,1216022.000000,877066.000000,1159850.000000,829882.000000,1193786.000000,203645.000000,238702.000000,255920.000000,594115.000000,231914.000000,329736.000000,249202.000000,374162.000000,89624.000000,133491.000000,44064.000000,156456.000000,188027.000000,113810.000000,55777.000000,5401.000000
2013,10271403.000000,10206302.000000,1704570.000000,1227712.000000,883565.000000,1169617.000000,830582.000000,1194760.000000,203643.000000,241502.000000,256849.000000,593094.000000,230731.000000,327478.000000,246494.000000,370877.000000,88768.000000,132801.000000,44440.000000,155588.000000,189844.000000,113387.000000,59335.000000,5766.000000
2014,10304233.000000,10235944.000000,1712726.000000,1239415.000000,889917.000000,1178786.000000,831290.000000,1194566.000000,203588.000000,244404.000000,257286.000000,590881.000000,229306.000000,325788.000000,243723.000000,368633.000000,88604.000000,132447.000000,44847.000000,154976.000000,191377.000000,113384.000000,62381.000000,5908.000000
