年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,45.850000,44.550000,29.480000,44.230000,42.000000,49.250000,43.330000,57.410000,46.040000,53.070000,55.690000,57.170000,61.100000,63.190000,52.800000,64.480000,53.650000,51.780000,44.710000,41.960000,36.490000,-,-
1999,-,44.190000,42.830000,26.980000,43.040000,40.030000,48.070000,41.630000,56.960000,43.590000,51.670000,54.780000,55.430000,59.640000,62.380000,51.700000,64.020000,52.810000,49.260000,43.550000,40.640000,33.180000,-,-
2000,-,43.200000,41.880000,25.020000,42.170000,39.020000,47.120000,40.550000,56.420000,42.630000,51.100000,54.170000,54.880000,59.260000,61.970000,51.090000,63.760000,52.230000,48.500000,42.610000,39.440000,31.680000,-,-
2001,-,41.780000,40.600000,22.210000,40.980000,37.600000,45.730000,39.070000,55.680000,41.230000,50.280000,53.290000,53.940000,58.500000,61.350000,50.120000,63.230000,51.300000,47.450000,41.350000,37.610000,29.410000,-,-
2002,-,40.190000,39.100000,19.570000,39.550000,35.950000,44.180000,37.300000,54.770000,39.830000,49.370000,52.160000,52.880000,57.460000,60.510000,48.910000,62.690000,50.140000,45.650000,39.980000,35.390000,26.620000,54.660000,-
2003,-,38.910000,37.760000,19.460000,37.730000,34.840000,42.990000,36.190000,52.150000,38.850000,47.620000,50.470000,51.090000,56.310000,59.040000,47.410000,60.350000,48.300000,45.190000,38.470000,33.560000,26.030000,55.350000,-
2004,-,37.740000,36.550000,18.570000,36.400000,33.800000,41.810000,35.070000,50.620000,37.970000,46.170000,49.190000,49.820000,55.120000,57.860000,46.270000,58.900000,46.960000,44.520000,37.200000,32.280000,25.120000,50.870000,45.890000
2005,-,36.620000,35.390000,17.670000,35.220000,32.830000,40.610000,34.020000,49.300000,36.770000,44.830000,47.990000,48.820000,54.050000,56.640000,45.230000,57.570000,45.400000,44.110000,36.020000,30.920000,24.630000,46.470000,44.880000
2006,-,35.530000,34.340000,17.010000,34.050000,31.850000,39.390000,32.970000,47.940000,35.610000,43.550000,46.680000,47.700000,52.870000,55.390000,44.020000,56.110000,44.100000,43.320000,34.920000,29.780000,24.150000,43.240000,45.080000
2007,-,34.440000,33.300000,16.470000,32.800000,30.930000,38.160000,31.990000,46.620000,34.350000,42.250000,45.300000,46.380000,51.550000,54.030000,42.810000,54.190000,42.950000,42.100000,33.900000,28.660000,23.620000,40.990000,43.810000
2008,-,33.320000,32.340000,15.540000,31.580000,29.870000,37.040000,30.900000,45.320000,33.120000,41.040000,44.040000,45.150000,50.240000,52.690000,41.650000,52.750000,41.760000,40.980000,32.850000,27.430000,22.520000,41.130000,42.470000
2009,-,32.330000,31.490000,14.700000,30.470000,28.920000,36.030000,29.890000,44.180000,32.010000,40.080000,42.940000,44.070000,49.130000,51.470000,40.550000,51.550000,40.630000,40.110000,31.800000,26.370000,21.630000,40.650000,42.380000
2010,-,31.270000,30.520000,13.390000,29.440000,27.980000,35.070000,28.800000,43.130000,30.980000,39.140000,41.870000,42.980000,48.000000,50.360000,39.390000,50.560000,39.480000,39.210000,30.740000,25.130000,20.580000,39.580000,40.500000
2011,-,30.280000,29.620000,11.940000,28.660000,27.080000,34.200000,27.800000,42.410000,30.170000,38.360000,41.100000,42.050000,47.280000,49.510000,38.470000,49.500000,38.550000,38.480000,29.790000,24.110000,19.480000,38.090000,39.790000
2012,-,29.320000,28.720000,10.320000,27.890000,26.150000,33.350000,26.800000,41.860000,29.240000,37.760000,40.540000,41.430000,46.820000,49.020000,37.810000,48.780000,37.540000,37.810000,28.880000,22.920000,18.310000,37.210000,38.680000
2013,-,28.390000,27.690000,8.400000,27.170000,25.190000,32.830000,25.530000,41.910000,28.460000,37.420000,40.290000,41.170000,46.570000,49.030000,37.280000,48.610000,36.640000,37.110000,27.930000,21.570000,16.980000,37.210000,39.820000
2014,-,27.450000,26.490000,6.810000,26.620000,24.100000,32.340000,24.190000,41.920000,27.550000,36.830000,40.140000,40.450000,46.210000,49.120000,36.560000,48.860000,35.930000,36.330000,27.010000,20.240000,15.590000,36.850000,36.090000
