年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,163948.000000,163454.000000,21370.000000,19618.000000,9543.000000,15697.000000,14216.000000,19524.000000,4164.000000,3414.000000,5139.000000,11040.000000,5141.000000,7787.000000,5621.000000,7855.000000,2094.000000,2851.000000,808.000000,3012.000000,2434.000000,2126.000000,447.000000,47.000000
1999,170465.000000,169979.000000,23151.000000,20758.000000,10242.000000,16061.000000,14830.000000,20555.000000,4461.000000,3463.000000,5140.000000,10893.000000,5018.000000,7799.000000,5840.000000,8031.000000,2100.000000,2972.000000,777.000000,3185.000000,2499.000000,2204.000000,449.000000,37.000000
2000,169400.000000,168922.000000,23509.000000,20591.000000,10410.000000,15951.000000,14828.000000,21107.000000,4137.000000,3460.000000,4990.000000,10685.000000,4886.000000,7421.000000,5492.000000,8117.000000,2070.000000,2823.000000,745.000000,3005.000000,2524.000000,2171.000000,440.000000,38.000000
2001,166042.000000,165477.000000,23680.000000,20802.000000,10494.000000,16076.000000,13550.000000,20619.000000,4098.000000,3209.000000,4759.000000,10277.000000,4672.000000,6966.000000,5117.000000,7743.000000,2059.000000,3019.000000,736.000000,2912.000000,2644.000000,2045.000000,494.000000,71.000000
2002,167845.000000,167308.000000,24768.000000,21400.000000,10803.000000,16061.000000,14565.000000,21264.000000,3863.000000,3335.000000,4533.000000,10011.000000,4267.000000,6988.000000,4905.000000,7446.000000,2091.000000,2803.000000,715.000000,2828.000000,2638.000000,2024.000000,474.000000,63.000000
2003,163054.000000,162451.000000,24469.000000,20626.000000,10732.000000,15886.000000,13833.000000,21007.000000,3591.000000,3062.000000,4279.000000,9500.000000,4152.000000,6421.000000,4770.000000,7429.000000,1888.000000,2793.000000,725.000000,2727.000000,2498.000000,2063.000000,544.000000,59.000000
2004,138408.000000,137855.000000,20846.000000,17959.000000,9341.000000,14151.000000,11234.000000,17984.000000,2997.000000,2547.000000,3765.000000,7892.000000,3673.000000,5335.000000,3776.000000,5949.000000,1619.000000,2376.000000,628.000000,2010.000000,2096.000000,1677.000000,486.000000,67.000000
2005,152996.000000,152404.000000,23801.000000,20643.000000,10572.000000,15688.000000,12152.000000,19008.000000,3091.000000,2859.000000,3772.000000,8549.000000,3971.000000,6329.000000,3857.000000,6357.000000,1739.000000,2628.000000,837.000000,2263.000000,2438.000000,1850.000000,494.000000,98.000000
2006,187284.000000,186504.000000,29981.000000,26382.000000,12500.000000,18590.000000,15125.000000,23817.000000,3414.000000,3251.000000,4595.000000,10632.000000,4331.000000,6655.000000,4722.000000,7999.000000,2231.000000,3131.000000,718.000000,3237.000000,2903.000000,2290.000000,672.000000,108.000000
2007,212110.000000,211201.000000,34111.000000,28918.000000,14366.000000,21225.000000,18106.000000,28211.000000,3840.000000,3471.000000,4781.000000,11652.000000,5138.000000,7162.000000,5537.000000,9157.000000,2159.000000,3164.000000,826.000000,3602.000000,3185.000000,2590.000000,785.000000,124.000000
2008,239898.000000,238868.000000,40099.000000,33428.000000,16956.000000,23910.000000,19643.000000,30780.000000,4442.000000,4219.000000,5527.000000,12715.000000,5670.000000,7929.000000,5947.000000,9586.000000,2555.000000,3761.000000,967.000000,4283.000000,3611.000000,2840.000000,933.000000,97.000000
2009,257314.000000,256265.000000,43301.000000,35214.000000,18066.000000,26944.000000,20945.000000,33909.000000,4924.000000,4384.000000,5943.000000,13852.000000,5981.000000,7597.000000,6009.000000,10334.000000,2497.000000,4072.000000,1103.000000,4624.000000,3780.000000,2786.000000,940.000000,109.000000
2010,303791.000000,302402.000000,52173.000000,40038.000000,21792.000000,31242.000000,25384.000000,39711.000000,5747.000000,5191.000000,6614.000000,16070.000000,6949.000000,9843.000000,7392.000000,12268.000000,3027.000000,4530.000000,1208.000000,5141.000000,4600.000000,3482.000000,1270.000000,119.000000
2011,298788.000000,297295.000000,52704.000000,39613.000000,22692.000000,31081.000000,24016.000000,38041.000000,5555.000000,5139.000000,6885.000000,15343.000000,6756.000000,8851.000000,6994.000000,11527.000000,2973.000000,4442.000000,1170.000000,5495.000000,4563.000000,3455.000000,1370.000000,123.000000
2012,304189.000000,302608.000000,54336.000000,39441.000000,22904.000000,32335.000000,24668.000000,38904.000000,5942.000000,5319.000000,6745.000000,15656.000000,6799.000000,8726.000000,6958.000000,11806.000000,3007.000000,4472.000000,1215.000000,5445.000000,4638.000000,3292.000000,1422.000000,159.000000
2013,315151.000000,313018.000000,56063.000000,39539.000000,24576.000000,33922.000000,25771.000000,39673.000000,5978.000000,5595.000000,7288.000000,16326.000000,7127.000000,9107.000000,7165.000000,12040.000000,2937.000000,4737.000000,1230.000000,5549.000000,4960.000000,3435.000000,1944.000000,189.000000
2014,331830.000000,329730.000000,59574.000000,41232.000000,26061.000000,35582.000000,26833.000000,41760.000000,6443.000000,6086.000000,7369.000000,17117.000000,7562.000000,9591.000000,7450.000000,12563.000000,3303.000000,5111.000000,1339.000000,5995.000000,5073.000000,3686.000000,1892.000000,208.000000
