年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,319169.000000,318426.000000,54031.000000,33623.000000,28060.000000,39534.000000,25490.000000,37530.000000,6726.000000,6989.000000,8117.000000,18758.000000,7529.000000,8701.000000,6766.000000,12159.000000,3158.000000,4838.000000,1046.000000,5633.000000,5749.000000,3989.000000,649.000000,94.000000
1999,320956.000000,320200.000000,54458.000000,33691.000000,28968.000000,40033.000000,24962.000000,37180.000000,6744.000000,7086.000000,8107.000000,19122.000000,7579.000000,8912.000000,6555.000000,12052.000000,3289.000000,4893.000000,1123.000000,5510.000000,5795.000000,4141.000000,670.000000,86.000000
2000,327157.000000,326398.000000,55211.000000,34071.000000,29649.000000,40898.000000,25965.000000,38215.000000,6970.000000,7277.000000,8112.000000,19047.000000,7576.000000,9058.000000,6762.000000,12339.000000,3151.000000,5034.000000,1088.000000,5685.000000,6074.000000,4216.000000,665.000000,94.000000
2001,323042.000000,322253.000000,53788.000000,33723.000000,30333.000000,40510.000000,24991.000000,37437.000000,6582.000000,7501.000000,8023.000000,18523.000000,7555.000000,9074.000000,6696.000000,12543.000000,3196.000000,4906.000000,1099.000000,5571.000000,5900.000000,4302.000000,700.000000,89.000000
2002,324916.000000,324119.000000,53996.000000,34282.000000,30694.000000,40688.000000,25226.000000,37618.000000,6658.000000,7410.000000,7842.000000,18514.000000,7319.000000,9339.000000,6775.000000,12486.000000,3159.000000,4958.000000,1108.000000,5620.000000,6088.000000,4339.000000,710.000000,87.000000
2003,322764.000000,321947.000000,52792.000000,32964.000000,30708.000000,41550.000000,24773.000000,37171.000000,6611.000000,7596.000000,7956.000000,18784.000000,7301.000000,9326.000000,6854.000000,12487.000000,3220.000000,4931.000000,1027.000000,5473.000000,6139.000000,4284.000000,728.000000,89.000000
2004,323482.000000,322649.000000,52762.000000,33274.000000,31189.000000,41538.000000,25057.000000,37005.000000,6603.000000,7651.000000,7752.000000,18718.000000,7259.000000,9505.000000,7013.000000,12125.000000,3220.000000,4831.000000,1152.000000,5326.000000,6290.000000,4379.000000,733.000000,100.000000
2005,267532.000000,266851.000000,43727.000000,27548.000000,26412.000000,33729.000000,20195.000000,30365.000000,5392.000000,6417.000000,6207.000000,15870.000000,6026.000000,8124.000000,5977.000000,10023.000000,2720.000000,3943.000000,942.000000,4453.000000,5183.000000,3598.000000,601.000000,80.000000
2006,282866.000000,282075.000000,46156.000000,28950.000000,28022.000000,36679.000000,21499.000000,32100.000000,5401.000000,6978.000000,6790.000000,16756.000000,6213.000000,8542.000000,5894.000000,10157.000000,2777.000000,4070.000000,931.000000,4587.000000,5627.000000,3946.000000,692.000000,99.000000
2007,306146.000000,305225.000000,50155.000000,30806.000000,30907.000000,38635.000000,23378.000000,35528.000000,5855.000000,7649.000000,7274.000000,17749.000000,6547.000000,9266.000000,6688.000000,11046.000000,2901.000000,4213.000000,1088.000000,5015.000000,6264.000000,4261.000000,817.000000,104.000000
2008,257027.000000,256220.000000,41984.000000,25355.000000,26098.000000,32798.000000,19343.000000,28627.000000,4934.000000,6848.000000,6376.000000,15271.000000,5835.000000,7969.000000,5616.000000,9265.000000,2506.000000,3610.000000,934.000000,3860.000000,5492.000000,3499.000000,718.000000,89.000000
2009,246345.000000,245523.000000,40021.000000,24423.000000,25372.000000,31190.000000,18177.000000,27542.000000,4665.000000,6680.000000,6324.000000,14748.000000,5470.000000,7522.000000,5455.000000,8884.000000,2464.000000,3419.000000,861.000000,3710.000000,5309.000000,3287.000000,730.000000,92.000000
2010,227587.000000,226781.000000,37423.000000,22605.000000,23480.000000,28491.000000,16850.000000,25600.000000,4400.000000,6240.000000,5664.000000,13751.000000,4822.000000,7042.000000,4948.000000,8009.000000,2154.000000,3178.000000,850.000000,3295.000000,4951.000000,3028.000000,712.000000,94.000000
2011,218674.000000,217912.000000,36059.000000,21962.000000,22703.000000,27875.000000,16125.000000,24055.000000,4234.000000,6186.000000,5586.000000,13194.000000,4603.000000,6461.000000,4415.000000,7465.000000,2057.000000,3052.000000,762.000000,3160.000000,4994.000000,2964.000000,698.000000,64.000000
2012,208527.000000,207718.000000,34021.000000,21444.000000,21716.000000,26464.000000,15766.000000,23591.000000,3945.000000,5948.000000,5084.000000,12028.000000,4421.000000,6231.000000,4275.000000,6982.000000,2005.000000,2788.000000,736.000000,2926.000000,4736.000000,2611.000000,717.000000,92.000000
2013,207120.000000,206362.000000,34823.000000,21492.000000,21472.000000,26289.000000,15557.000000,23098.000000,3838.000000,6077.000000,5113.000000,11728.000000,4181.000000,5942.000000,3830.000000,6811.000000,1989.000000,2791.000000,722.000000,2927.000000,4988.000000,2694.000000,669.000000,89.000000
2014,206252.000000,205413.000000,34402.000000,22204.000000,21774.000000,27003.000000,15537.000000,22745.000000,3677.000000,6304.000000,5043.000000,11289.000000,4035.000000,5716.000000,3580.000000,6288.000000,1829.000000,2705.000000,655.000000,2921.000000,5084.000000,2622.000000,743.000000,96.000000
