年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,32.060063,35.625000,58.673469,34.558824,25.159236,7.539683,51.420455,8.333333,15.384615,30.208333,60.156250,1.086957,3.289474,33.854167,31.428571,52.205882,25.000000,23.863636,1.470588,59.285714,13.888889,-,-
1999,-,47.637795,45.000000,63.888889,56.250000,37.500000,48.437500,55.357143,8.333333,16.666667,91.666667,12.500000,-,-,50.000000,85.714286,78.571429,10.714286,50.000000,16.666667,75.000000,50.000000,-,-
2000,-,39.957265,41.666667,56.250000,33.333333,50.000000,26.923077,50.000000,-,16.666667,33.333333,50.000000,-,25.000000,-,60.000000,75.000000,18.750000,56.250000,25.000000,56.250000,60.000000,-,-
2001,-,32.692308,58.333333,53.125000,21.428571,37.500000,5.357143,53.571429,-,25.000000,50.000000,25.000000,-,-,-,50.000000,-,6.250000,25.000000,50.000000,31.250000,66.666667,-,-
2002,-,24.545455,58.333333,40.625000,14.285714,28.571429,8.928571,25.000000,-,12.500000,50.000000,18.750000,-,8.333333,5.000000,37.500000,50.000000,37.500000,-,50.000000,-,41.666667,-,-
2003,-,17.548077,50.000000,28.125000,21.428571,4.166667,6.250000,12.500000,16.666667,33.333333,25.000000,-,20.000000,-,6.250000,31.250000,18.750000,25.000000,16.666667,33.333333,-,-,-,-
2004,-,15.136054,35.714286,31.250000,17.500000,17.500000,2.083333,9.722222,10.000000,-,16.666667,-,8.333333,20.000000,8.333333,50.000000,4.166667,33.333333,-,8.333333,-,25.000000,-,-
2005,-,13.620690,10.714286,37.500000,15.625000,5.000000,2.083333,20.833333,5.000000,37.500000,25.000000,-,8.333333,5.000000,-,25.000000,4.166667,4.166667,-,10.000000,-,25.000000,-,-
2006,-,13.000000,21.428571,20.588235,18.750000,-,2.083333,20.833333,-,29.166667,28.571429,-,-,20.000000,25.000000,25.000000,16.666667,-,-,5.000000,-,-,-,-
2007,-,11.724138,21.428571,4.166667,40.625000,-,-,13.888889,-,33.333333,46.428571,5.000000,-,15.000000,12.500000,12.500000,16.666667,-,-,5.000000,-,5.000000,-,-
2008,-,10.130719,7.142857,6.250000,34.375000,-,14.583333,6.944444,-,20.833333,13.461538,25.000000,-,10.000000,8.333333,12.500000,20.833333,4.166667,-,7.142857,-,10.000000,-,-
2009,-,6.666667,10.714286,2.083333,37.500000,2.500000,6.666667,6.944444,-,4.166667,-,-,-,-,12.500000,4.166667,4.166667,-,-,20.000000,-,5.000000,-,-
2010,-,391.000000,14.290000,-,37.500000,-,-,-,-,-,-,6.670000,-,-,16.670000,-,5.560000,-,-,-,-,-,-,-
2011,-,3.270000,10.260000,-,13.890000,-,5.560000,2.780000,-,-,-,-,-,-,-,-,5.560000,-,-,-,-,13.330000,-,-
2012,-,2.460000,23.080000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.330000,-,-,-,-
2013,-,1.770000,15.380000,-,-,-,-,2.780000,-,-,-,-,-,-,-,-,-,-,-,6.670000,-,-,-,-
2014,-,3.530000,20.510000,-,-,-,-,2.780000,-,-,-,40.000000,-,-,-,-,-,-,6.670000,-,-,-,-,-
