年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,191852.000000,191141.000000,11713.000000,33500.000000,12542.000000,13664.000000,9578.000000,34916.000000,2372.000000,476.000000,6292.000000,8927.000000,7731.000000,7683.000000,8810.000000,11355.000000,3232.000000,8225.000000,2101.000000,3622.000000,2166.000000,2236.000000,657.000000,54.000000
1999,190583.000000,189992.000000,11138.000000,30082.000000,11685.000000,14191.000000,9705.000000,35701.000000,1998.000000,494.000000,6215.000000,9986.000000,7507.000000,6607.000000,8245.000000,10737.000000,3313.000000,8337.000000,1784.000000,6664.000000,2874.000000,2729.000000,548.000000,43.000000
2000,204869.000000,204310.000000,12369.000000,32077.000000,12570.000000,17115.000000,10389.000000,36496.000000,2060.000000,533.000000,6366.000000,11680.000000,8463.000000,7616.000000,9084.000000,10689.000000,3352.000000,8905.000000,1712.000000,6940.000000,3020.000000,2874.000000,516.000000,43.000000
2001,181211.000000,180742.000000,10962.000000,27444.000000,10012.000000,16689.000000,9767.000000,30399.000000,1707.000000,426.000000,6016.000000,10857.000000,8436.000000,7914.000000,8996.000000,9433.000000,2772.000000,5988.000000,1821.000000,6120.000000,2035.000000,2948.000000,435.000000,34.000000
2002,182392.000000,182094.000000,11702.000000,25202.000000,9850.000000,17728.000000,10248.000000,30267.000000,1837.000000,429.000000,6116.000000,11263.000000,8858.000000,8151.000000,9198.000000,9414.000000,2839.000000,5781.000000,1901.000000,6278.000000,1938.000000,3094.000000,264.000000,34.000000
2003,173951.000000,173704.000000,11035.000000,23060.000000,9115.000000,15267.000000,10252.000000,29179.000000,2006.000000,1325.000000,5987.000000,10021.000000,8713.000000,8676.000000,9479.000000,8744.000000,2611.000000,5593.000000,1945.000000,5952.000000,1828.000000,2916.000000,217.000000,30.000000
2004,156446.000000,156222.000000,9135.000000,20912.000000,8145.000000,14595.000000,9336.000000,27099.000000,1876.000000,1366.000000,5121.000000,8443.000000,8373.000000,7760.000000,9014.000000,7481.000000,1836.000000,4226.000000,1735.000000,5434.000000,1667.000000,2668.000000,192.000000,32.000000
2005,148118.000000,147933.000000,8282.000000,19295.000000,7619.000000,13242.000000,8876.000000,27527.000000,1819.000000,1184.000000,4833.000000,7569.000000,8357.000000,6779.000000,8741.000000,7268.000000,1702.000000,4057.000000,1733.000000,4969.000000,1474.000000,2607.000000,156.000000,29.000000
2006,140544.000000,140400.000000,7119.000000,17990.000000,7385.000000,11983.000000,8776.000000,28212.000000,1772.000000,1222.000000,4412.000000,7067.000000,7561.000000,6619.000000,8364.000000,7148.000000,1386.000000,3208.000000,1689.000000,4608.000000,1391.000000,2488.000000,119.000000,25.000000
2007,134644.000000,134533.000000,6891.000000,16764.000000,7085.000000,11454.000000,8520.000000,28418.000000,1740.000000,941.000000,3871.000000,6439.000000,7321.000000,6222.000000,7597.000000,7068.000000,1295.000000,3181.000000,1548.000000,4426.000000,1287.000000,2465.000000,91.000000,20.000000
2008,125951.000000,125853.000000,6831.000000,14274.000000,6936.000000,10626.000000,7965.000000,28562.000000,1802.000000,952.000000,3428.000000,6087.000000,6617.000000,6164.000000,6481.000000,6704.000000,1167.000000,1936.000000,1404.000000,4287.000000,1253.000000,2377.000000,79.000000,19.000000
2009,122523.000000,122434.000000,7156.000000,13183.000000,6903.000000,10517.000000,7903.000000,28743.000000,1775.000000,929.000000,3170.000000,5332.000000,6453.000000,5782.000000,6124.000000,6643.000000,942.000000,1814.000000,1318.000000,4194.000000,1184.000000,2369.000000,74.000000,15.000000
2010,119861.000000,119779.000000,7640.000000,12405.000000,6699.000000,10232.000000,7925.000000,29319.000000,1735.000000,1072.000000,2971.000000,5119.000000,6000.000000,5419.000000,5781.000000,6615.000000,887.000000,1798.000000,1154.000000,3625.000000,1150.000000,2233.000000,73.000000,9.000000
2011,120266.000000,120188.000000,8311.000000,11667.000000,6630.000000,10452.000000,8132.000000,30061.000000,1772.000000,1143.000000,2781.000000,5124.000000,5929.000000,5414.000000,5537.000000,6782.000000,973.000000,1661.000000,1062.000000,3467.000000,1169.000000,2121.000000,70.000000,8.000000
2012,120968.000000,120894.000000,9247.000000,11090.000000,6447.000000,11236.000000,8259.000000,30708.000000,1834.000000,1218.000000,2616.000000,5112.000000,5694.000000,5174.000000,5263.000000,6816.000000,1061.000000,1620.000000,923.000000,3274.000000,1207.000000,2095.000000,63.000000,11.000000
2013,120869.000000,120798.000000,9929.000000,10786.000000,6321.000000,11312.000000,8411.000000,30412.000000,1833.000000,1251.000000,2491.000000,5268.000000,5780.000000,5226.000000,5104.000000,6739.000000,1064.000000,1611.000000,906.000000,3080.000000,1183.000000,2091.000000,60.000000,11.000000
2014,122423.000000,122348.000000,10572.000000,10473.000000,6154.000000,12018.000000,8752.000000,30719.000000,1893.000000,1269.000000,2346.000000,5497.000000,5690.000000,5190.000000,5009.000000,6867.000000,1109.000000,1672.000000,812.000000,3095.000000,1205.000000,2006.000000,65.000000,10.000000
