年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,28303.000000,2531.000000,675.000000,2676.000000,3501.000000,2699.000000,3182.000000,1235.000000,1257.000000,1117.000000,1290.000000,408.000000,2193.000000,1650.000000,1697.000000,140.000000,609.000000,345.000000,379.000000,402.000000,317.000000,-,-
1999,-,27807.000000,3113.000000,681.000000,2032.000000,2956.000000,3306.000000,3229.000000,820.000000,1168.000000,1136.000000,2954.000000,222.000000,1220.000000,1393.000000,1546.000000,250.000000,476.000000,267.000000,367.000000,290.000000,381.000000,-,-
2000,-,28055.000000,3618.000000,398.000000,1596.000000,1940.000000,3255.000000,2294.000000,727.000000,934.000000,1072.000000,5258.000000,334.000000,1165.000000,1374.000000,1545.000000,499.000000,520.000000,254.000000,604.000000,308.000000,360.000000,-,-
2001,-,27261.000000,4919.000000,323.000000,1201.000000,1273.000000,2445.000000,2644.000000,558.000000,802.000000,1003.000000,4577.000000,349.000000,1978.000000,1643.000000,1690.000000,265.000000,390.000000,236.000000,436.000000,229.000000,300.000000,-,-
2002,-,27500.000000,4308.000000,302.000000,901.000000,1176.000000,4628.000000,2396.000000,514.000000,760.000000,1429.000000,4358.000000,238.000000,1961.000000,1242.000000,1555.000000,206.000000,341.000000,143.000000,201.000000,475.000000,366.000000,-,-
2003,-,24230.000000,2730.000000,372.000000,993.000000,1056.000000,4045.000000,2940.000000,575.000000,617.000000,878.000000,362.000000,697.000000,2411.000000,2485.000000,1239.000000,170.000000,480.000000,259.000000,640.000000,696.000000,585.000000,-,-
2004,-,24602.000000,3332.000000,572.000000,1127.000000,969.000000,4284.000000,2982.000000,655.000000,744.000000,1404.000000,871.000000,652.000000,1726.000000,1672.000000,1428.000000,233.000000,348.000000,222.000000,398.000000,637.000000,346.000000,-,-
2005,-,30444.000000,4404.000000,884.000000,1760.000000,2011.000000,3467.000000,4679.000000,633.000000,1079.000000,851.000000,2252.000000,502.000000,2102.000000,1363.000000,1931.000000,179.000000,682.000000,395.000000,450.000000,621.000000,199.000000,-,-
2006,-,38004.000000,5793.000000,528.000000,2176.000000,2992.000000,4189.000000,6108.000000,870.000000,832.000000,1373.000000,887.000000,974.000000,2635.000000,1344.000000,4048.000000,539.000000,761.000000,478.000000,601.000000,606.000000,270.000000,-,-
2007,36004.000000,35573.000000,4760.000000,525.000000,1784.000000,2187.000000,3535.000000,5909.000000,678.000000,843.000000,1360.000000,1089.000000,864.000000,3274.000000,1634.000000,2879.000000,610.000000,1081.000000,342.000000,529.000000,893.000000,797.000000,389.000000,42.000000
2008,42804.000000,42197.000000,2820.000000,997.000000,3076.000000,2484.000000,3699.000000,5705.000000,1060.000000,1024.000000,1208.000000,2894.000000,1060.000000,2764.000000,1916.000000,6924.000000,1083.000000,648.000000,531.000000,248.000000,1050.000000,1006.000000,587.000000,20.000000
2009,44798.000000,44327.000000,2519.000000,1778.000000,3851.000000,2630.000000,4365.000000,7226.000000,1113.000000,1068.000000,1642.000000,1561.000000,2140.000000,3183.000000,2051.000000,4403.000000,1352.000000,1033.000000,722.000000,283.000000,554.000000,853.000000,470.000000,1.000000
2010,46834.000000,46355.000000,3743.000000,1542.000000,4519.000000,3316.000000,3896.000000,6268.000000,1355.000000,993.000000,1265.000000,2583.000000,1511.000000,2109.000000,1912.000000,5346.000000,1755.000000,1362.000000,597.000000,213.000000,1019.000000,1051.000000,479.000000,-
2011,43118.000000,42570.000000,5815.000000,1520.000000,3754.000000,2522.000000,3829.000000,4363.000000,1249.000000,1052.000000,1307.000000,1901.000000,1207.000000,2131.000000,2019.000000,4647.000000,1155.000000,1214.000000,959.000000,210.000000,862.000000,854.000000,529.000000,19.000000
2012,36641.000000,36271.000000,4862.000000,2680.000000,3658.000000,1751.000000,3554.000000,4358.000000,1189.000000,1074.000000,1240.000000,1925.000000,782.000000,2075.000000,2070.000000,2663.000000,298.000000,558.000000,446.000000,223.000000,684.000000,181.000000,370.000000,-
2013,33382.000000,32999.000000,4585.000000,1658.000000,3662.000000,1231.000000,4714.000000,3522.000000,1074.000000,1020.000000,1156.000000,2001.000000,582.000000,1742.000000,1740.000000,1636.000000,243.000000,894.000000,518.000000,228.000000,591.000000,202.000000,367.000000,16.000000
2014,34593.000000,34183.000000,5541.000000,2480.000000,3847.000000,1850.000000,4203.000000,3446.000000,751.000000,1501.000000,719.000000,2514.000000,375.000000,1513.000000,1650.000000,1621.000000,205.000000,582.000000,435.000000,223.000000,672.000000,55.000000,391.000000,19.000000
