年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,6574.000000,1548.000000,749.000000,1264.000000,445.000000,440.000000,550.000000,42.000000,91.000000,111.000000,779.000000,48.000000,199.000000,84.000000,132.000000,9.000000,34.000000,3.000000,28.000000,13.000000,5.000000,-,-
1999,-,4571.000000,687.000000,473.000000,921.000000,194.000000,819.000000,469.000000,45.000000,54.000000,74.000000,499.000000,28.000000,76.000000,67.000000,86.000000,5.000000,14.000000,7.000000,36.000000,6.000000,11.000000,-,-
2000,-,3749.000000,507.000000,59.000000,839.000000,266.000000,302.000000,683.000000,62.000000,56.000000,102.000000,377.000000,94.000000,106.000000,74.000000,104.000000,7.000000,18.000000,8.000000,60.000000,20.000000,5.000000,-,-
2001,-,3135.000000,340.000000,65.000000,706.000000,255.000000,348.000000,549.000000,61.000000,66.000000,111.000000,349.000000,20.000000,98.000000,37.000000,47.000000,8.000000,18.000000,2.000000,30.000000,21.000000,4.000000,-,-
2002,-,2989.000000,389.000000,26.000000,612.000000,221.000000,292.000000,395.000000,54.000000,46.000000,129.000000,372.000000,56.000000,181.000000,67.000000,73.000000,21.000000,4.000000,4.000000,13.000000,23.000000,11.000000,-,-
2003,-,2067.000000,231.000000,29.000000,318.000000,230.000000,296.000000,310.000000,41.000000,55.000000,49.000000,239.000000,37.000000,68.000000,29.000000,34.000000,13.000000,10.000000,3.000000,19.000000,54.000000,2.000000,-,-
2004,-,2125.000000,226.000000,34.000000,295.000000,186.000000,240.000000,465.000000,29.000000,34.000000,94.000000,203.000000,35.000000,82.000000,37.000000,58.000000,11.000000,37.000000,10.000000,11.000000,29.000000,9.000000,-,-
2005,-,1835.000000,171.000000,34.000000,324.000000,130.000000,153.000000,329.000000,38.000000,52.000000,57.000000,152.000000,38.000000,118.000000,21.000000,103.000000,12.000000,41.000000,4.000000,7.000000,32.000000,19.000000,-,-
2006,-,2121.000000,152.000000,47.000000,528.000000,193.000000,168.000000,261.000000,64.000000,66.000000,64.000000,221.000000,37.000000,90.000000,37.000000,68.000000,12.000000,36.000000,7.000000,10.000000,52.000000,8.000000,-,-
2007,2397.000000,2397.000000,369.000000,66.000000,645.000000,136.000000,252.000000,232.000000,55.000000,91.000000,47.000000,197.000000,34.000000,47.000000,20.000000,93.000000,11.000000,45.000000,2.000000,4.000000,39.000000,12.000000,-,-
2008,2463.000000,2460.000000,416.000000,35.000000,534.000000,150.000000,344.000000,178.000000,52.000000,122.000000,83.000000,204.000000,35.000000,68.000000,48.000000,68.000000,16.000000,28.000000,5.000000,10.000000,44.000000,20.000000,2.000000,1.000000
2009,1967.000000,1965.000000,328.000000,27.000000,389.000000,117.000000,306.000000,147.000000,52.000000,76.000000,57.000000,168.000000,42.000000,64.000000,48.000000,69.000000,9.000000,16.000000,3.000000,2.000000,38.000000,7.000000,2.000000,-
2010,1999.000000,1995.000000,183.000000,25.000000,415.000000,193.000000,270.000000,187.000000,78.000000,69.000000,59.000000,173.000000,51.000000,96.000000,30.000000,85.000000,3.000000,17.000000,2.000000,12.000000,45.000000,2.000000,4.000000,-
2011,2053.000000,2052.000000,257.000000,28.000000,274.000000,191.000000,203.000000,226.000000,90.000000,71.000000,58.000000,176.000000,69.000000,207.000000,43.000000,56.000000,19.000000,20.000000,-,9.000000,37.000000,18.000000,1.000000,-
2012,2191.000000,2190.000000,306.000000,30.000000,341.000000,241.000000,335.000000,208.000000,62.000000,52.000000,65.000000,166.000000,36.000000,145.000000,36.000000,95.000000,11.000000,15.000000,1.000000,6.000000,35.000000,4.000000,1.000000,-
2013,2234.000000,2231.000000,250.000000,57.000000,378.000000,233.000000,219.000000,279.000000,64.000000,55.000000,55.000000,147.000000,58.000000,143.000000,34.000000,172.000000,15.000000,14.000000,1.000000,12.000000,34.000000,11.000000,3.000000,-
2014,3133.000000,3126.000000,300.000000,49.000000,535.000000,413.000000,306.000000,395.000000,83.000000,94.000000,123.000000,243.000000,27.000000,173.000000,68.000000,200.000000,20.000000,33.000000,3.000000,15.000000,35.000000,11.000000,3.000000,4.000000
