年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,8.540000,8.650000,11.430000,15.950000,22.620000,15.170000,4.430000,9.790000,-2.090000,14.840000,-0.870000,2.870000,-1.520000,-3.880000,-3.460000,-3.530000,-12.110000,-4.120000,-18.710000,7.240000,12.630000,0.870000,-0.390000,-209.530000
1999,7.470000,7.460000,14.830000,0.520000,24.410000,15.360000,5.310000,6.130000,-1.340000,13.520000,-0.100000,3.210000,-3.360000,-3.680000,-5.430000,-1.670000,-8.550000,-2.570000,-5.030000,8.070000,16.040000,7.830000,13.140000,-14.270000
2000,8.340000,8.260000,16.230000,1.950000,24.430000,15.730000,5.760000,7.170000,0.390000,13.710000,-0.180000,3.750000,-4.600000,-3.850000,-0.630000,-1.570000,-10.040000,-5.780000,5.430000,8.370000,17.910000,4.050000,40.610000,26.370000
2001,5.790000,5.570000,11.870000,-4.790000,17.510000,10.520000,3.210000,2.260000,1.320000,14.980000,1.670000,2.640000,0.520000,0.260000,1.890000,1.950000,-2.850000,-1.390000,30.970000,6.540000,13.180000,6.800000,58.070000,314.570000
2002,5.140000,5.070000,8.640000,3.060000,16.810000,9.060000,2.390000,4.210000,-3.630000,14.290000,0.220000,1.660000,-0.970000,-1.030000,-1.720000,-3.500000,-2.650000,-2.790000,1.930000,1.240000,14.740000,-0.320000,34.670000,-9.940000
2003,3.720000,3.640000,9.640000,-5.570000,16.440000,8.480000,2.050000,1.430000,-1.770000,14.600000,0.240000,0.200000,-1.650000,-3.090000,-3.530000,-2.660000,-4.600000,-2.860000,-2.090000,2.020000,10.820000,6.300000,34.790000,4.910000
2004,3.740000,3.570000,8.590000,-1.780000,16.990000,7.340000,2.220000,1.740000,-2.160000,17.330000,-0.460000,0.240000,-3.670000,-5.040000,-4.470000,-3.950000,-10.170000,-5.690000,-4.820000,0.240000,10.590000,2.770000,56.950000,62.800000
2005,3.580000,3.290000,7.710000,-2.320000,14.730000,7.020000,1.250000,0.680000,-1.510000,22.320000,-1.250000,-0.710000,-2.310000,-4.670000,-1.440000,-2.110000,-5.950000,-5.300000,7.420000,-1.550000,9.670000,5.030000,90.110000,105.350000
2006,4.660000,4.430000,8.140000,6.060000,16.400000,8.420000,2.040000,2.430000,-2.510000,20.970000,0.080000,-0.600000,-3.650000,-6.600000,-5.850000,-5.290000,-12.500000,-5.740000,-7.610000,-2.790000,10.400000,2.440000,88.620000,-54.040000
2007,3.580000,3.360000,8.210000,-1.130000,12.460000,7.330000,1.790000,1.700000,-0.060000,16.670000,0.320000,-0.520000,-2.780000,-3.870000,-4.510000,-4.460000,-9.730000,-5.790000,6.590000,-0.600000,10.840000,2.610000,66.100000,16.350000
2008,3.430000,3.320000,9.400000,-2.410000,12.260000,6.630000,1.570000,1.510000,1.090000,15.030000,0.420000,-1.080000,-3.680000,-2.750000,-4.740000,-5.310000,-7.750000,-5.440000,9.940000,-3.630000,15.880000,2.630000,37.070000,-19.200000
2009,3.590000,3.200000,10.410000,-5.910000,10.260000,4.450000,1.280000,0.660000,1.570000,15.120000,2.400000,-0.360000,-1.750000,-1.210000,-1.850000,-2.480000,2.790000,-1.370000,31.100000,-1.690000,15.330000,0.250000,109.180000,16.810000
2010,1.830000,1.680000,6.120000,4.350000,11.760000,4.800000,-0.860000,0.940000,-2.470000,4.180000,-1.380000,-3.950000,-8.160000,-7.110000,-8.160000,-10.350000,-7.850000,-6.330000,7.360000,-10.780000,9.130000,-5.370000,37.960000,2.520000
2011,2.710000,2.430000,4.900000,12.290000,5.620000,6.030000,1.690000,0.360000,-3.090000,9.020000,1.860000,-3.250000,-7.000000,-5.710000,-9.770000,-10.280000,-10.330000,-5.810000,2.470000,-10.950000,11.340000,-3.170000,66.950000,16.290000
2012,3.910000,3.480000,5.840000,8.400000,8.370000,7.690000,2.500000,1.510000,-1.020000,12.270000,3.500000,-2.430000,-4.990000,-3.590000,-7.840000,-7.040000,-8.930000,-4.890000,17.350000,-7.300000,11.950000,-1.130000,88.830000,119.140000
2013,2.470000,2.120000,3.970000,4.970000,6.830000,6.250000,0.830000,0.440000,-0.300000,12.390000,2.800000,-2.970000,-5.720000,-4.500000,-8.420000,-7.170000,-6.320000,-3.860000,15.750000,-5.940000,8.030000,-1.280000,67.210000,75.600000
2014,2.580000,2.280000,3.010000,5.880000,7.000000,6.730000,0.570000,-0.320000,0.700000,13.470000,2.790000,-3.500000,-5.620000,-3.440000,-8.400000,-5.130000,-1.560000,-1.510000,13.530000,-4.900000,8.180000,0.040000,58.070000,28.030000
