年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,467.000000,-,-,50.000000,-,-,-,16.000000,-,-,-,142.000000,-,259.000000,-,-,-,-,-,-,-,-,-
1999,-,581.000000,-,-,36.000000,-,-,-,17.000000,-,-,-,129.000000,-,399.000000,-,-,-,-,-,-,-,-,-
2000,-,558.000000,-,-,24.000000,-,-,-,16.000000,-,-,-,139.000000,-,379.000000,-,-,-,-,-,-,-,-,-
2001,609.000000,609.000000,-,-,94.000000,-,-,-,15.000000,-,-,-,120.000000,-,380.000000,-,-,-,-,-,-,-,-,-
2002,609.000000,609.000000,-,-,105.000000,-,-,-,18.000000,-,-,-,155.000000,-,331.000000,-,-,-,-,-,-,-,-,-
2003,475.000000,475.000000,-,-,70.000000,-,-,-,17.000000,-,-,-,170.000000,-,218.000000,-,-,-,-,-,-,-,-,-
2004,255.000000,255.000000,-,-,50.000000,-,-,-,17.000000,-,-,-,155.000000,-,33.000000,-,-,-,-,-,-,-,-,-
2005,207.427000,207.427000,-,-,6.500000,-,-,-,19.827000,-,-,-,144.600000,-,36.500000,-,-,-,-,-,-,-,-,-
2006,155.310000,155.310000,-,-,3.000000,-,-,-,11.105000,-,-,-,133.205000,-,8.000000,-,-,-,-,-,-,-,-,-
2007,241.466000,241.466000,-,-,0.016000,-,-,-,0.850000,-,-,-,145.800000,-,94.800000,-,-,-,-,-,-,-,-,-
2008,197.610000,197.610000,-,-,-,-,-,-,2.410000,-,-,-,132.200000,-,63.000000,-,-,-,-,-,-,-,-,-
2009,132.200000,132.200000,-,-,-,-,-,-,-,-,-,-,92.400000,-,39.800000,-,-,-,-,-,-,-,-,-
2010,76.790000,76.790000,-,-,-,-,-,-,0.390000,-,-,-,73.900000,-,2.500000,-,-,-,-,-,-,-,-,-
2011,68.895000,68.895000,-,-,-,-,-,-,1.295000,-,-,-,61.600000,-,6.000000,-,-,-,-,-,-,-,-,-
2012,66.396000,66.396000,-,-,-,-,-,-,1.870000,-,-,-,55.326000,-,9.200000,-,-,-,-,-,-,-,-,-
2013,29.002000,29.002000,-,-,-,-,-,-,1.450000,-,-,-,10.452000,-,17.100000,-,-,-,-,-,-,-,-,-
2014,30.101000,30.101000,-,-,-,-,-,-,1.620000,-,-,-,11.081000,-,17.400000,-,-,-,-,-,-,-,-,-
