年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,27.547155,2.584117,-,90.331273,11.376858,71.959063,12.048404,4.641793,84.884956,10.964409,78.384120,86.333013,89.786362,79.392062,40.345655,9.742775,62.268322,-,-,0.132911,100.000000,-,-
1999,-,27.510683,1.816300,-,93.474374,11.960784,78.205764,11.203061,4.341475,88.689307,34.772370,78.762602,88.154270,94.222793,78.301098,41.535622,9.405501,43.694084,-,-,0.241036,100.000000,-,-
2000,-,27.696714,2.235232,-,92.788566,10.661679,75.634607,9.747563,6.197427,86.886102,51.486068,80.810992,83.818393,93.857950,79.506612,39.666324,10.609868,35.548387,-,-,0.101321,100.000000,-,-
2001,35.833010,35.913482,1.042836,-,92.969791,11.723362,79.754833,18.749027,7.966480,76.464779,5.974843,84.403248,83.240223,96.293291,83.542925,42.325976,9.675621,21.739130,-,-,0.181879,100.000000,1.870187,-
2002,37.297691,37.368216,1.062873,-,92.762276,15.365768,82.442841,19.343076,8.797603,84.530597,5.697880,82.586218,76.586103,96.371583,83.549476,49.282204,9.187731,56.907776,-,-,0.193717,100.000000,2.196193,-
2003,34.897647,34.948880,0.196624,-,93.549669,10.889236,82.975013,15.348147,3.458170,62.475884,7.196970,83.166206,69.696970,96.285176,83.461607,54.126217,5.309204,71.632353,-,-,0.215264,100.000000,3.115265,-
2004,34.964239,35.019427,3.216704,-,91.817276,8.092486,81.677676,17.292292,2.302547,56.238616,7.431341,83.366248,68.559838,79.303132,85.692740,49.488007,10.241100,53.577107,-,-,0.076011,100.000000,8.928571,-
2005,33.072941,33.118201,0.610853,-,93.701722,5.767417,82.001156,14.291948,1.976849,56.392230,7.755576,83.876996,68.968625,77.625120,85.037352,46.948937,11.046912,62.616911,-,-,0.206322,-,11.664296,-
2006,34.133089,34.170904,1.488330,-,91.332626,0.662811,81.367752,11.932380,5.242669,54.161878,6.989776,81.680412,53.260092,87.239273,82.347377,42.059219,7.151899,61.930880,-,-,0.322095,-,17.148998,-
2007,29.728435,29.753402,0.600563,-,91.544508,0.736057,82.563814,9.746383,7.981440,81.140483,5.291389,82.170353,54.387611,84.230304,80.890983,46.031849,4.328248,70.765657,-,-,0.469674,-,21.757925,-
2008,32.275739,32.306353,0.660183,-,91.786069,0.599840,85.309651,11.008953,6.558993,87.791202,11.908224,83.329481,55.088292,84.457869,75.430715,47.244611,4.401813,63.823769,-,-,0.180339,-,19.988019,-
2009,36.167556,36.218710,3.815562,-,82.748089,0.536114,85.743029,18.317441,3.406884,82.762870,8.658096,84.151406,56.892932,88.992665,74.315273,39.762806,6.379085,63.037975,-,-,0.165502,-,19.385554,-
2010,0.462214,0.463866,0.491866,-,81.725117,1.670086,87.247154,13.400508,4.565335,94.798565,20.818533,84.114416,52.322581,82.712584,77.096386,41.380085,16.850907,64.057729,2.174349,-,0.752565,-,12.495363,-
2011,35.907832,35.959512,0.428206,-,79.309584,0.562179,90.259498,14.071117,4.561496,92.069840,27.406365,82.981389,52.831272,84.421058,75.816017,41.277969,15.011053,68.792203,4.160011,-,0.329589,-,4.722910,-
2012,38.239223,38.289257,0.711942,-,70.009981,0.417724,88.855208,14.247446,5.605332,91.539128,23.564045,81.655053,67.039605,89.869161,80.256019,45.600171,11.317414,64.280426,3.232694,-,0.540842,-,3.859706,-
2013,38.414975,38.457586,0.842332,-,62.687126,0.599040,89.702418,13.006673,6.258507,89.369205,23.856600,82.061121,92.237480,89.092686,85.229116,52.301884,8.662426,67.713339,6.539458,-,1.056238,-,5.262858,-
2014,34.264422,34.299714,0.524901,-,60.096007,0.419452,92.582141,8.974260,6.574097,93.764200,25.935459,81.528895,91.557526,90.315391,84.090334,49.041754,1.677003,62.414581,3.071240,-,1.062715,-,18.029357,-
