年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,40.161826,40.125028,37.762620,38.800000,38.929981,39.174133,41.300478,40.222164,39.800393,39.330255,41.790046,40.245413,40.890766,41.479752,41.425779,41.412074,39.480754,40.599878,38.133829,39.413762,39.828595,42.158206,43.780000,37.390000
1999,40.133844,40.140700,37.000297,38.580000,38.395545,39.429937,41.507356,40.356095,40.157962,39.490507,41.048747,40.265375,40.826337,41.928857,41.606525,41.602014,39.717354,40.541195,38.506601,39.427458,39.634369,41.920169,43.510000,36.600000
2000,40.036717,40.026432,37.285979,38.850000,38.079145,39.311186,41.118922,40.286008,40.133422,39.483175,40.924822,40.060964,40.378215,41.480481,41.502881,41.875155,38.922588,41.046374,38.945707,39.084615,39.423592,41.698586,43.750000,36.560000
2001,39.859277,39.790953,37.419677,39.110000,37.495739,39.248582,40.964659,40.084425,39.353037,39.138597,39.914471,39.949944,39.975371,41.919081,40.695358,41.102870,39.930622,40.370132,39.053381,39.292985,38.985679,40.889643,43.700000,37.590000
2002,39.545331,39.474490,37.697012,39.040000,37.580393,39.234876,40.646082,39.735149,38.464882,38.690529,39.370162,39.793870,39.658294,41.638737,39.981323,41.086529,39.506318,39.912622,39.080205,38.450875,38.130327,40.598986,42.590000,38.130000
2003,39.456879,39.326568,37.859938,38.953757,37.837037,38.959230,40.568576,39.500007,38.196823,38.455679,38.990954,39.483505,39.777528,41.352724,39.702076,41.083538,39.221032,39.666227,39.561123,38.788166,37.804074,39.721264,42.529603,39.381295
2004,39.390532,39.250769,37.720000,39.155139,37.770000,38.860000,40.110000,39.601274,38.390000,38.660000,39.150000,39.100000,39.840000,40.720000,39.490000,40.650000,39.230000,40.020000,39.300000,38.820000,38.200000,39.410000,42.989418,39.006186
2005,39.696734,39.563961,38.260000,39.724265,38.030000,39.180000,40.305000,40.083417,38.910000,39.090000,39.710000,39.180000,39.860000,40.540000,39.820000,40.630000,39.790000,40.430000,39.420000,39.130000,38.740000,39.570000,43.039084,39.408163
2006,39.990082,39.868715,38.400000,40.085968,38.120000,39.280000,40.590000,40.367243,39.400000,39.630000,40.080000,39.490000,40.210000,40.630000,40.100000,40.840000,40.320000,40.870000,39.900000,39.490000,39.100000,39.840000,43.016523,39.755064
2007,40.313435,40.215999,38.720000,40.436770,38.370000,39.615000,40.840000,40.675598,39.760000,39.870000,40.400000,39.910000,40.740000,40.810000,40.460000,41.190000,40.850000,41.190000,40.490000,39.860000,39.590000,40.060000,43.049902,39.818015
2008,40.691017,40.613088,39.120000,40.616517,38.690000,40.025000,41.245000,41.092251,40.100000,40.330000,40.790000,40.340000,41.210000,40.920000,40.760000,41.550000,41.260000,41.620000,41.100000,40.380000,40.010000,40.580000,42.980806,40.193606
2009,41.142219,41.062396,39.480000,40.961406,39.100000,40.515000,41.660000,41.526848,40.650000,40.740000,41.260000,40.910000,41.830000,41.190000,41.030000,42.010000,41.660000,42.240000,41.770000,40.860000,40.290000,41.050000,43.150728,40.969643
2010,41.375620,41.280869,39.521065,41.059877,39.361501,40.780965,41.823893,41.752114,40.973624,40.935585,41.413839,41.177091,42.189829,41.353662,41.259502,42.248984,41.890510,42.369418,41.920754,41.290162,40.601152,41.179487,43.083386,41.847122
2011,41.860909,41.717000,39.900000,42.010000,39.960000,41.310000,42.080000,42.210000,41.620000,41.390000,41.610000,41.660000,42.810000,41.610000,41.690000,42.730000,41.900000,42.700000,42.540000,41.840000,41.110000,41.660000,43.770000,42.830000
2012,41.623005,41.878995,39.987238,42.036079,40.227061,41.468317,42.055000,42.176673,41.881551,41.638392,41.753956,41.799701,43.011230,41.933844,41.964399,42.899868,41.887959,42.746057,42.889375,42.119359,41.266754,41.837095,43.770727,43.282918
2013,41.343936,41.330317,39.680311,41.659456,40.055207,41.274109,41.710245,41.869215,41.777393,41.255234,41.500310,41.696958,42.816139,41.760199,41.859084,42.691750,41.473864,42.508804,42.687524,42.151293,40.850608,41.684980,43.268871,43.475850
2014,41.502593,41.491153,39.775242,41.820720,40.207281,41.414893,41.885965,42.155849,42.008714,41.493462,41.664811,41.874622,43.090921,42.006049,42.156774,42.873058,41.475048,42.612349,42.657534,42.096023,40.806676,41.913667,42.960615,43.636525
