年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,529.000000,519.000000,75.000000,42.000000,29.000000,46.000000,39.000000,54.000000,17.000000,14.000000,20.000000,29.000000,22.000000,21.000000,20.000000,38.000000,17.000000,14.000000,7.000000,8.000000,4.000000,3.000000,5.000000,5.000000
2007,539.000000,528.000000,80.000000,42.000000,29.000000,45.000000,39.000000,54.000000,18.000000,14.000000,20.000000,30.000000,23.000000,23.000000,20.000000,38.000000,17.000000,14.000000,7.000000,8.000000,4.000000,3.000000,5.000000,6.000000
2008,544.000000,535.000000,82.000000,43.000000,30.000000,47.000000,39.000000,54.000000,18.000000,14.000000,22.000000,30.000000,22.000000,22.000000,20.000000,37.000000,18.000000,14.000000,7.000000,9.000000,4.000000,3.000000,5.000000,4.000000
2009,537.000000,527.000000,83.000000,43.000000,30.000000,45.000000,40.000000,55.000000,18.000000,14.000000,22.000000,28.000000,14.000000,22.000000,20.000000,38.000000,17.000000,14.000000,7.000000,9.000000,4.000000,3.000000,5.000000,5.000000
2010,550.000000,540.000000,86.000000,44.000000,30.000000,47.000000,41.000000,60.000000,18.000000,14.000000,20.000000,28.000000,15.000000,24.000000,20.000000,38.000000,17.000000,15.000000,7.000000,9.000000,4.000000,3.000000,5.000000,5.000000
2011,523.000000,513.000000,60.000000,47.000000,30.000000,43.000000,42.000000,59.000000,18.000000,14.000000,20.000000,28.000000,15.000000,23.000000,20.000000,38.000000,17.000000,16.000000,7.000000,9.000000,4.000000,3.000000,5.000000,5.000000
2012,525.000000,515.000000,62.000000,47.000000,30.000000,43.000000,42.000000,59.000000,18.000000,14.000000,20.000000,28.000000,15.000000,23.000000,20.000000,38.000000,17.000000,16.000000,7.000000,9.000000,4.000000,3.000000,5.000000,5.000000
2013,531.000000,521.000000,63.000000,49.000000,30.000000,44.000000,42.000000,60.000000,17.000000,14.000000,20.000000,28.000000,15.000000,23.000000,20.000000,38.000000,17.000000,16.000000,7.000000,10.000000,5.000000,3.000000,5.000000,5.000000
2014,533.000000,523.000000,48.000000,62.000000,63.000000,44.000000,42.000000,17.000000,30.000000,14.000000,20.000000,28.000000,15.000000,24.000000,20.000000,38.000000,17.000000,16.000000,7.000000,10.000000,5.000000,3.000000,5.000000,5.000000
