年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,14283.000000,14238.000000,1305.000000,4424.000000,574.000000,1453.000000,891.000000,1965.000000,319.000000,118.000000,188.000000,412.000000,312.000000,263.000000,162.000000,312.000000,162.000000,357.000000,76.000000,345.000000,324.000000,276.000000,40.000000,5.000000
1999,14732.000000,14686.000000,1371.000000,4568.000000,624.000000,1342.000000,973.000000,2084.000000,298.000000,123.000000,188.000000,431.000000,326.000000,273.000000,167.000000,316.000000,181.000000,363.000000,78.000000,363.000000,319.000000,298.000000,41.000000,5.000000
2000,15141.000000,15093.000000,1412.000000,4604.000000,660.000000,1442.000000,1017.000000,2146.000000,321.000000,121.000000,188.000000,373.000000,375.000000,318.000000,172.000000,322.000000,183.000000,353.000000,78.000000,373.000000,334.000000,301.000000,43.000000,5.000000
2001,16547.000000,16503.000000,1477.000000,5244.000000,709.000000,1633.000000,1069.000000,2324.000000,332.000000,131.000000,157.000000,462.000000,365.000000,291.000000,179.000000,356.000000,198.000000,397.000000,87.000000,410.000000,327.000000,355.000000,43.000000,1.000000
2002,17957.000000,17869.000000,1578.000000,5649.000000,926.000000,1739.000000,1139.000000,2306.000000,358.000000,160.000000,239.000000,476.000000,399.000000,370.000000,188.000000,400.000000,250.000000,443.000000,89.000000,411.000000,372.000000,377.000000,86.000000,2.000000
2003,21003.000000,20848.000000,1599.000000,5251.000000,1218.000000,1941.000000,1447.000000,2645.000000,515.000000,228.000000,413.000000,761.000000,604.000000,526.000000,473.000000,713.000000,412.000000,604.000000,77.000000,461.000000,468.000000,492.000000,152.000000,3.000000
2004,19740.000000,19588.000000,1818.000000,4925.000000,1113.000000,1997.000000,1307.000000,2396.000000,465.000000,227.000000,366.000000,621.000000,519.000000,478.000000,347.000000,609.000000,345.000000,610.000000,128.000000,437.000000,418.000000,462.000000,149.000000,3.000000
2005,18494.000000,18330.000000,1750.000000,4790.000000,1109.000000,1821.000000,1198.000000,2263.000000,387.000000,174.000000,340.000000,579.000000,405.000000,473.000000,334.000000,586.000000,311.000000,494.000000,112.000000,405.000000,407.000000,392.000000,161.000000,3.000000
2006,18436.000000,18277.000000,1821.000000,4871.000000,1063.000000,1809.000000,1194.000000,2165.000000,403.000000,190.000000,360.000000,597.000000,430.000000,441.000000,296.000000,504.000000,282.000000,493.000000,123.000000,431.000000,420.000000,384.000000,156.000000,3.000000
2007,18403.000000,18252.000000,1900.000000,4690.000000,1079.000000,1814.000000,1152.000000,2251.000000,407.000000,189.000000,376.000000,626.000000,410.000000,433.000000,285.000000,541.000000,266.000000,480.000000,134.000000,420.000000,428.000000,371.000000,148.000000,3.000000
2008,19884.000000,19685.000000,1991.000000,5056.000000,1191.000000,1922.000000,1270.000000,2410.000000,433.000000,217.000000,395.000000,672.000000,447.000000,483.000000,306.000000,576.000000,290.000000,511.000000,158.000000,467.000000,487.000000,403.000000,196.000000,3.000000
2009,25574.000000,25325.000000,2587.000000,6081.000000,1514.000000,2458.000000,1566.000000,3069.000000,593.000000,291.000000,518.000000,880.000000,554.000000,613.000000,449.000000,950.000000,472.000000,722.000000,206.000000,553.000000,681.000000,568.000000,238.000000,11.000000
2010,26616.000000,26354.000000,2742.000000,6245.000000,1669.000000,2568.000000,1757.000000,3217.000000,633.000000,290.000000,567.000000,919.000000,621.000000,635.000000,506.000000,1004.000000,454.000000,641.000000,191.000000,603.000000,562.000000,530.000000,247.000000,15.000000
2011,26085.000000,25777.000000,2641.000000,6216.000000,1615.000000,2571.000000,1769.000000,3007.000000,515.000000,289.000000,530.000000,962.000000,609.000000,649.000000,455.000000,901.000000,399.000000,635.000000,214.000000,518.000000,696.000000,586.000000,293.000000,15.000000
2012,25528.000000,25169.000000,2649.000000,6309.000000,1653.000000,2512.000000,1574.000000,3017.000000,522.000000,305.000000,530.000000,900.000000,552.000000,618.000000,393.000000,772.000000,342.000000,615.000000,196.000000,500.000000,619.000000,591.000000,321.000000,38.000000
2013,25850.000000,25492.000000,2797.000000,6342.000000,1696.000000,2542.000000,1560.000000,2999.000000,543.000000,317.000000,528.000000,914.000000,525.000000,641.000000,406.000000,797.000000,338.000000,594.000000,197.000000,512.000000,642.000000,602.000000,317.000000,41.000000
2014,25963.000000,25566.000000,2890.000000,6313.000000,1725.000000,2530.000000,1566.000000,3023.000000,501.000000,339.000000,545.000000,927.000000,508.000000,671.000000,402.000000,795.000000,319.000000,597.000000,189.000000,484.000000,635.000000,607.000000,355.000000,42.000000
