年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,13289.000000,13247.000000,1212.000000,4045.000000,815.000000,1459.000000,812.000000,1790.000000,244.000000,120.000000,217.000000,364.000000,288.000000,217.000000,136.000000,284.000000,112.000000,231.000000,55.000000,307.000000,275.000000,264.000000,39.000000,3.000000
1999,13052.000000,13010.000000,1170.000000,3949.000000,830.000000,1316.000000,826.000000,1770.000000,232.000000,118.000000,217.000000,364.000000,289.000000,211.000000,134.000000,294.000000,112.000000,232.000000,54.000000,302.000000,294.000000,296.000000,39.000000,3.000000
2000,13194.000000,13150.000000,1195.000000,3897.000000,823.000000,1364.000000,820.000000,1745.000000,238.000000,117.000000,217.000000,484.000000,314.000000,218.000000,135.000000,294.000000,108.000000,234.000000,53.000000,295.000000,300.000000,299.000000,41.000000,3.000000
2001,13474.000000,13430.000000,1228.000000,3957.000000,839.000000,1466.000000,827.000000,1944.000000,239.000000,126.000000,186.000000,366.000000,294.000000,215.000000,141.000000,296.000000,107.000000,257.000000,53.000000,305.000000,310.000000,274.000000,41.000000,3.000000
2002,12855.000000,12801.000000,1241.000000,3734.000000,861.000000,1339.000000,816.000000,1644.000000,234.000000,125.000000,193.000000,362.000000,302.000000,229.000000,135.000000,295.000000,120.000000,251.000000,54.000000,287.000000,321.000000,258.000000,51.000000,3.000000
2003,14047.000000,13980.000000,1276.000000,3836.000000,960.000000,1486.000000,892.000000,1788.000000,275.000000,141.000000,261.000000,444.000000,336.000000,281.000000,184.000000,388.000000,164.000000,289.000000,57.000000,303.000000,324.000000,295.000000,64.000000,3.000000
2004,13687.000000,13626.000000,1330.000000,3703.000000,918.000000,1496.000000,878.000000,1713.000000,266.000000,150.000000,268.000000,414.000000,312.000000,253.000000,161.000000,373.000000,147.000000,274.000000,81.000000,291.000000,314.000000,284.000000,58.000000,3.000000
2005,13058.000000,12992.000000,1288.000000,3591.000000,897.000000,1352.000000,820.000000,1638.000000,238.000000,130.000000,232.000000,421.000000,275.000000,250.000000,169.000000,350.000000,127.000000,243.000000,78.000000,286.000000,339.000000,268.000000,63.000000,3.000000
2006,12962.000000,12895.000000,1296.000000,3587.000000,859.000000,1329.000000,851.000000,1610.000000,232.000000,128.000000,229.000000,416.000000,278.000000,249.000000,161.000000,343.000000,121.000000,242.000000,76.000000,286.000000,340.000000,262.000000,64.000000,3.000000
2007,12809.000000,12738.000000,1302.000000,3446.000000,862.000000,1331.000000,834.000000,1602.000000,242.000000,130.000000,232.000000,421.000000,268.000000,261.000000,159.000000,342.000000,122.000000,238.000000,79.000000,277.000000,333.000000,257.000000,68.000000,3.000000
2008,13126.000000,13048.000000,1328.000000,3512.000000,883.000000,1350.000000,873.000000,1642.000000,247.000000,136.000000,243.000000,446.000000,267.000000,282.000000,162.000000,346.000000,125.000000,248.000000,71.000000,280.000000,349.000000,258.000000,75.000000,3.000000
2009,22076.000000,21936.000000,2315.000000,5550.000000,1510.000000,2181.000000,1434.000000,2689.000000,441.000000,253.000000,428.000000,754.000000,466.000000,510.000000,337.000000,702.000000,281.000000,464.000000,134.000000,458.000000,595.000000,434.000000,129.000000,11.000000
2010,21747.000000,21603.000000,2294.000000,5508.000000,1482.000000,2154.000000,1474.000000,2651.000000,436.000000,247.000000,431.000000,747.000000,457.000000,500.000000,324.000000,676.000000,247.000000,430.000000,129.000000,437.000000,560.000000,419.000000,133.000000,11.000000
2011,21346.000000,21190.000000,2223.000000,5414.000000,1455.000000,2125.000000,1475.000000,2594.000000,415.000000,250.000000,414.000000,750.000000,438.000000,495.000000,306.000000,640.000000,235.000000,416.000000,125.000000,427.000000,569.000000,424.000000,146.000000,10.000000
2012,21322.000000,21141.000000,2231.000000,5438.000000,1491.000000,2159.000000,1423.000000,2562.000000,426.000000,260.000000,429.000000,742.000000,430.000000,492.000000,285.000000,610.000000,223.000000,418.000000,118.000000,415.000000,559.000000,430.000000,158.000000,23.000000
2013,21444.000000,21263.000000,2264.000000,5449.000000,1526.000000,2173.000000,1418.000000,2550.000000,428.000000,275.000000,431.000000,758.000000,415.000000,494.000000,290.000000,622.000000,225.000000,416.000000,123.000000,412.000000,565.000000,429.000000,157.000000,24.000000
2014,21400.000000,21207.000000,2263.000000,5396.000000,1560.000000,2177.000000,1424.000000,2559.000000,419.000000,285.000000,433.000000,747.000000,407.000000,502.000000,290.000000,616.000000,225.000000,401.000000,124.000000,389.000000,557.000000,433.000000,168.000000,25.000000
