年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,1.704167,0.346921,1.101928,0.555899,4.600694,1.580507,0.444065,1.568627,0.694444,0.806452,4.888889,-,1.052632,1.385042,-,-,1.745636,-,-,0.781250,0.291545,-,-
1999,-,0.678417,0.139800,0.259403,5.737705,0.680693,0.894085,0.705241,-,-,-,0.811306,-,1.166181,0.341297,1.020408,-,-,-,-,1.934524,-,-,-
2000,-,0.351343,0.411576,0.703400,1.281187,0.433651,0.206825,0.288821,0.641026,0.079302,0.366300,-,0.529101,1.214575,0.386100,0.150376,-,-,-,-,1.134216,-,-,-
2001,-,0.352523,0.474684,0.161900,0.236593,0.929152,0.170164,0.295921,-,0.122063,0.749064,0.636238,1.632653,10.958904,0.306748,0.671141,-,-,-,-,0.741656,0.371747,-,-
2002,-,0.279310,0.456621,1.190476,0.258659,1.144165,0.068353,0.136843,-,0.024027,-,1.312741,1.204819,4.098361,-,0.209205,-,-,-,-,2.373887,-,-,-
2003,-,0.241978,0.149505,3.690685,0.083368,2.110199,0.179802,0.116125,1.639344,-,0.369004,0.934579,-,1.485149,-,-,-,-,-,-,2.325581,-,-,-
2004,-,0.290537,0.116573,3.037037,0.050770,1.572052,1.248581,0.110254,0.934579,0.047170,0.350877,0.373134,2.222222,6.802721,0.925926,-,-,-,-,-,-,-,-,-
2005,0.216893,0.216994,0.308914,0.879567,0.102717,0.498414,1.799775,0.052595,-,0.021749,1.179941,0.093458,2.622951,0.393701,-,0.819672,-,-,-,-,-,-,-,-
2006,0.272022,0.272278,0.227906,1.390176,0.486688,0.399680,0.300752,0.135018,-,0.093023,2.710027,0.054945,-,1.345291,-,-,-,-,-,-,-,-,-,-
2007,0.339921,0.340230,0.354700,0.472813,1.554404,0.465477,0.260960,0.187374,0.694444,0.024033,5.357143,0.104004,1.510574,-,-,-,-,-,-,-,-,-,-,-
2008,0.634518,0.634772,0.601892,0.346821,1.185185,0.438276,1.024714,2.281022,-,0.210970,0.609756,0.100503,-,1.342282,-,-,-,-,-,-,-,-,-,-
2009,1.267281,1.270639,0.783699,0.662983,1.324153,0.423430,4.918033,2.176871,7.352941,-,-,0.247219,-,1.360544,-,-,-,-,-,-,-,-,-,-
2010,1.193317,1.197680,0.896496,1.508121,1.274510,0.302343,1.050228,3.235747,2.836879,0.677966,-,1.692763,-,2.395210,-,-,-,-,-,-,-,-,-,-
2011,2.372087,2.383592,0.701481,3.924222,6.728538,1.918265,2.286803,3.343949,4.761905,1.252236,9.090909,1.335559,0.732601,4.041916,1.023018,6.382979,-,-,-,-,8.108108,-,-,-
2012,1.729047,1.733084,1.018923,2.052452,4.615385,1.923077,3.731020,0.311365,1.315789,6.265060,15.302491,0.411653,2.893891,1.781170,2.962963,1.990050,-,-,-,-,0.888889,-,-,-
2013,1.553464,1.557438,0.956755,3.448276,2.709069,1.221498,1.763341,1.187857,-,13.636364,14.373089,0.522248,2.739726,0.527009,1.234568,1.612903,-,-,-,-,-,-,-,-
2014,1.398644,1.403146,0.841258,0.857143,2.549575,0.583279,2.631579,1.077476,1.818182,2.318841,7.476636,1.671143,-,0.493218,0.335570,2.222222,-,-,-,-,-,-,-,-
