年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,132677.000000,131460.000000,21677.000000,12118.000000,10333.000000,13618.000000,8637.000000,20428.000000,3878.000000,2005.000000,3615.000000,5530.000000,4399.000000,4621.000000,2272.000000,4360.000000,1975.000000,4183.000000,734.000000,2398.000000,2307.000000,2372.000000,1217.000000,-
2007,137142.000000,135896.000000,22277.000000,11956.000000,10967.000000,14142.000000,9015.000000,21010.000000,4077.000000,2181.000000,3826.000000,5749.000000,4582.000000,4822.000000,2385.000000,4475.000000,2077.000000,4279.000000,743.000000,2473.000000,2429.000000,2431.000000,1246.000000,-
2008,138823.000000,137472.000000,22603.000000,11581.000000,11126.000000,14552.000000,9232.000000,21426.000000,4009.000000,2248.000000,3708.000000,5880.000000,4743.000000,4870.000000,2522.000000,4455.000000,1963.000000,4340.000000,751.000000,2489.000000,2480.000000,2494.000000,1351.000000,-
2009,143160.673000,141103.614000,24246.290000,11706.585000,11439.743000,14961.592000,9502.754000,21527.856000,4063.447000,2200.450000,3767.398000,6005.931000,4793.064000,4998.016000,2566.107000,4622.523000,1997.375000,4406.033000,768.199000,2510.667000,2511.006000,2508.578000,1454.629000,602.430000
2010,144875.000000,143135.000000,24629.000000,11277.000000,10882.000000,15388.000000,9748.000000,21963.000000,4205.000000,2310.000000,3888.000000,6281.000000,4954.000000,5069.000000,2676.000000,4811.000000,2094.000000,4445.000000,789.000000,2513.000000,2681.000000,2532.000000,1446.000000,294.000000
2011,148849.189000,147067.374000,24865.713000,11430.307000,11040.331000,16133.301000,10205.658000,22575.054000,4275.764000,2496.134000,3982.473000,6539.753000,5107.858000,5404.126000,2750.163000,4909.594000,2132.061000,4562.679000,807.310000,2485.267000,2770.830000,2593.000000,1485.013000,296.802000
2012,152292.446000,150369.473000,25298.868000,11462.656000,11391.266000,16612.148000,10622.222000,22968.423000,4391.158000,2593.918000,4030.348000,6698.439000,5215.261000,5513.259000,2833.688000,5057.679000,2229.186000,4608.860000,828.514000,2516.707000,2816.172000,2680.700000,1625.131000,297.842000
2013,156824.245000,154822.878000,25911.554000,11747.491000,11778.583000,17455.222000,11067.170000,23553.504000,4526.546000,2677.836000,4147.929000,6989.223000,5284.163000,5691.291000,2954.406000,5164.803000,2220.101000,4608.079000,854.101000,2518.886000,2952.178000,2719.813000,1697.585000,303.782000
2014,160445.648000,158477.098000,26203.099000,11832.463000,12152.378000,18028.597000,11495.280000,24128.288000,4641.124000,2795.236000,4249.478000,7213.036000,5399.464000,5930.621000,2957.591000,5256.084000,2214.181000,4674.809000,873.541000,2615.762000,3054.422000,2761.643000,1652.349000,316.200000
