年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,630260.000000,628608.000000,108597.000000,99867.000000,47399.000000,78488.000000,58102.000000,71139.000000,10370.000000,9051.000000,12167.000000,35906.000000,10504.000000,15727.000000,9849.000000,21119.000000,3753.000000,6814.000000,1567.000000,9327.000000,9026.000000,9836.000000,1484.000000,168.000000
2000,608645.000000,607335.000000,103257.000000,96986.000000,46043.000000,77568.000000,56734.000000,59657.000000,10804.000000,8434.000000,11037.000000,38092.000000,10576.000000,17676.000000,9741.000000,20033.000000,3981.000000,5843.000000,1765.000000,9864.000000,9831.000000,9413.000000,1184.000000,126.000000
2001,584337.000000,582986.000000,101887.000000,78065.000000,49511.000000,77560.000000,49260.000000,69147.000000,10918.000000,1238.000000,12006.000000,36979.000000,10821.000000,15076.000000,9949.000000,19076.000000,3678.000000,6108.000000,1765.000000,10103.000000,10013.000000,9826.000000,1185.000000,166.000000
2002,567321.000000,566643.000000,100999.000000,55616.000000,50317.000000,80562.000000,51635.000000,68947.000000,10898.000000,6238.000000,12383.000000,37150.000000,11326.000000,16140.000000,9990.000000,15571.000000,2519.000000,6690.000000,1806.000000,9069.000000,9099.000000,9688.000000,545.000000,133.000000
2003,584143.000000,582871.000000,101910.000000,74381.000000,48513.000000,82104.000000,51207.000000,70666.000000,10805.000000,8529.000000,12484.000000,33200.000000,11348.000000,13474.000000,8349.000000,19267.000000,3945.000000,4296.000000,1551.000000,9357.000000,7700.000000,9785.000000,1126.000000,146.000000
2004,605114.000000,603985.000000,106569.000000,74031.000000,54129.000000,83154.000000,49745.000000,68860.000000,11010.000000,9160.000000,12751.000000,38889.000000,11840.000000,15578.000000,9807.000000,19423.000000,3820.000000,6593.000000,1861.000000,9367.000000,7763.000000,9635.000000,1024.000000,105.000000
2005,591909.000000,590710.000000,94463.000000,73479.000000,52586.000000,84550.000000,47381.000000,69015.000000,9379.000000,9518.000000,11517.000000,37860.000000,11735.000000,16387.000000,9476.000000,19727.000000,3911.000000,6588.000000,1213.000000,10688.000000,12037.000000,9200.000000,1069.000000,130.000000
2006,638213.000000,636696.000000,106251.000000,74282.000000,58314.000000,87172.000000,54659.000000,73609.000000,12427.000000,11158.000000,13598.000000,39169.000000,13149.000000,16733.000000,10513.000000,19846.000000,4180.000000,7014.000000,2036.000000,11284.000000,11736.000000,9566.000000,1329.000000,188.000000
2007,649864.000000,648224.000000,103207.000000,75698.000000,60679.000000,89729.000000,55443.000000,74342.000000,13243.000000,13377.000000,13696.000000,38878.000000,13757.000000,17237.000000,10870.000000,20453.000000,4514.000000,7460.000000,2086.000000,11449.000000,12274.000000,9832.000000,1457.000000,183.000000
2008,663437.000000,661817.000000,104560.000000,75511.000000,63751.000000,92265.000000,55284.000000,77390.000000,12975.000000,13953.000000,13972.000000,39122.000000,14717.000000,17640.000000,11122.000000,20513.000000,4112.000000,7746.000000,2143.000000,12005.000000,12939.000000,10097.000000,1440.000000,180.000000
2009,666490.000000,664730.000000,105230.000000,75835.000000,62736.000000,91611.000000,55626.000000,78240.000000,13613.000000,14490.000000,14164.000000,40242.000000,14224.000000,18098.000000,9762.000000,20832.000000,4148.000000,8162.000000,2097.000000,11463.000000,13262.000000,10781.000000,1570.000000,190.000000
2010,669643.000000,667962.000000,107851.000000,73832.000000,65178.000000,92910.000000,54909.000000,77277.000000,13347.000000,14355.000000,13944.000000,39758.000000,14384.000000,18319.000000,11185.000000,20508.000000,4759.000000,7643.000000,2066.000000,11561.000000,13357.000000,10819.000000,1500.000000,181.000000
2011,643017.000000,641411.000000,104114.000000,69839.000000,62958.000000,88725.000000,52836.000000,73090.000000,13021.000000,14240.000000,13613.000000,38917.000000,13488.000000,17877.000000,10882.000000,19406.000000,4599.000000,7694.000000,2091.000000,10643.000000,12902.000000,10476.000000,1410.000000,196.000000
2012,618227.000000,616602.000000,101229.000000,66539.000000,60989.000000,83765.000000,50289.000000,71055.000000,12215.000000,14012.000000,13015.000000,36852.000000,13114.000000,17760.000000,10879.000000,18064.000000,4416.000000,7475.000000,2055.000000,10111.000000,12446.000000,10322.000000,1416.000000,209.000000
2013,608198.000000,606560.000000,99230.000000,64608.000000,60612.000000,83700.000000,49051.000000,69052.000000,11975.000000,14185.000000,13203.000000,36219.000000,12694.000000,17572.000000,10643.000000,17391.000000,4300.000000,7329.000000,2021.000000,9898.000000,12756.000000,10121.000000,1465.000000,173.000000
2014,585596.000000,583915.000000,96058.000000,62170.000000,58524.000000,79593.000000,46586.000000,65787.000000,11326.000000,14240.000000,13217.000000,34802.000000,12153.000000,17310.000000,10436.000000,16919.000000,4100.000000,6928.000000,1882.000000,9489.000000,12622.000000,9773.000000,1499.000000,182.000000
