年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,95029.000000,94639.000000,14638.000000,10958.000000,7285.000000,10380.000000,7658.000000,10936.000000,2110.000000,2073.000000,2591.000000,5387.000000,2885.000000,3058.000000,2538.000000,3985.000000,1458.000000,1909.000000,559.000000,1585.000000,1556.000000,1090.000000,303.000000,87.000000
1999,98745.000000,98350.000000,15241.000000,11462.000000,7810.000000,10874.000000,7920.000000,11351.000000,2176.000000,2173.000000,2663.000000,5494.000000,2958.000000,3102.000000,2627.000000,4087.000000,1488.000000,1931.000000,579.000000,1631.000000,1624.000000,1159.000000,301.000000,94.000000
2000,101581.000000,101170.000000,15593.000000,12081.000000,8062.000000,11315.000000,8036.000000,11628.000000,2229.000000,2271.000000,2701.000000,5612.000000,2991.000000,3179.000000,2659.000000,4140.000000,1488.000000,1984.000000,594.000000,1781.000000,1642.000000,1184.000000,318.000000,93.000000
2001,103501.000000,103083.000000,15867.000000,12105.000000,8521.000000,11639.000000,8085.000000,11458.000000,2257.000000,2347.000000,2870.000000,5665.000000,3073.000000,3238.000000,2754.000000,4265.000000,1533.000000,2040.000000,653.000000,1827.000000,1676.000000,1210.000000,319.000000,99.000000
2002,104300.000000,103844.000000,15821.000000,12133.000000,8643.000000,11892.000000,7924.000000,11600.000000,2328.000000,2463.000000,2845.000000,5722.000000,3015.000000,3293.000000,2718.000000,4301.000000,1522.000000,2093.000000,636.000000,1862.000000,1815.000000,1218.000000,353.000000,103.000000
2003,103803.000000,103372.000000,15499.000000,11966.000000,8771.000000,12041.000000,7802.000000,11345.000000,2316.000000,2487.000000,2871.000000,5774.000000,3014.000000,3380.000000,2717.000000,4306.000000,1493.000000,2062.000000,617.000000,1814.000000,1851.000000,1246.000000,330.000000,101.000000
2004,102882.000000,102497.000000,15124.000000,11895.000000,8872.000000,12001.000000,7725.000000,11328.000000,2299.000000,2495.000000,2838.000000,5656.000000,2969.000000,3335.000000,2697.000000,4216.000000,1507.000000,2045.000000,601.000000,1786.000000,1874.000000,1234.000000,297.000000,88.000000
2005,101662.000000,101226.000000,14857.000000,11824.000000,8847.000000,11884.000000,7586.000000,11183.000000,2290.000000,2465.000000,2794.000000,5548.000000,2933.000000,3348.000000,2634.000000,4128.000000,1498.000000,1996.000000,594.000000,1738.000000,1855.000000,1224.000000,330.000000,106.000000
2006,100692.000000,100247.000000,14804.000000,11638.000000,8872.000000,11736.000000,7449.000000,11072.000000,2236.000000,2433.000000,2784.000000,5527.000000,2875.000000,3320.000000,2585.000000,4117.000000,1493.000000,1951.000000,594.000000,1678.000000,1860.000000,1223.000000,342.000000,103.000000
2007,101360.000000,100926.000000,14873.000000,11467.000000,9009.000000,11690.000000,7445.000000,11064.000000,2246.000000,2562.000000,2801.000000,5594.000000,2983.000000,3457.000000,2655.000000,4094.000000,1624.000000,1964.000000,609.000000,1680.000000,1892.000000,1217.000000,335.000000,99.000000
2008,100206.000000,99787.000000,14849.000000,11309.000000,8897.000000,11604.000000,7310.000000,10810.000000,2238.000000,2508.000000,2798.000000,5540.000000,2934.000000,3474.000000,2645.000000,4033.000000,1553.000000,1963.000000,616.000000,1644.000000,1867.000000,1195.000000,323.000000,96.000000
2009,99155.000000,98717.000000,14716.000000,11137.000000,8862.000000,11509.000000,7194.000000,10588.000000,2200.000000,2555.000000,2780.000000,5477.000000,2897.000000,3406.000000,2618.000000,3983.000000,1582.000000,1937.000000,642.000000,1570.000000,1868.000000,1196.000000,338.000000,100.000000
2010,99562.000000,99125.000000,16113.000000,11001.000000,8807.000000,11382.000000,7027.000000,10447.000000,2183.000000,2559.000000,2772.000000,5419.000000,2829.000000,3404.000000,2578.000000,3916.000000,1542.000000,1928.000000,626.000000,1539.000000,1883.000000,1170.000000,341.000000,96.000000
2011,98559.000000,98101.000000,15841.000000,10871.000000,8769.000000,11427.000000,6928.000000,10307.000000,2145.000000,2561.000000,2792.000000,5386.000000,2784.000000,3333.000000,2548.000000,3849.000000,1492.000000,1884.000000,624.000000,1502.000000,1905.000000,1153.000000,360.000000,98.000000
2012,97466.000000,97004.000000,15281.000000,10883.000000,8853.000000,11392.000000,6871.000000,10105.000000,2136.000000,2557.000000,2847.000000,5311.000000,2710.000000,3278.000000,2534.000000,3776.000000,1463.000000,1865.000000,596.000000,1455.000000,1939.000000,1152.000000,367.000000,95.000000
2013,97436.000000,96947.000000,15074.000000,10558.000000,8897.000000,11504.000000,6774.000000,10031.000000,2161.000000,2706.000000,2791.000000,5431.000000,2790.000000,3384.000000,2524.000000,3733.000000,1491.000000,1869.000000,602.000000,1481.000000,1999.000000,1147.000000,395.000000,94.000000
2014,98613.000000,98133.000000,14763.000000,10086.000000,9096.000000,11787.000000,7292.000000,10487.000000,2180.000000,2833.000000,2793.000000,5482.000000,2761.000000,3460.000000,2559.000000,3765.000000,1528.000000,1920.000000,586.000000,1489.000000,2095.000000,1171.000000,381.000000,99.000000
