年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,30629.000000,30579.000000,2898.000000,6910.000000,2456.000000,4040.000000,2392.000000,4147.000000,505.000000,350.000000,523.000000,1380.000000,559.000000,589.000000,310.000000,956.000000,244.000000,565.000000,94.000000,557.000000,440.000000,664.000000,38.000000,12.000000
1999,31762.000000,31714.000000,3098.000000,6988.000000,2564.000000,4273.000000,2604.000000,4250.000000,514.000000,363.000000,510.000000,1494.000000,537.000000,606.000000,337.000000,949.000000,247.000000,585.000000,103.000000,529.000000,458.000000,705.000000,36.000000,12.000000
2000,33318.000000,33263.000000,3005.000000,7467.000000,2943.000000,4522.000000,2512.000000,4498.000000,528.000000,401.000000,505.000000,1529.000000,530.000000,608.000000,416.000000,1061.000000,272.000000,623.000000,104.000000,538.000000,515.000000,686.000000,39.000000,16.000000
2001,34541.000000,34491.000000,3300.000000,7627.000000,3151.000000,4724.000000,2614.000000,4595.000000,542.000000,413.000000,553.000000,1567.000000,556.000000,646.000000,460.000000,1014.000000,242.000000,634.000000,107.000000,555.000000,495.000000,696.000000,38.000000,12.000000
2002,35633.000000,35571.000000,3382.000000,7667.000000,3260.000000,4893.000000,2677.000000,4672.000000,571.000000,439.000000,571.000000,1760.000000,557.000000,658.000000,499.000000,1023.000000,267.000000,653.000000,110.000000,578.000000,582.000000,752.000000,43.000000,19.000000
2003,36656.000000,36593.000000,3581.000000,7879.000000,3227.000000,5106.000000,2739.000000,4770.000000,579.000000,424.000000,571.000000,1807.000000,575.000000,712.000000,539.000000,1067.000000,287.000000,705.000000,119.000000,571.000000,594.000000,741.000000,44.000000,19.000000
2004,37948.000000,37874.000000,3761.000000,7907.000000,3327.000000,5245.000000,2898.000000,5060.000000,590.000000,430.000000,587.000000,1844.000000,615.000000,743.000000,578.000000,1107.000000,288.000000,787.000000,132.000000,594.000000,631.000000,750.000000,50.000000,24.000000
2005,38703.000000,38641.000000,4042.000000,7907.000000,3359.000000,5388.000000,2939.000000,5185.000000,603.000000,449.000000,606.000000,1863.000000,628.000000,779.000000,614.000000,1110.000000,286.000000,787.000000,125.000000,603.000000,621.000000,747.000000,50.000000,12.000000
2006,39642.000000,39591.000000,4214.000000,8069.000000,3360.000000,5518.000000,3064.000000,5246.000000,622.000000,442.000000,601.000000,1966.000000,652.000000,805.000000,652.000000,1127.000000,267.000000,794.000000,126.000000,641.000000,638.000000,787.000000,39.000000,12.000000
2007,40711.000000,40658.000000,4324.000000,8388.000000,3377.000000,5709.000000,3146.000000,5370.000000,642.000000,457.000000,618.000000,2000.000000,658.000000,871.000000,670.000000,1151.000000,271.000000,791.000000,125.000000,651.000000,662.000000,777.000000,42.000000,11.000000
2008,42254.000000,42193.000000,4672.000000,8607.000000,3490.000000,5934.000000,3228.000000,5591.000000,656.000000,468.000000,636.000000,2114.000000,680.000000,932.000000,676.000000,1153.000000,279.000000,759.000000,123.000000,665.000000,711.000000,819.000000,50.000000,11.000000
2009,43170.000000,43103.000000,4884.000000,8766.000000,3581.000000,6037.000000,3340.000000,5670.000000,656.000000,481.000000,627.000000,2111.000000,683.000000,954.000000,691.000000,1186.000000,278.000000,793.000000,125.000000,676.000000,731.000000,833.000000,50.000000,17.000000
2010,44241.000000,44169.000000,5018.000000,9016.000000,3648.000000,6206.000000,3395.000000,5835.000000,675.000000,474.000000,619.000000,2153.000000,690.000000,1010.000000,705.000000,1195.000000,277.000000,801.000000,136.000000,708.000000,752.000000,856.000000,57.000000,15.000000
2011,45572.000000,45505.000000,5269.000000,9346.000000,3709.000000,6435.000000,3460.000000,5991.000000,698.000000,472.000000,615.000000,2194.000000,719.000000,1025.000000,689.000000,1235.000000,291.000000,818.000000,132.000000,699.000000,822.000000,886.000000,55.000000,12.000000
2012,46678.000000,46590.000000,5423.000000,9629.000000,3858.000000,6589.000000,3591.000000,6033.000000,686.000000,484.000000,648.000000,2206.000000,732.000000,999.000000,747.000000,1239.000000,299.000000,829.000000,134.000000,694.000000,842.000000,928.000000,67.000000,21.000000
2013,47942.000000,47846.000000,5656.000000,9712.000000,3959.000000,6711.000000,3711.000000,6305.000000,715.000000,499.000000,652.000000,2275.000000,750.000000,1011.000000,759.000000,1249.000000,307.000000,847.000000,146.000000,743.000000,881.000000,958.000000,73.000000,23.000000
2014,49117.000000,49020.000000,5849.000000,9909.000000,4084.000000,6851.000000,3770.000000,6490.000000,736.000000,537.000000,670.000000,2282.000000,748.000000,1041.000000,803.000000,1265.000000,319.000000,852.000000,136.000000,775.000000,937.000000,966.000000,76.000000,21.000000
