年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,10685183.000000,10657575.000000,1708345.000000,1328150.000000,799076.000000,1176162.000000,887742.000000,1309055.000000,224366.000000,203218.000000,265399.000000,626337.000000,260513.000000,353035.000000,267029.000000,434306.000000,115306.000000,167064.000000,42542.000000,185642.000000,173776.000000,130512.000000,24694.000000,2914.000000
1999,10779659.000000,10751692.000000,1735945.000000,1331878.000000,820308.000000,1195482.000000,893406.000000,1319481.000000,224277.000000,206208.000000,265572.000000,628348.000000,259786.000000,351502.000000,265639.000000,433855.000000,114483.000000,167099.000000,42291.000000,187464.000000,177001.000000,131667.000000,25083.000000,2884.000000
2000,10884622.000000,10855749.000000,1766123.000000,1337166.000000,841862.000000,1215993.000000,899845.000000,1330876.000000,224495.000000,209546.000000,265751.000000,631138.000000,258664.000000,350457.000000,265369.000000,433662.000000,113506.000000,166456.000000,42619.000000,189364.000000,180467.000000,132390.000000,25931.000000,2942.000000
2001,10963917.000000,10932856.000000,1789404.000000,1333623.000000,858047.000000,1230322.000000,903923.000000,1335274.000000,225270.000000,213063.000000,266560.000000,633434.000000,259149.000000,350981.000000,266296.000000,435498.000000,113567.000000,166763.000000,44153.000000,190977.000000,183180.000000,133372.000000,27265.000000,3796.000000
2002,11035367.000000,11003418.000000,1806640.000000,1340398.000000,874451.000000,1242862.000000,907218.000000,1342843.000000,224697.000000,216356.000000,266591.000000,634743.000000,259119.000000,351305.000000,266014.000000,434298.000000,113628.000000,166600.000000,44314.000000,191390.000000,186333.000000,133618.000000,28154.000000,3795.000000
2003,11089488.000000,11056778.000000,1826025.000000,1335396.000000,890029.000000,1254678.000000,910044.000000,1346685.000000,224446.000000,219952.000000,266678.000000,635299.000000,258869.000000,350315.000000,265067.000000,433624.000000,113481.000000,166464.000000,44313.000000,192009.000000,188719.000000,134685.000000,28921.000000,3789.000000
2004,11147537.000000,11113105.000000,1843870.000000,1336169.000000,907070.000000,1265631.000000,913288.000000,1351360.000000,224133.000000,223901.000000,266668.000000,635977.000000,258226.000000,348593.000000,264009.000000,432384.000000,112553.000000,166000.000000,44186.000000,192365.000000,191408.000000,135314.000000,30494.000000,3938.000000
2005,11207943.000000,11170459.000000,1860947.000000,1336862.000000,922104.000000,1276439.000000,915628.000000,1355144.000000,224260.000000,229482.000000,266520.000000,636062.000000,257954.000000,347417.000000,264182.000000,432259.000000,112216.000000,165741.000000,44569.000000,192338.000000,193886.000000,136449.000000,33188.000000,4296.000000
2006,11284820.000000,11244832.000000,1880065.000000,1349551.000000,939192.000000,1289406.000000,919259.000000,1361640.000000,223979.000000,234866.000000,267101.000000,636389.000000,257562.000000,345538.000000,262986.000000,430562.000000,111093.000000,165261.000000,44287.000000,192250.000000,196564.000000,137281.000000,35947.000000,4041.000000
2007,11349593.000000,11307315.000000,1898893.000000,1351713.000000,953482.000000,1301384.000000,922665.000000,1367402.000000,224446.000000,239225.000000,267641.000000,636764.000000,257349.000000,344594.000000,262143.000000,429616.000000,110463.000000,164926.000000,44685.000000,192609.000000,199352.000000,137963.000000,38148.000000,4130.000000
2008,11410680.000000,11366630.000000,1920512.000000,1351975.000000,967194.000000,1312082.000000,925604.000000,1372598.000000,225047.000000,243296.000000,268045.000000,636773.000000,256838.000000,344240.000000,261371.000000,428036.000000,109808.000000,164401.000000,45216.000000,192102.000000,202982.000000,138510.000000,39945.000000,4105.000000
2009,11483038.000000,11433540.000000,1946079.000000,1346978.000000,979717.000000,1320539.000000,929290.000000,1377733.000000,225911.000000,247544.000000,269527.000000,637873.000000,257228.000000,344881.000000,261692.000000,428215.000000,110592.000000,164813.000000,46711.000000,192389.000000,206947.000000,138881.000000,45328.000000,4170.000000
2010,11526898.000000,11475205.000000,1961699.000000,1356218.000000,992786.000000,1329263.000000,929750.000000,1382556.000000,225804.000000,249001.000000,269791.000000,636474.000000,255438.000000,342907.000000,259964.000000,424242.000000,109926.000000,164221.000000,47149.000000,190561.000000,209101.000000,138354.000000,47493.000000,4200.000000
2011,11579238.000000,11523713.000000,1976607.000000,1374625.000000,999687.000000,1339500.000000,933061.000000,1385940.000000,225400.000000,251736.000000,270792.000000,635119.000000,253828.000000,341191.000000,257526.000000,420396.000000,109085.000000,163633.000000,47292.000000,188560.000000,211662.000000,138073.000000,51252.000000,4273.000000
2012,11642503.000000,11581592.000000,1992698.000000,1387865.000000,1009342.000000,1351699.000000,936641.000000,1390728.000000,225319.000000,255164.000000,272378.000000,633973.000000,252896.000000,340483.000000,255504.000000,417680.000000,108444.000000,163126.000000,48026.000000,187202.000000,214294.000000,138130.000000,56049.000000,4862.000000
2013,11688843.000000,11623575.000000,2004869.000000,1396571.000000,1017366.000000,1361928.000000,938653.000000,1393982.000000,225456.000000,258582.000000,273530.000000,632513.000000,251748.000000,339335.000000,253543.000000,415200.000000,107938.000000,162881.000000,48689.000000,186265.000000,216300.000000,138226.000000,60026.000000,5242.000000
2014,11735782.000000,11666740.000000,2015079.000000,1406679.000000,1025703.000000,1372825.000000,940215.000000,1395994.000000,225963.000000,262386.000000,274895.000000,630733.000000,250416.000000,338461.000000,251459.000000,413330.000000,108074.000000,163068.000000,49366.000000,185472.000000,218152.000000,138470.000000,63689.000000,5353.000000
