年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,0.544576,0.546011,0.471219,0.106423,0.861080,0.728601,0.090370,1.229050,1.202643,0.595322,1.242884,0.175904,0.652416,-,-,-,-,2.212833,1.396518,0.487107,0.405667,0.383415,-,-
1999,0.507807,0.509125,0.023227,0.827059,0.518716,0.413215,0.044915,1.255452,0.534946,1.318920,0.414335,0.207223,0.115318,0.198712,-,-,0.261109,5.027487,-,-,0.627179,-,-,-
2000,0.491131,0.492423,0.039976,1.903303,0.228617,0.240517,0.223059,0.399946,-,0.384843,0.790480,0.158795,1.543061,-,-,-,-,2.518325,-,-,1.622523,-,-,-
2001,0.563882,0.565433,0.129376,1.729826,0.129419,0.106282,0.310461,0.210041,0.311274,0.899176,2.404609,0.442838,3.051295,0.171077,-,-,-,4.321482,-,-,0.384989,-,-,-
2002,0.775480,0.777707,0.211343,1.600586,0.681097,0.865281,0.231898,1.023107,1.066745,0.838342,1.538026,0.457349,1.813733,0.370220,-,-,-,3.179717,-,-,2.814515,-,-,-
2003,1.020572,1.023563,1.321344,1.255702,0.691422,0.856843,0.165084,1.078256,1.113231,0.916784,1.800217,0.488173,2.162212,0.541604,0.527227,-,0.352254,3.783057,3.159308,-,3.999445,1.789022,-,-
2004,1.233079,1.225085,1.182595,1.706865,1.012743,0.864973,0.186472,1.712351,0.535023,2.568418,1.612462,0.487699,2.088591,1.201875,0.982846,0.923779,1.061787,3.910198,2.259913,-,3.156840,0.962967,4.375999,-
2005,1.568296,1.573357,0.933919,2.020179,1.782225,1.117200,0.393676,1.891739,1.025886,1.852738,3.113348,0.974813,1.549847,1.494231,0.833032,1.156547,4.182071,8.078591,1.126697,-,7.059544,1.251090,-,-
2006,1.710772,1.716685,1.347229,1.756990,0.827380,0.873007,0.621292,2.134877,1.829381,0.818352,1.948949,1.367440,1.978600,3.982943,1.214034,2.364337,2.865984,5.981837,1.800666,-,11.627609,0.876776,-,-
2007,1.680627,1.686757,0.762115,1.902813,1.542791,1.760081,0.770933,2.117959,2.230027,2.488974,1.907462,1.115341,1.942083,1.796758,1.980466,2.185594,2.437307,2.604585,2.472688,-,8.133038,2.615861,-,-
2008,2.624749,2.634742,1.717545,1.479461,1.884753,1.614714,0.844033,3.218978,32.970480,0.994775,4.666913,1.067892,1.555854,1.800143,0.916881,4.267465,2.360728,5.404962,1.334802,-,5.915483,2.965932,-,-
2009,2.917831,2.929803,0.946570,1.719185,2.948260,1.451025,0.646937,3.250518,29.670169,1.303887,5.952691,1.569063,2.412142,2.002551,3.058905,5.745979,24.500907,2.612283,1.087820,2.236723,5.659517,3.244518,-,-
2010,2.861373,2.874012,2.267273,1.701689,3.264887,1.826552,1.323264,4.948757,2.656542,2.376421,4.672568,1.679291,2.574776,2.675243,1.341880,7.132325,7.255644,2.249008,4.687833,4.543674,5.383994,4.472740,-,-
2011,2.524870,2.536641,3.016525,1.955440,2.128009,0.891799,0.719343,3.438690,2.127641,2.116880,3.588718,2.312061,1.924338,4.853106,0.386481,4.238502,9.771199,2.623119,2.753042,4.747825,6.607045,2.966425,-,-
2012,2.520913,2.533617,2.040660,1.440729,3.902383,1.412010,0.748782,3.450178,3.904872,3.235352,2.945671,2.017190,2.052399,6.865452,0.389841,2.171641,6.987574,6.549169,0.209824,5.003167,6.197823,1.230979,-,-
2013,2.556218,2.570117,1.686026,1.213890,7.075514,1.429821,1.610414,2.815374,2.662082,3.581536,4.139892,1.073837,1.585276,5.207276,1.335830,2.377293,5.730606,4.417083,1.654345,3.213135,4.644747,2.677706,-,-
2014,3.633783,3.654738,2.825907,1.812182,3.494742,2.413381,1.085760,1.892489,2.702589,3.032816,4.047956,18.761191,2.110864,7.494880,1.861379,3.041531,12.036368,3.742917,1.427770,4.357920,6.352831,3.469512,-,-
