年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,843437.000000,893198.000000,1154671.000000,866934.000000,862863.000000,717152.000000,805287.000000,815415.000000,827692.000000,760090.000000,703790.000000,656622.000000,579815.000000,573409.000000,685661.000000,541465.000000,742767.000000,526982.000000,833762.000000,965731.000000,802102.000000,582995.000000,-
1999,-,855805.000000,912580.000000,1196159.000000,899920.000000,872258.000000,700041.000000,820342.000000,809829.000000,830741.000000,751914.000000,648295.000000,677279.000000,644542.000000,623312.000000,659559.000000,594972.000000,719250.000000,543714.000000,828330.000000,996206.000000,739432.000000,486937.000000,-
2000,-,862755.000000,900943.000000,1265665.000000,934796.000000,819861.000000,733363.000000,786848.000000,732438.000000,880060.000000,710123.000000,687424.000000,702682.000000,576592.000000,673336.000000,671473.000000,580010.000000,790242.000000,562543.000000,828877.000000,1096303.000000,815902.000000,581992.000000,892256.000000
2001,-,853357.000000,895289.000000,1243472.000000,913451.000000,851056.000000,707538.000000,765091.000000,698750.000000,827549.000000,763179.000000,661166.000000,640433.000000,648161.000000,625882.000000,658642.000000,563319.000000,766813.000000,527270.000000,830424.000000,1168438.000000,825002.000000,602112.000000,858357.000000
2002,-,860853.000000,921856.000000,1234031.000000,940836.000000,839917.000000,724712.000000,756443.000000,707873.000000,837341.000000,767310.000000,731666.000000,657405.000000,633376.000000,634807.000000,672790.000000,569271.000000,697356.000000,576410.000000,812320.000000,1141316.000000,830112.000000,560208.000000,825746.000000
2003,-,849535.000000,894412.000000,1183587.000000,910690.000000,840253.000000,732762.000000,758062.000000,774147.000000,869761.000000,767595.000000,745070.000000,670834.000000,633355.000000,639730.000000,694665.000000,520396.000000,697152.000000,604755.000000,786195.000000,1110549.000000,755150.000000,590966.000000,899264.000000
2004,-,876064.000000,932337.000000,1188928.000000,945783.000000,874785.000000,774540.000000,789710.000000,710928.000000,928759.000000,754276.000000,761571.000000,707342.000000,689369.000000,645923.000000,663419.000000,579731.000000,704628.000000,683573.000000,880826.000000,1186097.000000,692942.000000,640943.000000,874484.000000
2005,-,888670.000000,969764.000000,1215554.000000,958799.000000,846485.000000,712624.000000,827309.000000,818965.000000,1103190.000000,754518.000000,750332.000000,751767.000000,609726.000000,658088.000000,707198.000000,502406.000000,665280.000000,606481.000000,889620.000000,1186544.000000,786837.000000,604950.000000,885594.000000
2006,-,899671.000000,943346.000000,1209167.000000,929282.000000,899030.000000,800795.000000,825660.000000,808988.000000,938184.000000,834168.000000,786345.000000,772713.000000,710707.000000,684089.000000,725935.000000,573887.000000,655119.000000,666365.000000,836368.000000,1278669.000000,762137.000000,634681.000000,882974.000000
2007,-,900894.000000,937629.000000,1226043.000000,953272.000000,920522.000000,806970.000000,826500.000000,827815.000000,912095.000000,811168.000000,773061.000000,730885.000000,632000.000000,644534.000000,750363.000000,658344.000000,720284.000000,619947.000000,800004.000000,1210559.000000,755368.000000,680703.000000,870197.000000
2008,-,891721.000000,938428.000000,1228826.000000,970927.000000,881714.000000,805647.000000,828166.000000,788437.000000,1077571.000000,752578.000000,738661.000000,722234.000000,582876.000000,632377.000000,683678.000000,538415.000000,686530.000000,674866.000000,803732.000000,1181660.000000,720935.000000,676488.000000,839229.000000
2009,-,892255.000000,937692.000000,1222206.000000,947188.000000,843277.000000,778544.000000,838758.000000,797722.000000,1139576.000000,777905.000000,730687.000000,820104.000000,611251.000000,633812.000000,697302.000000,621618.000000,704449.000000,682478.000000,864592.000000,1249519.000000,699494.000000,661118.000000,853040.000000
2010,-,884877.000000,900119.000000,1254349.000000,949991.000000,851760.000000,734695.000000,831741.000000,821597.000000,1115393.000000,770588.000000,724752.000000,787785.000000,598320.000000,669404.000000,698990.000000,503447.000000,740922.000000,672714.000000,910685.000000,1203998.000000,678334.000000,710892.000000,924685.000000
2011,-,925287.000000,935168.000000,1283016.000000,1043966.000000,911325.000000,795970.000000,873949.000000,757937.000000,1182169.000000,836244.000000,728535.000000,782085.000000,635151.000000,637143.000000,715490.000000,560697.000000,717897.000000,641958.000000,890771.000000,1309090.000000,773307.000000,737547.000000,887309.000000
2012,-,926488.000000,931124.000000,1266246.000000,1047542.000000,898272.000000,784490.000000,886148.000000,881325.000000,1171976.000000,814895.000000,758591.000000,803720.000000,626903.000000,704894.000000,706989.000000,591181.000000,732483.000000,652440.000000,829687.000000,1241683.000000,870722.000000,713693.000000,768400.000000
2013,-,945985.000000,949046.000000,1268018.000000,1062114.000000,979836.000000,820810.000000,901951.000000,833681.000000,1131656.000000,802373.000000,724511.000000,731816.000000,656442.000000,747545.000000,684676.000000,601166.000000,730759.000000,667038.000000,880207.000000,1355563.000000,1003287.000000,770727.000000,817642.000000
2014,-,956246.000000,960271.000000,1297477.000000,1060476.000000,983209.000000,836829.000000,916933.000000,907028.000000,1181434.000000,836317.000000,751577.000000,698397.000000,653538.000000,689122.000000,681122.000000,617046.000000,692524.000000,704959.000000,845769.000000,1367376.000000,925899.000000,724527.000000,751750.000000
