年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,74.020000,77.840000,75.920000,68.820000,73.100000,73.890000,73.070000,79.430000,68.670000,75.970000,69.250000,69.770000,69.430000,76.950000,68.480000,71.390000,79.810000,78.780000,79.450000,74.810000,70.520000,55.580000,-
1999,-,73.710000,78.720000,77.100000,70.910000,71.410000,73.310000,72.660000,74.270000,65.240000,75.110000,67.820000,61.830000,66.990000,77.150000,69.430000,77.350000,76.900000,69.390000,73.550000,73.060000,72.500000,60.640000,-
2000,-,74.340000,77.990000,78.580000,72.140000,74.440000,73.760000,70.710000,70.120000,65.540000,71.360000,72.340000,76.470000,66.290000,74.620000,68.400000,68.660000,80.670000,61.470000,74.140000,72.770000,76.560000,60.550000,56.800000
2001,-,75.730000,77.340000,78.490000,75.130000,76.360000,77.060000,71.000000,75.420000,69.760000,76.730000,73.890000,71.780000,69.190000,76.080000,73.610000,68.470000,77.620000,65.570000,82.760000,77.170000,80.790000,62.640000,56.060000
2002,-,76.790000,80.210000,77.250000,74.300000,79.130000,76.750000,72.770000,80.000000,69.480000,79.800000,73.540000,74.610000,73.170000,84.410000,67.490000,68.520000,78.450000,69.620000,88.710000,82.540000,78.020000,56.100000,60.020000
2003,-,75.580000,78.050000,74.170000,73.700000,78.610000,74.160000,73.310000,78.330000,71.650000,76.580000,73.330000,78.200000,73.830000,83.980000,70.270000,64.900000,74.930000,77.060000,86.840000,78.310000,77.660000,57.600000,62.120000
2004,-,77.720000,80.690000,75.570000,74.150000,85.880000,78.610000,73.670000,77.560000,72.550000,80.660000,77.100000,76.650000,77.230000,79.950000,73.790000,72.140000,78.500000,73.470000,80.700000,75.870000,79.910000,61.250000,65.490000
2005,-,78.370000,82.270000,75.850000,76.300000,82.880000,77.100000,74.580000,78.600000,80.900000,76.930000,79.620000,80.480000,75.290000,79.410000,74.690000,67.700000,80.370000,72.600000,81.370000,84.030000,75.720000,62.210000,64.970000
2006,-,78.090000,80.400000,74.880000,74.510000,83.090000,81.100000,75.900000,84.030000,76.400000,76.850000,78.510000,76.430000,74.390000,81.900000,76.770000,71.310000,71.420000,73.440000,85.630000,82.960000,74.430000,66.170000,61.040000
2007,-,77.510000,82.270000,74.830000,74.370000,80.150000,79.690000,71.630000,89.180000,79.550000,77.100000,80.820000,82.010000,75.560000,83.460000,74.490000,71.910000,78.190000,73.650000,76.560000,73.080000,80.270000,61.230000,58.870000
2008,-,77.210000,77.280000,75.660000,77.940000,83.190000,78.960000,72.810000,74.340000,80.080000,77.810000,78.410000,81.700000,71.340000,79.770000,77.370000,72.560000,77.390000,68.860000,78.830000,76.370000,76.090000,57.800000,59.720000
2009,-,79.500000,81.240000,76.440000,78.860000,83.500000,81.010000,75.460000,85.650000,85.920000,80.400000,78.650000,80.430000,78.390000,82.860000,75.230000,72.470000,84.110000,75.430000,81.280000,84.360000,80.040000,60.680000,60.670000
2010,-,78.970000,80.870000,76.130000,81.190000,83.550000,79.450000,74.750000,81.290000,82.450000,75.410000,78.010000,81.490000,75.680000,83.960000,78.560000,69.840000,77.940000,62.020000,84.860000,79.380000,76.520000,63.960000,57.280000
2011,-,80.290000,80.460000,79.630000,85.470000,79.350000,80.540000,80.150000,83.490000,82.680000,78.670000,75.080000,86.330000,72.910000,75.650000,78.690000,71.630000,73.220000,72.290000,84.940000,85.200000,80.200000,62.810000,60.750000
2012,-,78.790000,81.330000,76.180000,81.020000,80.960000,81.460000,77.650000,78.230000,82.110000,76.120000,75.380000,77.980000,71.190000,76.510000,75.200000,69.340000,74.410000,67.730000,84.040000,82.570000,75.350000,60.820000,61.210000
2013,-,79.380000,80.610000,78.310000,81.020000,84.170000,78.850000,77.550000,82.140000,79.970000,74.050000,73.150000,78.000000,74.210000,84.780000,75.570000,70.750000,70.160000,66.770000,85.490000,85.310000,76.820000,60.480000,56.860000
2014,-,78.920000,80.300000,78.470000,75.430000,82.280000,81.310000,78.710000,81.800000,81.240000,71.120000,75.880000,71.740000,71.020000,84.990000,78.330000,70.830000,76.510000,70.480000,86.120000,83.190000,75.790000,63.780000,56.500000
