年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,84.610000,83.000000,76.270000,85.830000,84.520000,86.260000,82.800000,91.920000,91.450000,92.790000,91.310000,88.560000,93.180000,91.620000,92.930000,82.020000,83.450000,85.640000,84.500000,80.890000,79.280000,85.730000,-
1999,-,84.910000,83.280000,76.840000,88.710000,80.410000,85.910000,86.050000,90.410000,93.480000,93.760000,91.890000,83.130000,94.490000,91.750000,90.080000,81.780000,84.940000,85.150000,88.960000,82.750000,78.870000,87.440000,-
2000,-,85.350000,82.880000,80.190000,87.930000,82.420000,87.620000,85.200000,87.170000,94.010000,91.870000,90.700000,88.620000,94.710000,93.630000,88.210000,87.320000,83.670000,71.700000,84.850000,83.370000,78.550000,90.410000,79.690000
2001,-,85.640000,83.940000,78.370000,87.350000,82.900000,85.460000,84.870000,91.770000,95.170000,93.500000,92.240000,84.260000,93.470000,91.770000,91.540000,92.950000,86.430000,94.190000,86.330000,87.650000,86.780000,95.040000,75.940000
2002,-,85.400000,85.260000,77.660000,87.320000,81.730000,85.260000,83.320000,89.420000,95.940000,93.190000,91.390000,88.200000,92.460000,94.730000,92.640000,85.660000,91.470000,81.020000,86.790000,85.690000,83.620000,93.780000,82.250000
2003,-,85.110000,82.700000,77.940000,87.420000,82.970000,86.840000,83.160000,93.830000,94.030000,91.870000,91.520000,87.000000,91.030000,94.640000,90.630000,87.600000,85.560000,85.020000,82.880000,88.700000,88.570000,94.790000,78.150000
2004,-,86.800000,85.230000,80.490000,90.730000,84.720000,88.260000,85.100000,95.420000,94.390000,88.760000,92.870000,90.370000,95.340000,95.210000,89.060000,85.760000,88.780000,88.590000,90.080000,82.870000,72.910000,94.320000,85.940000
2005,-,87.330000,85.710000,80.860000,89.540000,85.880000,85.580000,87.820000,95.120000,94.300000,93.010000,94.600000,91.970000,95.920000,92.920000,89.090000,87.460000,78.850000,80.270000,87.960000,89.570000,85.830000,89.980000,87.440000
2006,-,87.830000,88.430000,81.020000,90.290000,86.070000,87.670000,86.130000,93.200000,95.130000,91.610000,91.110000,91.560000,95.560000,94.630000,91.680000,83.370000,86.470000,88.380000,88.320000,87.720000,85.080000,92.850000,84.950000
2007,-,88.140000,85.560000,82.580000,90.350000,86.490000,89.750000,89.010000,93.130000,95.180000,92.610000,93.120000,91.110000,94.960000,93.730000,90.500000,87.590000,87.920000,83.460000,88.750000,86.780000,80.490000,93.210000,87.430000
2008,-,87.360000,86.400000,82.340000,91.520000,84.730000,87.840000,86.740000,91.670000,94.020000,93.720000,92.480000,92.080000,91.260000,94.090000,87.170000,82.440000,83.490000,87.910000,86.220000,87.450000,83.640000,92.710000,87.930000
2009,-,87.890000,87.460000,81.790000,91.160000,87.310000,87.580000,87.930000,90.070000,93.350000,90.490000,91.100000,93.690000,93.360000,92.080000,89.400000,85.810000,84.920000,85.920000,90.070000,85.370000,82.320000,94.380000,81.230000
2010,-,84.890000,84.030000,81.420000,86.520000,82.640000,84.580000,84.540000,85.370000,89.530000,90.700000,91.930000,88.450000,90.150000,89.430000,85.600000,88.830000,83.070000,80.160000,81.420000,83.620000,79.650000,86.050000,83.690000
2011,-,84.580000,83.840000,81.940000,86.370000,81.300000,82.670000,83.540000,83.270000,89.570000,93.230000,89.440000,90.110000,87.920000,87.670000,89.490000,88.810000,82.600000,78.930000,85.780000,87.740000,80.000000,89.260000,76.920000
2012,-,85.770000,83.590000,83.570000,90.470000,81.140000,86.620000,85.320000,84.320000,93.970000,90.860000,88.450000,93.840000,90.420000,88.850000,89.170000,82.230000,81.130000,83.490000,86.860000,86.640000,82.590000,86.350000,77.440000
2013,-,85.340000,83.470000,81.910000,86.560000,83.440000,86.100000,84.680000,84.870000,90.620000,90.670000,89.260000,92.700000,90.320000,90.810000,87.110000,80.930000,83.380000,89.640000,86.060000,87.470000,85.860000,83.540000,84.060000
2014,-,84.010000,83.020000,81.460000,85.950000,79.140000,85.340000,84.410000,84.540000,86.630000,93.990000,88.630000,84.490000,85.670000,85.610000,89.670000,85.310000,83.530000,86.460000,81.840000,83.380000,80.330000,84.390000,78.660000
