年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,53.560000,52.680000,69.900000,55.520000,58.880000,50.740000,52.830000,45.400000,48.850000,44.220000,49.530000,46.320000,43.080000,30.960000,52.860000,35.080000,41.590000,37.090000,34.240000,55.070000,57.300000,45.640000,-
1999,-,51.680000,52.600000,69.600000,48.900000,58.440000,50.180000,47.500000,46.980000,39.480000,47.260000,48.150000,48.100000,46.890000,25.780000,45.700000,38.960000,35.640000,40.120000,40.320000,44.050000,52.690000,35.850000,-
2000,-,46.910000,49.350000,66.400000,40.430000,51.070000,47.180000,40.740000,37.130000,40.360000,42.970000,38.830000,37.080000,37.250000,22.560000,52.900000,37.550000,39.950000,34.110000,28.600000,45.650000,54.080000,40.490000,40.880000
2001,-,41.440000,41.910000,58.270000,35.800000,42.200000,41.820000,35.850000,32.310000,41.870000,37.280000,35.290000,38.960000,42.710000,23.910000,42.530000,23.930000,37.910000,26.260000,34.090000,46.550000,45.770000,39.100000,47.360000
2002,-,40.390000,44.620000,49.290000,43.550000,41.920000,39.240000,32.720000,31.040000,42.550000,44.890000,40.120000,33.800000,36.270000,26.240000,39.670000,27.880000,33.190000,23.310000,26.090000,44.170000,41.740000,36.330000,52.500000
2003,-,37.870000,39.440000,48.310000,39.290000,43.570000,36.120000,31.280000,25.410000,45.040000,37.350000,35.270000,37.840000,28.730000,25.310000,36.400000,23.740000,39.110000,26.760000,21.510000,41.540000,34.020000,31.850000,43.640000
2004,-,35.440000,34.750000,44.910000,36.130000,38.340000,37.820000,32.750000,25.040000,39.180000,32.610000,34.730000,32.250000,26.830000,25.750000,31.900000,24.760000,29.410000,23.940000,25.290000,35.190000,39.860000,34.190000,42.710000
2005,-,33.680000,39.250000,43.150000,31.110000,37.180000,33.190000,26.950000,30.090000,30.650000,31.750000,29.880000,26.790000,26.040000,23.420000,29.410000,21.620000,32.470000,20.750000,22.360000,39.260000,34.300000,33.790000,38.550000
2006,-,29.460000,27.890000,37.360000,22.580000,35.240000,32.110000,26.320000,23.430000,23.200000,36.290000,30.150000,28.660000,30.460000,18.160000,27.630000,17.670000,32.230000,26.820000,13.080000,35.370000,34.900000,33.690000,28.210000
2007,-,27.920000,26.300000,35.180000,24.990000,33.890000,29.780000,23.430000,20.330000,21.740000,32.540000,28.910000,25.610000,19.270000,20.710000,30.520000,22.040000,28.330000,28.900000,19.110000,35.260000,26.170000,38.720000,23.950000
2008,-,24.480000,19.670000,30.990000,22.680000,30.240000,28.070000,23.430000,19.770000,28.460000,27.290000,20.280000,22.320000,21.430000,19.430000,26.440000,14.120000,15.520000,17.820000,14.040000,33.760000,27.540000,32.180000,19.450000
2009,-,22.490000,19.030000,29.910000,21.160000,25.840000,21.100000,21.510000,16.420000,18.160000,22.300000,21.570000,26.780000,15.620000,17.490000,24.810000,24.110000,21.080000,21.280000,18.970000,29.720000,23.600000,33.060000,18.870000
2010,-,21.990000,17.480000,31.370000,19.030000,24.520000,23.600000,20.900000,22.850000,21.880000,22.160000,21.930000,21.060000,19.110000,13.480000,22.750000,15.150000,26.110000,17.010000,13.890000,28.040000,18.050000,28.820000,14.820000
2011,-,20.010000,14.830000,27.940000,15.780000,24.270000,20.760000,19.400000,18.080000,24.490000,19.770000,15.130000,24.080000,21.260000,20.230000,20.920000,11.740000,20.230000,14.200000,13.040000,26.320000,18.660000,32.560000,14.740000
2012,-,18.580000,12.840000,25.200000,16.630000,21.060000,23.910000,17.510000,22.280000,19.860000,21.390000,17.610000,18.070000,12.650000,13.030000,21.650000,16.390000,19.270000,16.520000,12.840000,20.400000,17.190000,35.300000,16.880000
2013,-,16.440000,9.320000,24.710000,15.220000,18.350000,18.580000,15.450000,19.160000,13.180000,20.740000,14.580000,16.330000,12.920000,19.310000,17.560000,13.910000,20.580000,18.220000,11.860000,20.020000,22.960000,25.790000,14.590000
2014,-,15.150000,10.040000,19.840000,11.670000,17.350000,20.810000,14.110000,12.660000,13.740000,18.800000,17.870000,12.650000,12.760000,14.580000,15.050000,13.830000,13.480000,18.410000,10.420000,22.980000,19.700000,24.690000,10.180000
