年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,34.930000,39.770000,61.450000,38.420000,35.490000,22.880000,30.000000,27.990000,42.230000,23.990000,26.330000,21.130000,18.310000,12.180000,18.650000,14.070000,22.850000,13.800000,31.480000,42.700000,35.580000,31.180000,-
1999,-,42.430000,49.160000,68.600000,47.570000,44.770000,32.080000,40.390000,31.900000,45.270000,29.240000,28.210000,25.700000,20.640000,16.250000,21.140000,17.610000,23.310000,16.450000,39.250000,58.460000,35.550000,30.840000,-
2000,-,50.270000,57.390000,71.190000,57.670000,55.160000,44.400000,43.970000,39.420000,50.960000,34.590000,42.760000,38.770000,23.120000,25.300000,32.490000,25.840000,36.050000,21.130000,44.350000,67.790000,42.330000,33.140000,42.400000
2001,-,57.680000,63.630000,86.290000,65.630000,61.580000,46.810000,53.110000,40.770000,54.420000,45.420000,45.730000,40.620000,29.890000,31.670000,32.330000,31.460000,44.330000,20.830000,52.340000,83.170000,57.360000,44.030000,47.490000
2002,-,65.970000,78.990000,92.930000,76.760000,67.660000,55.190000,57.490000,47.130000,71.420000,52.080000,54.750000,47.150000,35.540000,31.330000,41.370000,38.480000,48.580000,31.610000,54.880000,87.170000,59.940000,52.910000,52.500000
2003,-,70.130000,81.540000,97.930000,74.720000,73.180000,63.630000,59.780000,54.160000,77.860000,52.410000,60.790000,48.860000,39.840000,45.310000,46.310000,33.600000,54.070000,38.210000,58.670000,95.070000,69.550000,55.470000,61.440000
2004,-,74.990000,82.940000,95.760000,87.010000,80.970000,68.520000,70.140000,56.100000,87.940000,56.790000,68.010000,54.790000,41.550000,45.590000,52.150000,44.790000,50.370000,50.830000,75.890000,95.670000,53.710000,69.130000,68.820000
2005,-,77.780000,91.470000,103.720000,91.180000,75.890000,61.520000,72.430000,66.500000,98.320000,65.080000,59.470000,64.590000,44.170000,45.080000,46.390000,40.620000,63.410000,37.920000,75.910000,106.980000,69.790000,55.280000,74.610000
2006,-,83.850000,92.860000,109.440000,95.620000,89.620000,74.470000,76.390000,64.070000,97.350000,75.310000,74.020000,65.400000,53.950000,49.540000,54.290000,40.990000,60.060000,58.000000,67.890000,119.690000,70.930000,73.010000,72.330000
2007,-,86.860000,96.050000,116.790000,96.400000,90.680000,80.130000,79.480000,69.940000,90.840000,85.290000,73.130000,63.200000,53.200000,44.880000,61.010000,56.270000,63.770000,54.370000,77.320000,109.770000,72.330000,80.340000,80.050000
2008,-,90.020000,100.210000,121.210000,103.520000,92.660000,82.100000,83.940000,71.430000,104.050000,72.200000,69.300000,69.710000,55.080000,48.720000,60.970000,45.140000,57.250000,60.380000,81.920000,129.920000,68.030000,80.120000,77.350000
2009,-,95.110000,109.300000,123.030000,110.970000,92.930000,85.700000,89.050000,66.400000,113.610000,88.910000,75.680000,74.780000,58.470000,51.160000,62.920000,54.770000,65.120000,67.490000,85.600000,141.220000,69.100000,85.630000,102.160000
2010,-,98.030000,108.870000,130.160000,112.960000,99.110000,81.060000,92.870000,77.660000,115.070000,93.920000,76.960000,77.710000,61.360000,65.780000,62.200000,40.760000,76.060000,65.300000,94.640000,145.740000,65.770000,79.620000,98.790000
2011,-,103.320000,107.970000,137.940000,121.990000,105.460000,91.770000,96.730000,75.800000,129.940000,91.950000,87.860000,75.240000,75.060000,63.310000,66.480000,51.470000,73.900000,62.660000,90.180000,157.610000,85.700000,81.880000,84.150000
2012,-,104.730000,114.860000,134.580000,125.360000,107.710000,88.470000,97.630000,89.630000,130.600000,94.210000,86.030000,82.050000,65.310000,64.280000,73.140000,56.030000,76.190000,64.760000,87.390000,143.340000,84.850000,91.190000,80.280000
2013,-,106.550000,113.140000,135.550000,129.170000,109.590000,92.050000,104.200000,81.780000,120.970000,88.170000,83.850000,73.710000,63.490000,77.410000,66.130000,50.410000,75.400000,72.170000,94.730000,184.470000,101.780000,101.900000,87.850000
2014,-,102.660000,111.420000,129.850000,120.720000,109.360000,94.660000,100.900000,80.470000,118.590000,82.520000,80.830000,70.690000,61.270000,58.430000,59.540000,52.720000,58.380000,55.720000,94.760000,159.150000,93.820000,78.270000,76.670000
