年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,139.640000,134.840000,149.340000,151.130000,145.420000,131.410000,138.630000,153.000000,156.800000,135.210000,131.490000,136.080000,126.260000,118.070000,131.490000,122.670000,138.480000,120.360000,146.670000,162.290000,130.030000,141.450000,-
1999,-,141.340000,143.190000,151.180000,143.670000,150.110000,131.810000,139.880000,154.540000,159.760000,136.250000,129.670000,127.370000,126.530000,118.600000,126.590000,120.670000,138.740000,125.830000,160.800000,162.970000,125.400000,148.370000,-
2000,-,143.910000,140.860000,157.410000,149.670000,151.010000,137.890000,143.940000,143.400000,149.390000,144.040000,134.150000,134.000000,124.090000,129.480000,127.410000,128.470000,144.120000,128.390000,148.760000,170.160000,132.750000,137.840000,192.770000
2001,-,145.580000,144.880000,154.070000,156.090000,152.610000,132.700000,142.730000,148.560000,166.540000,150.170000,133.580000,138.970000,131.490000,131.370000,133.620000,123.760000,146.390000,134.650000,153.890000,172.200000,140.810000,153.560000,187.210000
2002,-,146.800000,141.770000,153.160000,150.900000,154.490000,143.430000,144.350000,158.670000,164.340000,159.560000,142.790000,132.090000,135.720000,139.450000,129.920000,135.310000,152.010000,141.010000,145.520000,177.310000,137.090000,155.510000,201.250000
2003,-,147.740000,142.730000,152.510000,153.350000,156.570000,147.290000,145.450000,159.050000,169.060000,159.090000,147.550000,138.050000,130.210000,131.360000,135.310000,132.440000,148.570000,147.980000,143.230000,166.160000,134.950000,160.630000,206.550000
2004,-,150.280000,145.970000,151.410000,154.690000,160.570000,147.380000,147.680000,154.080000,177.280000,161.130000,153.950000,151.410000,132.900000,134.940000,133.610000,132.250000,150.970000,145.500000,161.390000,174.920000,130.970000,158.010000,192.060000
2005,-,149.060000,146.290000,149.870000,153.520000,157.350000,143.840000,147.770000,164.530000,169.330000,163.180000,149.610000,153.820000,128.620000,129.130000,131.670000,131.340000,140.100000,147.920000,156.800000,185.950000,136.100000,160.650000,202.160000
2006,-,152.290000,145.940000,154.050000,161.160000,161.680000,148.120000,151.660000,163.000000,161.020000,170.350000,154.320000,152.500000,139.080000,132.330000,138.380000,125.010000,152.280000,160.140000,151.280000,182.950000,134.940000,165.880000,180.920000
2007,-,152.390000,149.930000,151.630000,150.670000,157.820000,156.180000,152.900000,165.420000,158.190000,162.010000,156.160000,154.460000,135.260000,132.290000,140.210000,153.090000,158.050000,147.120000,143.760000,184.060000,139.250000,169.110000,193.250000
2008,-,154.230000,151.160000,158.010000,153.150000,159.220000,151.860000,158.330000,171.990000,181.490000,161.940000,151.330000,149.300000,137.760000,130.010000,137.830000,127.020000,149.290000,155.920000,154.780000,184.150000,144.700000,175.760000,208.100000
2009,-,157.360000,156.180000,155.870000,159.370000,158.740000,156.590000,160.140000,171.650000,173.500000,183.160000,160.020000,165.410000,129.760000,144.910000,138.430000,138.870000,157.340000,151.540000,157.410000,187.150000,137.270000,191.520000,203.870000
2010,-,154.310000,154.560000,153.310000,152.240000,155.890000,150.690000,155.050000,178.240000,170.390000,166.820000,150.760000,153.220000,144.460000,139.600000,140.530000,139.570000,164.470000,156.110000,160.930000,187.370000,135.540000,187.100000,207.240000
2011,-,158.600000,156.480000,159.230000,160.490000,161.960000,153.380000,163.120000,164.530000,182.650000,179.980000,152.800000,157.770000,149.090000,133.690000,140.460000,140.470000,153.930000,150.560000,161.690000,193.040000,149.710000,180.250000,214.690000
2012,-,157.000000,153.250000,155.030000,160.040000,156.180000,155.800000,163.270000,173.100000,173.540000,174.550000,146.420000,158.270000,147.970000,141.400000,149.600000,134.700000,159.650000,157.710000,151.390000,191.090000,154.610000,194.210000,194.450000
2013,-,156.380000,149.680000,153.280000,166.880000,159.360000,153.280000,161.240000,171.030000,173.050000,163.000000,143.900000,144.210000,146.560000,155.870000,147.000000,136.440000,158.480000,168.890000,161.170000,189.520000,161.070000,187.660000,201.430000
2014,-,157.250000,153.530000,152.010000,156.950000,161.100000,155.540000,162.290000,176.000000,177.080000,184.980000,148.680000,151.530000,150.270000,143.790000,151.580000,147.320000,153.470000,161.660000,159.030000,177.810000,152.340000,188.010000,202.400000
