年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,126.760000,131.950000,163.340000,120.920000,127.520000,107.420000,123.430000,133.130000,136.180000,109.550000,110.430000,110.600000,106.210000,101.580000,99.750000,109.310000,119.470000,114.190000,135.840000,148.880000,114.410000,122.300000,-
1999,-,116.130000,123.670000,143.440000,113.710000,110.860000,105.040000,110.850000,112.850000,118.020000,103.620000,105.310000,109.480000,107.280000,106.300000,101.440000,91.920000,110.320000,101.740000,107.440000,122.030000,108.890000,125.230000,-
2000,-,119.730000,125.000000,150.930000,115.950000,113.600000,108.330000,112.760000,116.740000,125.830000,113.520000,116.480000,112.070000,102.150000,109.080000,103.090000,102.660000,112.130000,105.010000,115.310000,124.260000,113.130000,120.650000,148.570000
2001,-,120.120000,125.180000,150.150000,118.740000,115.260000,109.640000,113.760000,116.620000,115.750000,119.580000,109.840000,113.110000,109.750000,106.220000,102.410000,102.770000,114.880000,106.510000,112.280000,127.990000,114.050000,123.930000,137.680000
2002,-,120.920000,125.250000,149.880000,121.710000,116.640000,112.400000,115.410000,114.570000,118.270000,118.550000,115.840000,107.490000,105.500000,109.110000,101.890000,104.020000,107.250000,107.370000,112.890000,131.020000,113.270000,132.140000,153.630000
2003,-,120.860000,123.940000,148.720000,120.110000,117.210000,115.770000,116.440000,114.420000,124.300000,109.700000,120.330000,108.430000,104.280000,110.920000,104.350000,97.260000,107.390000,113.850000,103.820000,132.350000,107.660000,127.230000,148.470000
2004,-,120.210000,129.360000,140.010000,119.520000,116.860000,114.370000,113.100000,114.180000,125.990000,118.110000,113.270000,110.530000,107.720000,110.670000,100.380000,104.630000,107.570000,108.490000,112.630000,137.620000,107.160000,124.330000,157.120000
2005,-,118.830000,132.130000,140.450000,116.650000,108.950000,105.650000,113.320000,115.790000,125.540000,115.770000,117.940000,106.640000,106.750000,109.340000,104.280000,99.330000,100.330000,107.060000,107.890000,136.610000,103.020000,116.550000,134.790000
2006,-,117.470000,126.220000,139.420000,112.420000,115.350000,109.240000,111.410000,112.680000,114.680000,119.310000,117.950000,107.040000,104.750000,105.470000,100.120000,101.060000,96.990000,116.200000,102.550000,134.550000,104.810000,127.430000,117.030000
2007,-,113.180000,118.730000,133.630000,106.410000,112.450000,109.080000,106.830000,106.520000,109.420000,114.090000,113.620000,106.620000,101.920000,101.690000,97.960000,105.140000,100.620000,114.200000,107.110000,125.700000,101.000000,121.580000,111.010000
2008,-,110.480000,114.590000,134.700000,104.480000,104.320000,105.820000,107.250000,103.940000,116.380000,113.200000,109.070000,107.710000,95.820000,101.830000,96.590000,87.110000,94.790000,109.170000,100.080000,119.410000,103.770000,134.680000,107.220000
2009,-,109.190000,113.750000,133.880000,104.640000,104.570000,101.000000,103.110000,104.180000,105.750000,109.990000,107.670000,105.790000,100.630000,103.300000,95.930000,91.370000,90.490000,107.010000,105.080000,123.400000,100.050000,121.260000,107.790000
2010,-,107.270000,109.610000,129.300000,98.350000,103.750000,100.710000,104.820000,106.180000,101.220000,106.620000,107.420000,107.380000,103.960000,103.350000,94.080000,92.670000,97.840000,105.670000,103.580000,113.780000,98.370000,126.840000,102.800000
2011,-,107.840000,109.240000,126.270000,101.310000,105.850000,101.540000,107.470000,97.460000,105.140000,112.320000,105.330000,103.310000,104.620000,100.570000,99.880000,93.960000,98.970000,105.690000,99.030000,119.140000,102.560000,123.610000,104.540000
2012,-,104.320000,106.830000,122.410000,98.470000,101.120000,100.350000,102.290000,99.330000,98.360000,101.340000,102.400000,105.610000,100.490000,100.200000,97.180000,89.620000,93.450000,101.130000,98.910000,104.910000,98.920000,119.210000,100.000000
2013,-,102.570000,104.780000,116.630000,99.230000,99.360000,98.520000,100.990000,98.500000,100.470000,106.730000,100.020000,100.660000,100.980000,101.700000,96.350000,82.560000,87.750000,101.020000,98.580000,102.850000,101.230000,107.220000,100.760000
2014,-,101.040000,103.530000,114.190000,96.400000,97.940000,99.250000,98.640000,95.910000,96.090000,101.140000,100.820000,96.970000,98.370000,99.570000,94.560000,93.640000,89.450000,98.050000,99.100000,102.260000,102.610000,106.360000,98.820000
