年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,172213.000000,22596.000000,29338.000000,2296.000000,27387.000000,13047.000000,38822.000000,978.000000,588.000000,4146.000000,3668.000000,2292.000000,3720.000000,3582.000000,7086.000000,2438.000000,2563.000000,1031.000000,1808.000000,3490.000000,1337.000000,-,-
1999,-,179980.000000,22033.000000,28994.000000,1309.000000,31312.000000,12686.000000,43033.000000,978.000000,1242.000000,4146.000000,3818.000000,2332.000000,3770.000000,5444.000000,7080.000000,2415.000000,2571.000000,1009.000000,1810.000000,2780.000000,1218.000000,-,-
2000,-,222533.000000,34280.000000,41548.000000,2809.000000,32645.000000,17658.000000,47679.000000,978.000000,1308.000000,4146.000000,6470.000000,2332.000000,3800.000000,5444.000000,7351.000000,2415.000000,3386.000000,2008.000000,1755.000000,3049.000000,1472.000000,-,-
2001,-,239441.000000,35260.000000,44417.000000,4138.000000,34420.000000,19016.000000,55812.000000,978.000000,1617.000000,4146.000000,7026.000000,3109.000000,820.000000,5444.000000,7359.000000,2415.000000,3426.000000,2289.000000,1755.000000,4482.000000,1512.000000,-,-
2002,-,246872.000000,40749.000000,43545.000000,4774.000000,43258.000000,18812.000000,49145.000000,978.000000,1798.000000,4146.000000,7176.000000,3115.000000,820.000000,5444.000000,7154.000000,2415.000000,3426.000000,2289.000000,1670.000000,4675.000000,1483.000000,-,-
2003,-,266617.000000,49871.000000,43127.000000,6576.000000,51082.000000,20124.000000,47281.000000,998.000000,1798.000000,4185.000000,7176.000000,4587.000000,820.000000,5444.000000,7054.000000,2415.000000,3426.000000,2289.000000,1631.000000,4921.000000,1812.000000,-,-
2004,-,277826.000000,50297.000000,44834.000000,7825.000000,46746.000000,19886.000000,49535.000000,1046.000000,1846.000000,4832.000000,12140.000000,7176.000000,820.000000,5444.000000,7695.000000,2289.000000,2415.000000,3521.000000,2024.000000,5220.000000,2235.000000,-,-
2005,-,282893.000000,49390.000000,47509.000000,9081.000000,47866.000000,19783.000000,51183.000000,1415.000000,1846.000000,4859.000000,12140.000000,7176.000000,826.000000,5013.000000,7549.000000,2280.000000,2415.000000,3521.000000,1598.000000,5220.000000,2223.000000,-,-
2006,-,282848.000000,49819.000000,48273.000000,10667.000000,48530.000000,19946.000000,50715.000000,1380.000000,1886.000000,4859.000000,10124.000000,7176.000000,826.000000,5444.000000,7307.000000,361.000000,2415.000000,3507.000000,997.000000,6209.000000,2407.000000,-,-
2007,-,269195.000000,39943.000000,49200.000000,13499.000000,51772.000000,20030.000000,50837.000000,1277.000000,2477.000000,2942.000000,7163.000000,5174.000000,175.000000,5444.000000,7121.000000,795.000000,1376.000000,370.000000,979.000000,6339.000000,2282.000000,-,-
2008,-,262570.000000,38045.000000,48603.000000,14391.000000,53479.000000,19583.000000,44716.000000,1220.000000,2742.000000,3668.000000,7089.000000,5174.000000,264.000000,5444.000000,6265.000000,795.000000,1196.000000,368.000000,1057.000000,6371.000000,2100.000000,-,-
2009,-,253412.000000,34499.000000,47070.000000,13145.000000,54175.000000,19729.000000,42935.000000,872.000000,2742.000000,2614.000000,7089.000000,1265.000000,264.000000,5444.000000,7059.000000,795.000000,3507.000000,363.000000,1029.000000,6745.000000,2071.000000,-,-
2010,-,251349.000000,34849.000000,45888.000000,12913.000000,54213.000000,19719.000000,41448.000000,907.000000,2742.000000,2614.000000,6010.000000,1783.000000,85.000000,5444.000000,7059.000000,830.000000,3495.000000,360.000000,1152.000000,7791.000000,2047.000000,-,-
2011,-,247328.000000,34443.000000,47780.000000,14703.000000,54063.000000,13314.000000,39310.000000,1047.000000,3900.000000,2614.000000,6010.000000,1772.000000,85.000000,5434.000000,7059.000000,895.000000,3494.000000,359.000000,1109.000000,7895.000000,2042.000000,-,-
2012,-,251468.000000,57048.000000,49208.000000,13680.000000,33833.000000,14451.000000,40704.000000,1192.000000,3900.000000,977.000000,6010.000000,1321.000000,283.000000,5434.000000,6259.000000,988.000000,4083.000000,368.000000,1027.000000,8701.000000,2001.000000,-,-
2013,-,234748.000000,35603.000000,49695.000000,17869.000000,32408.000000,14613.000000,42325.000000,1367.000000,1574.000000,2037.000000,6010.000000,1039.000000,283.000000,5434.000000,7066.000000,1089.000000,4061.000000,368.000000,1046.000000,8851.000000,2010.000000,-,-
2014,-,238807.000000,35806.000000,49222.000000,17912.000000,40190.000000,14311.000000,43790.000000,1360.000000,2403.000000,1907.000000,6010.000000,1039.000000,240.000000,5434.000000,2033.000000,915.000000,4061.000000,379.000000,1036.000000,8673.000000,2086.000000,-,-
