年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,37.920000,43.750000,21.650000,50.200000,40.910000,41.160000,37.670000,37.870000,56.340000,46.370000,44.110000,30.490000,32.170000,31.370000,29.310000,30.480000,29.160000,19.620000,31.060000,43.940000,25.710000,-,-
1999,-,37.210000,40.890000,21.320000,49.830000,41.040000,42.280000,36.730000,35.750000,55.080000,45.240000,43.960000,30.670000,31.680000,32.410000,28.590000,26.210000,27.780000,19.950000,30.530000,42.040000,26.250000,-,-
2000,-,37.230000,41.070000,20.860000,50.630000,41.050000,41.770000,35.630000,36.230000,53.080000,47.560000,44.770000,30.810000,33.820000,31.370000,28.830000,26.060000,26.430000,19.270000,28.330000,44.280000,26.480000,-,18.700000
2001,-,36.000000,39.650000,20.290000,49.230000,39.160000,39.240000,34.730000,36.500000,51.660000,45.920000,42.780000,31.820000,31.050000,31.820000,27.070000,24.730000,26.670000,18.700000,27.920000,43.430000,25.550000,-,18.120000
2002,-,35.240000,38.210000,19.810000,48.280000,39.400000,38.270000,34.130000,35.150000,50.920000,47.040000,42.270000,32.080000,30.230000,30.290000,24.950000,21.620000,26.290000,14.550000,26.660000,43.610000,24.940000,22.110000,17.120000
2003,-,34.830000,37.820000,19.480000,48.350000,38.320000,39.690000,33.930000,33.120000,50.140000,45.190000,42.310000,27.040000,28.030000,30.300000,25.740000,22.580000,24.230000,15.970000,26.350000,41.290000,23.880000,22.370000,16.540000
2004,-,35.210000,37.740000,19.300000,47.350000,39.060000,39.700000,34.660000,34.320000,48.780000,45.370000,44.980000,26.240000,30.270000,30.080000,26.930000,22.040000,23.820000,18.370000,28.840000,40.320000,23.140000,23.020000,16.990000
2005,-,35.790000,37.790000,19.320000,46.210000,39.990000,40.650000,35.710000,34.120000,51.860000,46.660000,44.840000,30.120000,30.180000,31.300000,26.290000,24.770000,24.480000,18.940000,28.080000,42.460000,25.450000,22.990000,16.560000
2006,-,36.020000,37.560000,19.450000,46.290000,39.690000,39.990000,36.530000,32.640000,52.510000,45.870000,45.170000,30.480000,32.130000,32.300000,28.640000,25.320000,23.800000,18.940000,28.620000,43.130000,26.670000,23.690000,16.950000
2007,-,36.800000,37.780000,19.110000,48.790000,39.940000,42.540000,37.210000,33.460000,49.550000,45.600000,46.720000,31.340000,33.550000,34.340000,30.410000,23.130000,25.540000,20.240000,29.570000,42.910000,25.930000,24.480000,18.070000
2008,-,36.840000,37.760000,18.790000,47.320000,41.470000,43.000000,36.460000,32.810000,50.760000,47.240000,47.390000,28.620000,33.150000,34.690000,31.440000,22.210000,24.970000,21.950000,30.010000,42.140000,26.900000,22.990000,17.930000
2009,-,35.850000,37.040000,19.280000,46.360000,40.060000,41.440000,34.990000,31.310000,52.780000,46.710000,46.330000,25.960000,32.780000,31.730000,30.290000,19.610000,24.080000,19.770000,28.570000,40.300000,26.390000,23.980000,17.550000
2010,-,35.920000,36.290000,19.260000,46.650000,39.130000,42.210000,36.000000,31.040000,51.350000,47.190000,46.210000,28.450000,32.520000,29.940000,29.340000,20.700000,25.100000,17.640000,29.000000,43.680000,27.450000,25.980000,18.650000
2011,-,36.340000,35.960000,19.160000,47.620000,40.820000,43.170000,36.570000,32.050000,49.860000,47.790000,46.040000,30.130000,32.310000,30.390000,29.100000,20.380000,24.360000,16.440000,30.250000,44.590000,26.960000,26.140000,19.790000
2012,-,36.230000,35.450000,18.810000,46.730000,40.570000,43.090000,36.760000,31.210000,51.240000,46.150000,46.400000,30.220000,32.140000,33.330000,30.750000,21.210000,23.650000,18.160000,30.620000,43.010000,26.710000,25.690000,19.540000
2013,-,36.160000,35.410000,19.300000,46.950000,40.100000,41.940000,36.220000,29.950000,52.680000,44.620000,48.040000,28.720000,34.750000,33.680000,30.920000,19.890000,24.560000,20.190000,28.930000,41.940000,25.540000,26.690000,19.740000
2014,-,36.140000,35.490000,18.820000,46.920000,40.440000,42.240000,36.400000,31.260000,50.870000,45.450000,48.720000,27.710000,35.380000,32.780000,31.080000,19.410000,24.410000,18.580000,27.630000,40.300000,23.760000,26.260000,19.440000
