年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,53.230000,54.550000,77.950000,46.140000,53.310000,46.290000,56.370000,52.000000,36.350000,40.950000,39.580000,43.780000,39.020000,37.060000,48.130000,42.730000,57.600000,71.200000,67.920000,53.610000,70.130000,-,-
1999,-,54.520000,57.600000,78.280000,46.780000,53.930000,47.740000,57.240000,54.280000,39.100000,42.590000,40.390000,45.770000,41.240000,37.270000,48.300000,42.460000,57.150000,71.590000,68.400000,55.780000,70.380000,-,-
2000,-,54.980000,57.600000,78.860000,46.110000,53.740000,48.970000,58.460000,54.650000,41.810000,41.540000,39.990000,48.500000,40.880000,37.890000,48.240000,45.820000,60.580000,74.480000,70.310000,53.900000,70.270000,-,76.370000
2001,-,56.460000,59.500000,79.360000,47.430000,55.890000,51.210000,60.300000,54.870000,43.120000,42.280000,41.630000,46.290000,43.500000,38.420000,51.180000,47.650000,61.900000,75.800000,71.160000,54.940000,70.980000,-,78.050000
2002,-,57.250000,61.000000,79.820000,49.150000,55.830000,51.380000,60.560000,55.280000,43.220000,43.400000,43.190000,48.240000,43.100000,39.820000,52.610000,49.110000,62.330000,76.110000,72.420000,54.720000,72.020000,69.420000,79.570000
2003,-,57.900000,61.290000,80.080000,49.670000,56.950000,50.440000,61.000000,56.890000,44.380000,44.920000,43.870000,51.780000,46.090000,40.890000,52.260000,48.590000,64.250000,75.630000,72.990000,57.240000,74.030000,71.000000,80.630000
2004,-,58.230000,61.420000,80.450000,50.580000,57.020000,51.530000,60.090000,56.650000,47.350000,45.870000,43.190000,53.690000,46.010000,43.050000,52.550000,53.010000,64.780000,73.500000,70.640000,58.570000,75.210000,70.780000,80.690000
2005,-,58.270000,61.500000,80.500000,51.760000,56.600000,51.470000,60.000000,58.630000,44.540000,45.800000,44.400000,51.850000,46.280000,42.980000,55.300000,52.870000,63.520000,73.890000,71.340000,56.300000,72.470000,71.770000,80.460000
2006,-,58.490000,61.800000,80.340000,51.950000,56.940000,51.840000,59.670000,61.170000,43.750000,48.450000,44.920000,51.240000,46.140000,45.250000,54.740000,53.900000,65.470000,74.440000,70.910000,55.890000,71.000000,70.380000,80.180000
2007,-,57.920000,61.780000,80.670000,49.880000,56.420000,49.970000,59.260000,59.940000,47.090000,49.120000,43.570000,51.960000,44.470000,43.660000,52.990000,56.300000,64.390000,73.580000,69.800000,56.330000,72.590000,69.190000,79.450000
2008,-,58.020000,61.680000,80.980000,51.310000,55.650000,50.470000,59.930000,60.170000,46.520000,47.660000,42.490000,52.280000,45.780000,44.660000,51.460000,54.920000,65.780000,71.310000,69.250000,57.120000,71.960000,71.710000,78.740000
2009,-,58.870000,62.450000,80.550000,52.140000,56.830000,52.410000,61.140000,62.060000,44.960000,47.580000,42.960000,52.680000,46.590000,46.240000,52.710000,54.980000,66.780000,72.360000,71.090000,59.020000,71.590000,71.390000,79.270000
2010,-,58.840000,63.290000,80.550000,52.130000,57.380000,51.980000,60.190000,62.860000,45.550000,45.770000,42.360000,51.650000,46.590000,47.050000,55.610000,56.470000,65.150000,74.900000,70.610000,55.560000,70.530000,69.280000,79.000000
2011,-,58.600000,63.520000,80.560000,51.190000,55.660000,50.510000,60.170000,61.490000,47.430000,45.480000,43.580000,51.580000,46.830000,47.180000,55.930000,58.070000,65.710000,76.290000,69.440000,54.610000,71.260000,68.800000,77.810000
2012,-,58.750000,63.940000,80.860000,52.190000,55.900000,50.380000,60.220000,62.240000,46.110000,47.200000,42.760000,51.020000,46.630000,46.930000,53.320000,59.170000,67.610000,76.310000,69.060000,56.220000,71.780000,69.450000,77.920000
2013,-,58.890000,64.010000,80.480000,52.130000,56.820000,51.030000,60.810000,63.580000,44.600000,47.860000,42.420000,51.200000,44.250000,44.990000,53.750000,58.150000,66.400000,74.990000,70.550000,57.220000,73.020000,68.920000,78.020000
2014,-,58.910000,63.920000,81.040000,52.140000,56.460000,50.370000,60.330000,62.560000,45.700000,47.750000,42.610000,52.870000,43.260000,44.250000,54.260000,59.500000,67.820000,75.550000,71.720000,58.910000,74.310000,69.590000,78.690000
