年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,7.700000,5.270000,4.490000,4.610000,9.360000,9.440000,6.710000,7.100000,4.430000,7.970000,9.710000,11.960000,15.540000,16.100000,11.020000,9.280000,8.910000,7.300000,4.730000,6.430000,7.900000,-,-
1999,-,7.730000,5.540000,4.620000,5.180000,9.010000,8.470000,6.920000,8.790000,5.120000,7.600000,9.720000,11.420000,14.980000,15.570000,11.560000,12.850000,8.630000,6.250000,4.110000,7.100000,8.610000,-,-
2000,-,7.480000,5.250000,4.360000,4.900000,9.410000,8.490000,6.980000,9.000000,6.060000,5.990000,8.800000,11.440000,12.430000,15.490000,11.540000,12.120000,7.250000,3.950000,4.650000,7.300000,8.700000,-,3.530000
2001,-,7.260000,5.080000,3.920000,4.570000,9.070000,8.520000,6.870000,8.200000,5.210000,5.760000,9.830000,10.480000,12.540000,14.700000,11.390000,11.880000,6.910000,3.450000,5.130000,6.120000,7.870000,-,5.010000
2002,-,7.360000,5.160000,4.240000,4.680000,8.970000,8.540000,7.330000,7.830000,5.380000,5.890000,9.150000,9.370000,13.730000,14.430000,12.300000,10.730000,7.120000,6.150000,5.250000,5.730000,7.970000,7.630000,4.390000
2003,-,7.250000,4.750000,3.940000,4.470000,9.700000,8.280000,7.210000,7.770000,4.450000,6.500000,8.690000,10.880000,13.380000,14.110000,11.360000,11.090000,9.110000,5.570000,4.780000,5.860000,8.640000,6.560000,3.540000
2004,-,7.010000,4.790000,3.690000,4.660000,9.040000,7.690000,7.040000,7.730000,5.380000,6.260000,8.730000,11.680000,12.890000,13.370000,10.260000,10.440000,7.490000,4.920000,4.390000,6.680000,8.580000,4.990000,4.750000
2005,-,6.700000,4.440000,3.380000,4.920000,8.530000,7.750000,6.640000,8.100000,4.700000,6.320000,8.350000,9.810000,13.290000,12.730000,10.040000,9.130000,7.620000,5.320000,3.990000,5.620000,7.220000,5.600000,3.680000
2006,-,6.400000,4.160000,3.060000,4.860000,8.020000,7.750000,6.400000,7.600000,3.540000,6.050000,8.610000,9.710000,12.570000,11.120000,9.700000,9.060000,6.840000,5.520000,4.410000,5.200000,6.760000,5.270000,3.790000
2007,-,6.220000,4.040000,2.980000,4.460000,8.390000,7.590000,5.780000,6.890000,3.510000,5.810000,7.970000,10.080000,12.300000,11.100000,8.810000,10.280000,7.370000,5.830000,4.480000,5.120000,7.480000,5.210000,3.550000
2008,-,5.950000,3.650000,3.060000,4.190000,8.130000,7.020000,5.540000,7.360000,3.440000,4.770000,8.190000,10.080000,11.920000,10.580000,8.670000,10.150000,6.050000,5.270000,4.320000,4.280000,7.220000,4.470000,3.500000
2009,-,5.720000,3.470000,2.700000,3.720000,8.430000,6.640000,5.500000,7.210000,2.710000,5.410000,7.250000,10.990000,11.610000,10.900000,7.410000,9.960000,5.720000,4.160000,4.040000,3.710000,6.490000,5.280000,3.320000
2010,-,5.580000,3.490000,2.630000,3.110000,8.180000,6.280000,5.400000,6.940000,3.160000,6.020000,7.740000,10.690000,11.370000,11.350000,6.300000,8.400000,5.510000,4.630000,3.880000,3.870000,6.460000,5.710000,2.830000
2011,-,5.390000,3.230000,2.690000,3.100000,7.490000,6.460000,4.900000,6.550000,3.740000,5.950000,7.590000,10.540000,11.040000,11.400000,7.280000,7.390000,4.920000,4.040000,3.620000,3.820000,6.520000,5.930000,2.640000
2012,-,5.250000,3.140000,2.680000,3.040000,7.330000,5.990000,4.630000,6.580000,3.780000,4.960000,8.180000,10.160000,10.500000,9.720000,7.290000,9.340000,5.860000,5.110000,3.770000,3.580000,6.180000,6.140000,3.170000
2013,-,5.170000,3.130000,2.390000,3.280000,6.980000,6.390000,4.790000,6.980000,3.550000,4.610000,7.480000,10.000000,9.380000,10.130000,7.290000,9.500000,5.890000,4.150000,3.900000,3.530000,6.840000,5.350000,1.500000
2014,-,5.170000,3.010000,2.330000,3.190000,6.690000,6.830000,4.750000,6.300000,3.580000,5.100000,7.320000,8.920000,10.600000,10.380000,8.000000,8.760000,5.560000,4.520000,4.200000,3.900000,7.630000,6.270000,2.190000
