年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,26.688752,54.478045,46.234225,26.254146,25.560522,23.091629,21.275036,15.546132,45.906037,47.731430,9.326136,31.125744,6.313718,22.580153,32.545035,27.755352,16.595622,14.464764,78.336848,44.207493,9.495252,-,-
1999,-,27.315922,54.478045,54.472203,26.254146,25.560522,23.091629,21.275036,15.546132,45.906037,47.731430,9.326136,31.125744,6.313718,22.580153,32.545035,27.755352,16.595622,-,78.336848,44.207493,9.495252,-,-
2000,-,27.319005,54.478132,54.878914,26.254060,25.560522,23.091629,21.275108,15.546106,45.905938,47.731302,9.326170,31.125774,6.313742,22.580124,32.540000,27.755331,16.595617,-,78.337498,44.209022,9.495948,-,-
2001,-,27.318992,54.478132,54.876955,26.254060,25.560522,23.091629,21.275108,15.546095,45.905938,47.731302,9.326170,31.125774,6.313742,22.580124,32.545032,27.755331,16.595617,-,78.337498,44.209022,9.495948,-,-
2002,-,27.230076,54.466440,46.236254,26.059131,25.548369,23.091656,21.306622,15.537698,45.834489,47.731302,9.326170,31.125774,6.313742,22.580124,32.540708,27.755331,16.595617,-,78.337498,39.165620,9.495948,-,-
2003,-,27.307146,54.466440,57.001535,25.968218,25.548369,23.091656,21.306622,15.531634,45.834489,47.731302,9.326170,31.125774,6.313742,22.580124,32.540708,27.747650,16.595617,-,78.337498,39.165620,9.495948,-,-
2004,-,27.293565,54.466440,55.202416,25.968218,25.548369,23.091702,21.306622,15.531634,45.834489,47.731302,9.326170,31.125774,6.313742,22.580124,32.540708,27.747650,16.595617,-,78.337498,39.165620,9.495948,-,-
2005,-,27.267403,54.093248,55.202416,25.968218,25.548369,23.091702,21.306622,15.531634,45.834489,47.731302,9.326170,31.125774,6.313742,22.580124,32.540708,27.747650,16.595617,-,78.337498,39.165620,6.563866,-,-
2006,-,27.259349,54.093248,55.202416,25.968218,25.418792,23.091702,21.306622,15.530234,45.834489,47.731302,9.326170,31.125774,6.313742,22.580124,32.540708,27.747650,16.595617,-,78.337498,39.165620,6.563866,-,-
2007,-,27.259349,54.093248,55.202416,25.968218,25.418792,23.091702,21.306622,15.530234,45.836293,47.731302,9.326170,31.125774,6.313754,22.580094,32.540708,27.747650,16.595617,-,78.337498,39.144486,6.563866,-,-
2008,-,27.259349,55.242054,44.742507,27.723403,25.418792,23.091702,21.306622,17.538515,46.270608,47.658787,9.312209,30.106155,6.430733,23.088067,32.051085,29.053673,16.069969,-,79.038016,40.171825,20.008130,-,-
2009,-,27.256725,54.093248,55.202416,25.968218,25.419243,23.091702,21.306622,15.530234,45.836293,47.731302,9.326170,31.125774,6.313754,22.556825,32.525577,27.747650,16.595617,-,78.337498,39.144486,6.563866,-,-
2010,27.115641,27.251532,54.093248,55.202416,25.815059,25.419243,23.091702,21.306622,15.530234,45.836293,47.731302,9.326170,31.125774,6.313754,22.556825,32.525577,27.747650,16.595617,-,78.337498,39.144486,6.563866,-,-
2011,27.107308,27.243152,53.876446,55.202416,25.815059,25.419243,23.091702,21.296872,15.530234,45.836293,47.731302,9.326170,31.127235,6.313754,22.441257,32.525577,27.747650,16.680741,-,78.337498,39.144486,6.563866,-,-
2012,27.107308,27.243152,53.876446,55.202416,25.815059,25.419243,23.091702,21.296872,15.530234,45.836293,47.731302,9.326170,31.127235,6.313754,22.441257,32.525577,27.747650,16.680741,-,78.337498,39.144486,6.563866,-,-
2013,27.080643,27.216353,53.655260,46.560022,25.815059,25.419243,23.091702,21.296872,15.530234,45.832090,48.007078,9.326170,31.127235,6.313754,22.441257,32.827493,27.747650,16.785309,-,78.337498,39.336512,6.563866,-,-
2014,27.118692,27.254593,53.655260,46.560022,25.679919,25.419243,23.091702,21.296872,15.530234,45.832090,48.007078,9.326170,31.127235,6.313754,22.441257,33.133733,27.747650,16.934815,-,78.337498,39.336512,6.563866,-,-
