年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,2.286667,2.297550,9.519301,7.222230,7.073158,7.404408,4.080938,1.990994,0.474430,1.030406,1.125080,7.698279,0.251069,1.186829,0.910251,0.332901,0.073110,0.102407,0.709421,2.350125,16.081248,9.096119,0.156805,-
1999,2.291835,2.302771,9.541712,7.281097,7.229593,7.422468,4.053561,2.015092,0.467899,1.032507,1.092668,7.779255,0.248634,1.180631,0.890269,0.321012,0.074248,0.099815,0.733068,2.274800,15.668169,9.329353,0.150272,-
2000,2.275780,2.286552,9.694691,7.321568,7.444179,7.241872,3.978732,2.001516,0.452038,1.041613,1.039930,7.500028,0.241085,1.153517,0.878700,0.313806,0.071119,0.094414,0.756715,2.252203,15.706595,9.162757,0.163339,0.034722
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,2.048412,2.057619,8.939539,5.842538,6.947027,6.195774,3.630137,1.894601,0.379731,0.936541,0.904239,6.809407,0.152931,1.000128,0.861347,0.290027,0.056610,0.086420,0.740950,1.860516,14.448146,8.129865,0.254809,0.069444
2003,2.117882,2.126552,9.259626,5.588674,7.411418,6.555610,3.696753,1.941440,0.384862,1.003787,0.887758,6.870837,0.174360,1.047384,0.861347,0.287145,0.054904,0.081451,0.748833,1.950905,14.313655,7.996588,0.463883,0.069444
2004,2.142200,2.150686,9.289345,5.367924,7.612899,6.649971,3.725042,1.978775,0.392326,1.012894,0.895999,7.031858,0.181910,1.041961,0.880804,0.283182,0.054904,0.083179,0.748833,1.868048,14.227197,7.763354,0.535752,0.069444
2005,2.151291,2.159851,9.308345,5.110381,7.675965,6.670288,3.745118,2.014074,0.383463,1.036009,0.895449,7.125864,0.183127,1.048935,0.865553,0.293630,0.055188,0.082531,0.756715,1.837918,14.015855,7.596759,0.529218,0.069444
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,2.143660,2.152242,9.063286,4.632088,7.726745,6.724467,3.751506,2.068719,0.388594,1.055664,0.876771,7.156579,0.192137,1.039639,0.857665,0.296152,0.055473,0.078858,0.780363,1.777659,13.787462,7.446823,0.534103,0.104167
2008,2.145373,2.153936,8.910794,4.440770,7.771792,6.804832,3.768388,2.078223,0.397924,1.066873,0.889407,7.194740,0.194086,1.062105,0.851355,0.308402,0.054619,0.078858,0.772480,1.747529,13.585835,7.413504,0.540697,0.104167
2009,2.136719,2.145293,8.830895,4.300961,7.804553,6.742978,3.773864,2.085351,0.407254,1.068274,0.877870,7.169610,0.195060,1.083022,0.844174,0.311284,0.056326,0.081019,0.804010,1.807788,13.048162,7.180270,0.527510,0.104167
2010,2.155342,2.164038,8.877178,4.253132,7.961807,6.811153,3.790746,2.090781,0.405855,1.080883,0.876222,7.281300,0.197738,1.106263,0.838921,0.327136,0.056326,0.080370,0.788245,1.875580,12.884940,7.230248,0.520916,0.104167
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,2.194883,0.828393,8.969745,4.260490,8.200964,6.951114,3.765651,2.139356,0.423115,1.108203,0.894900,7.642434,0.197495,1.175210,0.819484,0.342989,0.053766,0.079290,0.788245,1.852983,12.625705,7.180270,0.534103,0.138889
2013,2.239782,2.249074,8.828459,4.183228,8.351666,7.231037,3.800784,2.236723,0.420316,1.123614,0.908634,8.097573,0.204313,1.303035,0.825263,0.359562,0.052912,0.078642,0.780363,1.928308,12.539293,7.230248,0.481353,0.104167
2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
