年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,74.747472,75.022043,98.837928,46.374111,100.217555,93.775485,84.450408,68.594231,70.410857,75.282322,78.050746,87.147918,65.887025,80.884989,74.981180,77.315106,48.834896,62.049939,33.257621,77.445886,85.103440,89.018613,36.367521,15.159453
1999,74.765767,75.010965,99.470677,48.490243,94.295941,88.646366,83.285578,69.630906,69.788984,72.877520,80.616935,85.604511,65.248021,82.759343,74.921704,75.669275,47.727465,63.845988,32.641364,76.978617,82.714351,80.166011,35.311263,23.597122
2000,73.787026,74.072455,97.398340,48.314481,89.772902,88.645791,82.850070,69.241266,68.581159,70.795846,76.713679,84.100045,68.272441,79.504599,73.629043,74.939311,47.238976,59.634064,32.285714,74.697115,82.314343,78.427519,35.911941,13.968880
2001,71.540314,71.800624,92.572938,47.829045,85.859981,82.270510,80.850525,68.630242,66.268175,68.958591,73.488006,81.705882,64.310742,78.039673,71.257905,73.111754,46.495343,56.829578,32.835587,72.360911,76.920668,74.215730,37.472368,16.637218
2002,70.762639,70.987556,91.273461,49.143495,83.664846,80.885274,80.122129,68.304530,64.041258,66.885195,70.008240,80.446122,63.235047,75.441499,68.878628,71.218013,46.013768,53.747558,32.735836,67.830532,75.083647,71.479989,38.218547,20.864286
2003,70.871545,71.088247,92.815960,48.094059,85.411100,80.540051,80.986825,68.796028,63.989641,66.961219,69.981659,80.275810,62.372692,74.851006,68.426129,71.427488,46.053859,54.449682,32.783582,67.662929,74.276819,71.567295,39.676643,21.117506
2004,71.586712,71.806251,94.982044,49.249225,86.239540,80.935400,81.787815,68.805531,63.842839,66.844921,70.045352,81.041482,62.606163,75.512145,68.286781,71.592095,45.199887,54.657013,32.463932,67.319321,74.170979,71.443182,42.629630,19.296907
2005,72.601305,72.813952,97.367616,49.582607,87.225310,81.906738,82.342557,69.280545,64.884172,68.720616,71.049867,82.367825,63.751246,76.981944,69.342918,73.474562,45.126157,54.572282,33.209695,68.555653,75.569052,72.434284,47.347709,19.192950
2006,72.845438,73.048951,96.810624,50.533548,85.790771,80.688077,83.094903,69.604842,65.345728,70.731255,71.208800,82.493821,63.639120,77.154205,70.195311,73.718670,44.969888,54.757850,33.449344,69.212084,75.609462,72.727370,50.555849,18.022099
2007,73.128605,73.319910,97.622799,50.941991,86.167082,80.416893,83.298931,69.654557,65.846396,70.922758,71.285696,82.940241,63.803586,76.701406,70.630925,73.251235,44.882828,54.665924,33.535390,69.342274,75.948801,72.723036,53.543664,18.283088
2008,72.949091,73.142813,96.882313,50.682544,86.323755,80.510294,83.508181,69.809257,65.154368,71.568970,71.017235,82.475972,63.364276,75.085495,69.565289,71.786305,44.339071,54.446340,34.203812,70.111572,76.326680,73.560720,54.107486,17.326821
2009,72.871887,73.037379,95.586749,50.492409,86.383289,80.587061,83.499822,70.156142,65.376717,71.682615,71.178915,82.306974,63.253575,74.125218,68.157790,71.186386,44.251427,54.790937,35.371324,69.666487,77.922567,73.322892,59.406586,17.712500
2010,72.935029,73.089420,93.987195,50.943916,86.827132,80.934480,83.778682,70.525428,65.475046,71.450557,70.766747,82.343537,63.295384,73.931493,67.694455,71.016992,43.696344,54.619539,35.475110,69.728444,78.455610,73.519568,61.506001,17.884892
2011,74.024804,74.167845,94.618549,54.293076,86.746736,80.604871,84.312281,71.556753,65.881315,72.569886,70.630891,83.192173,63.834799,73.943627,67.793573,71.031879,43.253126,55.201245,36.470345,70.291767,79.299981,73.944989,65.957460,17.823633
2012,74.321431,74.430177,94.411144,55.413984,85.881848,80.516194,84.344659,71.844529,65.842785,73.770660,70.833459,82.773051,64.197951,74.542986,67.739942,70.922092,43.038235,55.075583,37.640137,71.511756,79.127141,73.761218,72.137117,20.124555
2013,73.909523,73.995215,89.441607,56.096469,84.972895,80.661044,84.691851,71.950435,66.098039,73.069697,70.089726,82.648619,64.211297,74.803636,67.858572,71.023833,42.579735,55.464618,38.541267,72.349286,77.778726,73.307713,75.304429,21.762075
2014,74.509006,74.582236,89.722654,57.640779,84.003102,81.206073,84.629868,72.267957,67.756166,74.002753,70.146197,82.994281,65.037304,76.188810,67.713935,71.997707,42.756190,56.708964,39.827006,72.371872,77.113174,73.310690,78.598769,22.173759
