年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,13.418769,13.398757,14.847107,14.060389,11.305521,11.990058,13.584795,15.083940,12.037383,14.555294,14.054726,13.035308,11.181303,12.539855,13.496536,12.656743,11.983784,12.870036,11.750000,13.128125,11.340187,13.613707,20.164179,9.173913
1999,12.803280,12.780464,12.438573,16.068068,9.861759,12.386982,12.599486,12.899811,11.303468,14.032941,12.961631,12.923256,14.601533,12.427289,13.304850,12.374138,11.562212,12.000000,11.942308,13.774510,10.741117,13.099698,20.136364,9.695652
2000,12.094632,12.071718,12.567611,11.873999,11.584043,11.387992,12.351059,12.172497,11.378698,13.760820,11.590062,12.223077,13.199336,10.128388,13.142534,12.364407,11.545872,12.426471,10.200000,14.085890,11.654639,13.406832,19.910448,9.260870
2001,12.440174,12.417567,12.086493,12.149852,12.985310,10.968559,13.822864,13.904654,11.285303,11.813285,12.173278,12.006849,12.932862,11.194093,12.721491,11.724138,11.815315,12.638889,11.180000,13.821429,10.937919,12.005435,19.869565,9.521739
2002,11.789607,11.758506,12.393505,11.923706,10.790930,10.740056,11.976315,12.851095,11.837423,11.881119,11.611670,11.583851,10.551559,10.493225,11.719608,12.291737,10.900000,11.222222,10.557692,13.504762,11.353791,12.767045,21.686567,10.380952
2003,11.337161,11.326173,12.126531,11.418652,11.088402,10.544700,11.091449,12.789011,10.891566,10.638743,10.670350,10.618992,10.043678,10.559567,10.730159,11.295868,10.960699,10.488746,9.649123,13.078078,10.414552,11.467172,14.065217,10.521739
2004,11.350388,11.341500,12.012620,11.958527,11.187152,10.585569,11.141208,12.390463,10.756839,10.410423,11.433925,10.599291,11.156593,10.361111,10.340171,11.168096,10.510638,10.503106,9.563636,12.993769,10.457912,11.312183,12.898990,13.000000
2005,10.269729,10.268633,10.264934,10.271819,10.253710,10.272315,10.272764,10.270049,10.283537,10.265734,10.260550,10.278114,10.275229,10.271318,10.272097,10.272887,10.276094,10.264463,10.241379,10.271277,10.275430,10.238764,11.073394,8.068966
2006,10.601198,10.598624,12.004156,10.698606,10.475150,9.488732,11.206269,10.299345,9.990000,10.468007,12.294624,12.265734,11.157609,9.342629,11.119433,10.301775,8.180593,10.290801,7.600000,11.898551,9.780316,9.879452,11.534483,7.761905
2007,11.019537,11.027515,12.149865,11.511033,10.265915,10.075298,11.472437,10.668504,10.226619,10.477612,14.461153,11.481865,10.437681,9.649351,11.525727,10.697674,9.464029,12.770370,8.890909,14.567442,11.143130,9.311239,10.252101,8.809524
2008,10.689619,10.694544,11.771318,11.123853,10.892980,9.511376,11.141979,9.910087,10.048689,10.371482,13.872449,11.204659,10.373134,8.773481,11.462264,10.438413,9.889313,11.783688,9.351852,14.507042,10.849237,9.272727,10.606838,7.272727
2009,10.769581,10.779315,11.616508,10.828085,10.983553,9.638665,10.592593,9.781937,9.210145,9.568738,13.391534,10.401007,9.698171,13.532091,14.897833,9.964948,9.569288,12.396887,9.379310,13.741071,11.155303,13.115385,10.365217,5.695652
2010,12.570130,12.591160,13.348601,10.844660,13.608452,12.145333,13.316257,10.516367,12.049020,13.052219,21.744589,10.410305,12.924000,15.068323,18.494024,10.880000,13.054455,13.170213,10.361702,14.088372,14.317734,16.871921,10.663551,7.761905
2011,12.722349,12.746078,13.615911,10.826722,14.942418,14.368098,14.370639,11.159796,9.290698,12.634568,13.415205,10.662745,14.523810,11.722130,12.944928,9.476483,12.793722,12.508130,7.046512,13.013761,14.177885,18.527919,10.583333,7.272727
2012,10.213603,10.219081,9.809822,9.454604,10.763793,10.112799,11.204347,10.175930,10.193089,9.990998,11.011776,10.007758,10.464760,11.530612,10.931075,9.877113,8.823643,9.936652,11.113208,10.641026,10.505566,9.881956,9.180000,8.730769
2013,9.894671,9.899543,9.521438,9.517477,10.635172,9.747055,10.618859,10.096103,9.930303,9.559771,10.132057,9.711006,9.777213,10.636511,10.637255,9.188220,8.325536,9.765601,10.024540,10.350254,9.848458,9.794521,9.010256,8.148148
2014,9.802541,9.804219,9.593546,9.484665,10.227317,9.765673,10.357124,9.945118,10.000000,9.301642,9.635593,9.803513,9.702899,10.754910,9.997540,9.173597,8.624498,9.701493,9.812500,10.192893,9.624258,9.684211,9.540984,8.730769
