年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,20.106294,20.135589,21.980325,18.602208,22.452848,22.723507,20.315487,20.573610,18.894787,18.987940,18.622540,21.523854,15.841941,17.709287,15.365642,18.274028,12.791495,14.763751,11.763864,20.539432,21.854756,22.874312,14.933993,6.252874
1999,19.516725,19.545379,21.435601,17.656430,21.560435,22.039268,19.641793,19.888908,18.556526,18.797515,18.196918,20.980160,15.480730,17.305609,14.913590,17.910692,12.589933,14.850854,11.221071,20.425506,21.407635,21.628128,14.325581,6.159574
2000,18.960052,18.990976,20.955942,16.665756,21.437360,21.250729,19.165256,19.286120,18.144011,18.383091,17.724176,20.346757,14.817118,16.824159,14.644979,17.575362,12.544355,14.532258,10.880471,18.779337,21.546894,21.215372,12.911950,6.000000
2001,18.603598,18.634227,20.504002,16.399670,20.659078,20.737864,18.816450,19.539274,17.785556,18.167874,16.806969,19.965931,14.482916,16.552810,14.228032,17.147011,12.294847,14.321078,9.915773,18.364532,21.226730,20.983471,12.670846,5.828283
2002,18.389588,18.425263,20.410720,16.054974,20.578387,20.356374,19.063730,19.133621,17.147766,17.548518,16.722671,19.540545,14.668325,16.368357,14.488595,17.024645,12.465177,14.006211,10.144654,17.966702,19.778512,20.807061,11.637394,5.563107
2003,18.429140,18.459805,20.611781,16.101788,20.515107,20.144589,19.192002,19.476509,17.167530,17.612384,16.452107,19.255975,14.598540,16.172781,14.507913,17.043660,12.760884,14.166828,10.609400,18.160419,19.511615,20.524880,12.642424,5.950495
2004,18.307702,18.330800,20.611478,15.920891,20.197362,19.967836,19.060712,19.197210,16.954763,17.424048,16.244186,19.347949,14.597844,16.256972,14.594364,17.108397,12.458527,13.977506,10.607321,17.979843,19.154216,20.612642,13.824916,6.534091
2005,18.019250,18.051499,20.257252,15.509219,20.080027,19.708936,18.761666,18.883663,16.385590,17.436511,15.891911,19.133562,14.274122,15.985364,14.563402,16.883963,12.057410,13.775551,10.358586,17.776755,19.092722,20.459150,12.251515,5.179245
2006,17.860336,17.893683,19.880911,15.337515,19.882777,19.590832,18.677675,18.707009,16.279070,17.631319,15.562859,18.955491,14.337739,16.060241,14.605416,16.534613,11.845278,13.644798,10.234007,17.924315,18.969355,20.356500,11.824561,5.446602
2007,17.305594,17.334235,19.247966,15.040900,19.341103,19.269290,18.151108,18.190889,15.676313,16.687354,15.006783,18.321416,13.445189,15.228233,14.023729,15.984367,10.504926,12.964868,9.868637,17.254762,18.520085,20.011504,12.161194,5.515152
2008,16.739906,16.764709,18.387568,14.425060,18.978757,18.552482,17.599316,17.715449,14.861483,16.712520,14.456755,17.834477,13.062713,14.699482,13.648015,15.350855,10.504185,12.210392,9.467532,16.348540,18.371719,19.512971,12.402477,5.552083
2009,16.069770,16.095090,17.633392,13.876987,18.248251,17.723173,16.847373,17.095863,14.259545,15.883757,13.939209,17.189702,12.605454,14.402525,13.088617,14.578207,9.915297,11.713991,8.665109,16.084076,17.561563,18.530100,11.837278,5.380000
2010,15.264318,15.285821,15.410414,13.265158,17.650619,17.062643,16.374840,16.442424,13.617957,15.520907,13.419553,16.622440,12.214917,13.816980,12.574088,13.968590,9.646563,11.237552,8.554313,15.343080,17.211365,18.057265,11.782991,5.427083
2011,14.783064,14.806811,15.054795,12.810137,17.139241,16.272075,15.869226,15.949549,13.220047,15.242483,12.926576,16.000743,11.829023,13.483048,12.105573,13.486620,9.449732,10.886412,8.254808,14.800266,16.704462,17.476149,10.980556,4.979592
2012,14.090000,14.110000,14.740000,12.020000,16.120000,15.420000,15.050000,15.260000,12.460000,14.750000,12.030000,15.260000,11.360000,12.950000,11.340000,12.740000,9.020000,10.300000,8.100000,14.000000,15.950000,16.280000,10.550000,4.960000
2013,13.310000,13.340000,14.170000,11.740000,15.240000,14.500000,14.400000,14.460000,11.550000,13.560000,11.610000,13.970000,10.250000,11.720000,10.410000,11.970000,8.350000,9.630000,7.420000,12.790000,14.960000,15.220000,9.440000,5.150000
2014,12.700000,12.720000,14.040000,12.020000,14.480000,13.720000,12.960000,13.320000,10.990000,12.840000,11.130000,13.160000,9.760000,10.910000,9.460000,11.170000,7.680000,8.960000,7.220000,12.110000,14.210000,14.390000,9.710000,4.740000
