年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,250047.836151,250047.836151,307263.307263,106663.285156,232099.927184,346262.857143,181004.081633,131015.325670,543879.581152,209812.903226,336383.966245,456563.414634,162500.000000,181171.662125,170403.921569,167438.725490,351026.086957,375229.729730,386865.853659,187566.666667,149134.328358,141894.736842,-,-
1999,280269.459104,282206.433672,310453.551913,58082.926357,392518.650943,236630.036176,262070.735294,204501.960894,927848.525253,210184.184713,236175.960630,291622.068493,99534.883721,236026.024000,115969.823529,331600.361702,453146.075630,307121.879195,815350.963415,396509.672131,124925.804878,153321.052632,-,-
2000,258322.617428,260407.010453,609450.264865,57569.211470,410771.566210,304308.158291,239997.208981,130424.926350,435497.346341,256496.930380,303942.588679,214649.229437,311110.671053,99087.303109,178025.276978,325729.235981,172618.983740,251382.000000,446899.686747,234721.721311,136965.517241,206134.272727,-,-
2001,201947.754119,203325.128117,444069.252688,66399.023569,337090.573991,127123.106280,161556.507666,120417.431090,590482.403846,275980.189873,200172.250000,65799.191111,327931.700422,98323.133676,198129.877193,181794.694444,328019.796748,197604.220000,403144.879518,200253.548387,125477.272727,128499.538462,49500.000000,-
2002,148664.211857,149882.776485,414718.710875,43504.905063,228501.760000,92407.194444,90202.198664,94062.915408,359973.545024,279724.930818,253865.665414,106038.993521,96746.661088,63002.056122,114429.320557,140346.395881,82546.204724,213068.231788,344403.011905,70037.666667,92630.434783,163385.535714,37165.548387,-
2003,174009.136242,175881.811565,382334.538265,33284.832370,303394.906667,128723.252066,135173.740984,141866.134006,344011.532407,286555.116564,278373.276364,144624.129512,91416.769231,78257.602532,178136.686411,141955.200903,130889.503876,153086.077922,638563.202381,102277.511111,163213.571429,132062.500000,41562.857143,-
2004,175003.508186,176624.848038,477115.007812,68594.133523,254970.696035,92293.807921,152843.633712,85261.241379,351530.000000,280185.987952,277882.977941,169229.917526,88850.642570,44066.778894,233642.963816,150027.327273,95703.759398,239057.942675,591646.329412,93565.802920,125010.525253,99771.111111,74412.428571,-
2005,194752.459187,197424.136274,449435.239186,42333.807799,312463.638767,99349.651163,169635.427200,151005.626761,613686.305310,366704.584795,286973.511029,142508.452525,147760.673307,42905.027363,280399.603279,151360.038202,104805.037037,198120.742138,310267.352941,81606.405797,218256.029412,136650.421053,32332.089744,-
2006,163117.988845,165054.580797,406728.375000,44587.156757,281485.408072,117989.361266,144154.663027,101480.181568,344114.464912,338643.132948,170693.789855,134672.873518,156142.316206,28883.972772,161289.817035,165765.040179,86970.588235,204357.631250,485436.816092,80862.907143,138136.824074,143234.761905,52353.612500,-
2007,178332.398469,179655.766275,407481.720874,50035.436842,253826.230435,94031.312169,164634.012214,140716.370572,419768.305677,333915.104046,170960.155797,174992.270588,174874.367589,32635.149510,175641.161585,178093.416851,140277.387324,202973.901235,612207.483146,78272.838028,121614.018018,87903.695652,121571.416667,-
2008,197352.538534,199231.769597,425187.903382,38582.387464,440976.299145,106246.808772,191580.273952,148203.350487,417943.226087,322552.543353,178005.434783,194073.169261,147885.200000,50537.913876,151018.948328,184871.390728,158272.727273,385944.098160,633287.988764,65737.598592,165693.585586,99900.000000,107626.818182,-
2009,240089.320037,242801.854841,473326.220379,49136.819820,258631.000000,108036.694590,203057.816418,175972.805825,761803.622318,367828.977011,232743.659420,196139.876686,174372.820312,221358.904306,179903.334320,391492.938326,144027.777778,282203.162651,602235.887640,81117.211268,94264.207207,153192.148148,105618.978261,-
2010,200541.454127,203458.951741,484576.986111,46043.247024,261817.560669,213212.809773,249248.460624,171419.968536,260846.779661,347367.272727,170444.244604,140340.657197,144251.894340,88838.318182,136473.853801,160191.497797,137465.753425,433958.148810,496705.351648,62217.090278,51220.720721,135167.741935,46121.368421,-
2011,190414.173534,193012.799816,129767.956522,36159.347222,297817.728033,363245.644891,124597.511940,20859.573643,270959.334746,411939.418079,177526.881720,402594.964353,116251.114815,117366.542857,148944.585714,272220.857456,136857.142857,357724.531792,430968.230769,47857.909722,74425.342105,137934.328358,53214.791667,-
2012,188214.488045,189948.146182,167694.022676,36294.797183,429010.497908,60588.141653,164726.412202,156879.291667,330484.805907,448069.448864,384205.838710,147674.195572,86084.235294,120257.701422,121099.501416,352138.859956,331931.960526,293209.396552,470948.989011,43757.388889,84548.649123,86221.739130,110328.989796,-
2013,170359.517924,171987.622690,171890.395928,31114.057637,396635.970711,73155.205387,187404.078519,32543.187113,252692.199153,431061.554945,216515.967742,161573.712177,90119.647059,123146.094563,216427.574648,264262.074074,372615.633987,446590.988506,418764.593407,67850.756944,69235.561404,86364.878378,97670.831683,-
2014,206468.932702,209279.681435,255613.400901,32967.833819,432032.293388,74582.100334,175650.685377,87814.635018,496768.359833,469664.580645,216515.967742,198138.714549,117739.567273,122271.554779,148605.946779,319208.019565,541749.444444,498067.868571,492923.505495,195586.104167,91325.939130,164249.000000,68157.028571,-
