年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,37.372126,37.394276,39.307092,32.749420,39.323257,39.397555,39.187950,36.681988,36.623009,35.473282,38.948012,38.982456,35.092332,38.147287,35.158095,37.097773,31.694444,33.844098,30.087302,36.494357,36.359914,41.222222,34.317647,17.588235
1999,35.913743,35.940643,37.787893,32.344332,36.993786,37.665490,38.461289,34.806138,35.503610,33.692898,36.949231,36.651847,33.507911,36.593431,33.932039,36.156843,31.133550,32.027149,28.176000,35.179775,34.120833,39.742627,31.761905,15.611111
2000,35.006741,35.032929,36.612269,31.919472,36.004235,36.665709,38.044656,33.606542,34.512500,33.968992,35.947287,35.559010,31.827856,34.894495,32.583174,36.435501,30.735786,30.342222,26.801587,35.483146,32.946721,37.881081,31.130952,14.611111
2001,34.911689,34.935852,36.230271,32.050842,36.274112,35.963411,38.363593,33.827199,34.805263,34.173258,34.709389,34.788679,31.921175,34.650118,32.289524,36.145343,32.191489,30.664444,27.274194,36.492099,32.576772,37.732432,31.246914,15.555556
2002,35.681049,35.706897,36.970622,32.770953,37.005393,36.937944,38.447393,35.677306,35.051813,34.415631,35.109145,35.722899,32.515291,34.569544,33.283203,36.075758,31.989547,30.958333,26.854839,36.388412,34.523232,38.817935,31.246753,16.277778
2003,36.024724,36.052485,37.520461,33.186380,37.641106,37.205737,38.119014,36.370625,34.637755,34.802083,35.029369,36.020328,33.032609,34.960832,34.098000,35.496970,32.262411,32.503401,26.404959,36.300211,35.205179,37.913978,30.208333,17.411765
2004,36.058746,36.086802,37.710714,33.360770,37.568772,37.369505,37.722461,36.263227,34.371622,34.723154,34.690962,36.265157,33.739336,35.247831,34.251509,35.637374,31.259259,33.074830,25.408000,35.977083,35.186373,37.332432,29.436620,19.062500
2005,35.564271,35.592580,36.821219,33.320215,36.983871,37.460085,36.524651,35.321417,34.220367,34.131579,34.257732,35.166994,33.384735,34.745932,34.520243,34.849654,31.120000,32.300885,28.149123,36.564482,34.396040,39.816568,29.757143,16.222222
2006,34.834632,34.863288,36.305685,33.400474,35.912708,36.119799,35.223126,34.414129,33.311396,33.531546,33.831395,34.498373,32.741840,34.695921,34.551935,34.619048,30.661184,31.643011,27.728814,34.607646,34.231373,37.663073,29.000000,15.444444
2007,34.181111,34.200957,35.502186,33.588115,34.933099,35.445633,34.441098,33.563548,32.764890,32.901840,32.765957,33.681206,31.625706,34.131643,34.170683,33.572227,30.351974,30.551867,26.766667,34.357576,34.076628,38.170667,31.028986,15.611111
2008,33.850000,33.870000,35.150000,33.610000,34.700000,35.120000,34.020000,33.190000,32.250000,32.660000,31.830000,33.850000,31.820000,33.660000,32.660000,33.290000,29.610000,30.380000,24.620000,34.180000,33.790000,36.020000,30.550000,15.470000
2009,33.480000,33.500000,34.750000,33.420000,34.360000,34.890000,33.900000,32.900000,31.800000,31.910000,30.950000,33.640000,31.360000,33.190000,31.590000,32.570000,29.290000,30.210000,24.970000,33.110000,32.970000,35.820000,29.400000,16.280000
2010,32.680000,32.700000,34.041047,32.532264,33.518172,33.960000,33.060000,31.880000,31.421705,31.059680,30.044321,33.333766,30.627675,32.476571,31.140221,31.676199,28.015625,29.446809,24.592000,32.183884,32.170475,35.515152,29.597222,15.555556
2011,31.590000,31.600000,32.970000,31.090000,32.590000,32.990000,32.020000,30.800000,30.290000,30.160000,28.580000,32.250000,29.500000,31.380000,30.090000,30.780000,27.040000,28.510000,23.230000,31.120000,30.680000,34.610000,28.890000,15.170000
2012,30.760000,30.780000,32.260000,30.420000,31.650000,32.010000,30.850000,30.100000,28.900000,29.260000,28.150000,31.410000,28.720000,30.740000,29.640000,29.890000,25.850000,27.330000,22.890000,30.730000,29.960000,33.520000,28.300000,16.000000
2013,30.100000,30.120000,31.570000,30.030000,30.940000,31.360000,29.980000,29.640000,27.980000,28.430000,27.610000,30.420000,27.840000,30.130000,29.270000,29.040000,25.050000,26.780000,22.560000,29.990000,29.470000,32.880000,27.360000,15.720000
2014,29.480000,29.490000,30.750000,29.300000,30.310000,30.720000,29.240000,29.150000,27.250000,28.080000,27.260000,29.800000,27.520000,29.720000,28.380000,28.550000,24.600000,26.440000,22.560000,29.200000,29.100000,32.030000,26.900000,15.110000
