年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,44.818364,44.856592,44.335031,45.613020,46.626562,48.902785,44.429518,44.987264,45.274390,43.341615,42.314465,45.718171,42.370130,44.919255,41.046263,41.985816,36.156682,39.069444,38.264368,39.507853,43.633907,46.057252,37.436620,27.111111
1999,43.963952,43.999779,43.380929,44.753019,46.036350,48.363392,43.583333,43.555267,44.023810,41.529595,41.442516,44.993954,42.120253,44.169043,39.747331,41.743590,34.497738,38.597222,37.397727,38.938992,42.547912,45.552581,37.013889,27.555556
2000,43.055525,43.103974,43.276479,43.716265,44.563830,47.187898,43.334545,42.237645,42.910920,41.291525,40.850816,44.872315,39.523962,42.705179,38.963768,41.136449,32.170404,37.285319,37.125000,37.994709,41.259804,44.734733,34.894737,21.583333
2001,41.706272,41.750504,42.026919,42.060176,43.267218,45.006231,42.311097,40.729540,40.260504,40.920690,39.929268,43.950178,38.183801,41.353909,41.069388,39.550193,30.990909,35.969444,34.840909,36.537234,40.876263,43.911243,34.144737,23.750000
2002,40.602807,40.648649,41.495726,40.653548,42.508591,43.327894,40.976612,39.776786,38.553719,40.884211,37.904988,43.119474,36.607477,40.417178,44.056769,38.393762,30.064516,34.683473,32.314607,35.436508,39.637500,42.426559,32.200000,25.416667
2003,40.332044,40.373487,41.095309,40.243734,43.094077,42.705591,40.209022,39.788694,37.980609,40.441860,37.481567,42.781287,36.319277,39.846154,45.088106,37.846881,30.630841,34.453521,30.659341,36.226316,39.903465,41.694845,32.893333,25.500000
2004,40.629155,40.669977,41.342418,40.454042,44.136017,43.351468,39.967378,40.223163,38.713499,41.621262,37.564626,42.569977,36.219941,39.358824,42.497835,38.414498,31.009302,34.941341,30.591398,37.895141,39.811005,41.603239,33.160000,26.000000
2005,40.861101,40.909671,41.741540,40.702572,44.664143,43.677721,39.840373,40.744063,39.000000,41.237342,37.778761,42.458515,35.974359,39.305284,43.327511,36.943363,32.037209,34.910811,30.489362,39.471033,40.451991,41.646939,31.266667,26.666667
2006,40.704061,40.751598,41.694701,40.800705,44.405954,43.535076,39.335192,40.510384,38.528090,41.590769,37.854031,42.193268,35.913649,38.498092,43.982906,36.785714,32.280374,35.037433,30.138298,39.220844,40.124424,40.883721,30.464789,28.166667
2007,40.584177,40.631135,41.883086,40.613916,44.880516,43.463649,38.696838,40.427320,38.185185,41.310241,37.850325,41.935135,36.066667,37.842301,43.228216,36.232759,33.144186,35.271277,30.425532,38.697044,40.383028,40.253333,30.088235,27.666667
2008,40.579906,40.619398,41.915839,40.335735,44.651852,43.403040,38.504348,40.607601,38.380403,41.477341,38.058315,42.185745,36.478022,37.809963,42.544355,36.922414,33.296296,35.319149,31.580645,38.582716,40.298643,40.242152,31.784615,27.416667
2009,40.688950,40.729753,42.181520,40.100689,45.000000,43.631117,38.537026,40.600264,38.521490,42.120120,38.440171,41.829242,36.826316,38.589354,40.876494,37.381443,33.168182,36.816216,31.806452,39.496296,39.871397,39.884701,31.803030,26.500000
2010,40.550266,40.590705,41.841182,39.949869,45.083603,43.458067,38.677379,40.335230,38.714286,41.705357,38.478903,41.901053,36.777215,37.899811,40.658730,37.322148,32.511416,36.767760,32.293478,38.673267,39.828261,39.852495,31.681818,26.166667
2011,40.514974,40.550561,41.861800,40.226872,44.849057,43.655928,38.961634,40.037248,38.612994,40.694524,38.875789,41.198964,36.234146,38.430451,39.161290,37.128120,32.074074,36.077562,31.554348,38.480100,39.743478,39.862366,32.424242,29.000000
2012,40.548524,40.585320,41.722754,40.286235,45.012308,43.893076,38.865479,40.222173,38.603933,40.737752,38.483122,41.620619,35.954436,38.343808,38.406504,36.563518,32.132075,35.476454,31.597826,37.337500,40.352052,40.480603,31.833333,30.333333
2013,39.961763,40.003888,40.876134,39.937905,44.158663,43.643603,38.544654,39.658967,38.227528,40.298817,36.968553,40.711042,35.775362,37.410584,38.070833,35.705107,30.708134,34.167598,31.010870,36.005277,40.120350,40.039301,30.000000,28.833333
2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
