年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,7.300000,7.400000,7.300000,5.500000,7.000000,8.800000,7.700000,7.000000,7.500000,5.800000,5.600000,9.600000,7.500000,8.000000,7.900000,8.000000,6.400000,6.300000,11.600000,6.200000,5.700000,-,-
1999,-,7.300000,6.800000,8.400000,4.300000,7.800000,9.700000,8.900000,8.100000,4.600000,5.200000,4.600000,8.100000,7.300000,7.700000,6.800000,9.300000,9.200000,3.600000,10.200000,5.000000,6.900000,-,-
2000,-,7.400000,6.600000,7.500000,4.500000,8.600000,9.200000,8.700000,6.400000,4.900000,5.900000,4.600000,9.400000,8.800000,7.000000,6.500000,8.000000,10.100000,7.200000,11.500000,5.500000,8.500000,-,13.900000
2001,-,10.400000,9.800000,10.800000,9.800000,10.700000,11.800000,11.200000,8.800000,7.800000,8.700000,10.000000,12.500000,11.100000,10.400000,11.400000,9.500000,11.400000,13.300000,10.300000,8.300000,9.000000,-,3.800000
2002,-,11.900000,11.400000,12.600000,11.200000,12.100000,12.200000,11.400000,10.400000,12.700000,11.700000,11.100000,13.600000,12.300000,14.500000,12.000000,13.800000,14.500000,9.800000,13.400000,10.400000,12.500000,18.200000,5.600000
2003,-,11.400000,11.600000,10.400000,10.300000,12.300000,12.000000,11.100000,10.600000,12.200000,8.900000,9.900000,13.100000,14.500000,14.300000,13.200000,11.100000,8.200000,10.800000,8.600000,11.000000,12.600000,14.900000,2.800000
2004,-,10.800000,10.500000,11.300000,7.700000,12.600000,11.100000,10.700000,11.600000,9.900000,9.300000,10.100000,11.400000,11.900000,13.400000,13.000000,12.200000,9.500000,12.300000,12.800000,9.900000,7.600000,9.700000,2.600000
2005,-,10.600000,9.100000,10.900000,9.900000,10.800000,10.800000,11.200000,10.900000,14.000000,8.200000,11.800000,11.500000,11.800000,13.000000,11.200000,9.100000,10.400000,12.300000,9.400000,9.600000,8.600000,9.600000,5.800000
2006,-,10.300000,9.100000,9.800000,9.400000,11.200000,8.800000,11.000000,10.400000,10.500000,9.800000,11.300000,10.400000,12.700000,11.600000,10.900000,9.400000,10.600000,15.200000,9.000000,12.600000,14.300000,15.900000,7.500000
2007,-,10.600000,9.000000,11.100000,9.400000,10.800000,10.700000,11.000000,10.300000,12.400000,10.400000,11.000000,12.500000,16.200000,9.700000,11.000000,10.800000,11.700000,17.000000,11.000000,8.900000,15.700000,14.400000,3.500000
2008,-,11.800000,11.400000,10.700000,12.100000,12.000000,12.600000,11.600000,10.000000,11.300000,11.300000,12.500000,11.300000,13.700000,10.900000,12.800000,11.400000,13.500000,12.600000,11.700000,10.200000,13.600000,13.300000,5.600000
2009,-,14.500000,13.700000,14.100000,14.200000,15.000000,15.400000,14.300000,14.800000,17.200000,15.700000,13.200000,13.600000,14.500000,17.500000,15.100000,13.900000,16.700000,16.600000,10.900000,14.800000,16.800000,7.600000,2.800000
2010,-,13.100000,11.200000,13.800000,12.800000,14.700000,14.900000,13.700000,11.200000,12.100000,11.700000,12.800000,13.200000,13.100000,13.300000,12.900000,14.900000,17.100000,11.700000,11.300000,10.000000,13.100000,12.000000,1.500000
2011,-,12.500000,11.400000,14.400000,12.300000,13.700000,12.100000,12.600000,7.500000,13.100000,12.600000,14.200000,11.500000,13.800000,12.200000,13.300000,6.700000,8.600000,15.300000,11.600000,10.100000,13.500000,7.200000,1.800000
2012,-,12.700000,11.700000,12.100000,12.900000,13.300000,13.100000,13.800000,10.300000,11.400000,10.300000,12.500000,14.000000,18.200000,13.700000,14.300000,8.000000,8.800000,16.500000,9.700000,10.700000,12.000000,3.800000,1.800000
2013,-,13.200000,9.900000,16.400000,12.200000,12.400000,14.400000,16.000000,10.200000,16.400000,11.200000,12.800000,16.000000,15.400000,13.200000,17.500000,11.800000,13.000000,16.700000,14.600000,8.500000,9.900000,10.300000,7.400000
2014,-,12.600000,10.500000,15.200000,9.500000,12.200000,13.900000,12.300000,9.300000,17.200000,12.000000,13.900000,19.100000,16.600000,15.600000,14.000000,10.100000,13.100000,22.500000,11.200000,11.100000,13.700000,3.500000,3.600000
