年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,44697.000000,44657.000000,5471.000000,3950.000000,4324.000000,1793.000000,2923.000000,6813.000000,614.000000,541.000000,1673.000000,3757.000000,348.000000,600.000000,673.000000,2711.000000,2663.000000,578.000000,586.000000,3267.000000,865.000000,507.000000,40.000000,-
1999,42580.000000,42538.000000,4815.000000,3702.000000,6696.000000,1650.000000,3003.000000,5896.000000,700.000000,554.000000,1088.000000,3457.000000,349.000000,416.000000,576.000000,4190.000000,566.000000,379.000000,528.000000,2747.000000,957.000000,269.000000,40.000000,2.000000
2000,41599.000000,41554.000000,5318.000000,5634.000000,7644.000000,1459.000000,2754.000000,5250.000000,510.000000,356.000000,1068.000000,2539.000000,528.000000,411.000000,473.000000,2749.000000,260.000000,262.000000,557.000000,3178.000000,451.000000,153.000000,40.000000,5.000000
2001,39229.000000,39185.000000,5317.000000,3571.000000,6978.000000,1882.000000,2530.000000,5711.000000,604.000000,356.000000,584.000000,2126.000000,548.000000,601.000000,369.000000,2511.000000,480.000000,197.000000,481.000000,3669.000000,467.000000,203.000000,39.000000,5.000000
2002,39335.000000,39249.000000,6216.000000,3349.000000,3805.000000,1619.000000,2359.000000,8206.000000,890.000000,469.000000,590.000000,2065.000000,725.000000,566.000000,313.000000,2140.000000,476.000000,258.000000,417.000000,3924.000000,616.000000,246.000000,81.000000,5.000000
2003,35257.000000,35168.000000,6308.000000,2314.000000,3605.000000,1913.000000,2636.000000,5288.000000,850.000000,385.000000,539.000000,1818.000000,1045.000000,634.000000,315.000000,1422.000000,484.000000,252.000000,404.000000,4036.000000,596.000000,324.000000,74.000000,15.000000
2004,36134.000000,36027.000000,5459.000000,1727.000000,3586.000000,1942.000000,2890.000000,4952.000000,866.000000,455.000000,592.000000,1631.000000,1047.000000,626.000000,240.000000,1429.000000,526.000000,349.000000,425.000000,6554.000000,398.000000,333.000000,95.000000,12.000000
2005,33960.000000,33866.000000,5361.000000,1262.000000,1965.000000,2483.000000,3133.000000,4802.000000,826.000000,487.000000,520.000000,1613.000000,1026.000000,782.000000,266.000000,1535.000000,626.000000,390.000000,539.000000,5567.000000,306.000000,377.000000,81.000000,13.000000
2006,37094.000000,37017.000000,6097.000000,1775.000000,2458.000000,2521.000000,4177.000000,4611.000000,925.000000,283.000000,558.000000,1550.000000,995.000000,744.000000,145.000000,1450.000000,652.000000,149.000000,1013.000000,5859.000000,554.000000,501.000000,61.000000,16.000000
2007,46666.000000,46593.000000,5888.000000,4947.000000,2598.000000,3500.000000,4368.000000,7167.000000,860.000000,286.000000,556.000000,3501.000000,1423.000000,1611.000000,320.000000,1280.000000,712.000000,313.000000,555.000000,5777.000000,272.000000,659.000000,63.000000,10.000000
2008,48074.000000,48000.000000,6078.000000,4063.000000,3064.000000,3758.000000,4621.000000,7070.000000,886.000000,354.000000,480.000000,3471.000000,1388.000000,1831.000000,350.000000,1034.000000,694.000000,220.000000,685.000000,6974.000000,297.000000,682.000000,61.000000,13.000000
2009,44129.000000,44045.000000,6851.000000,3766.000000,3735.000000,4097.000000,3862.000000,4633.000000,758.000000,306.000000,691.000000,2841.000000,859.000000,828.000000,134.000000,609.000000,574.000000,78.000000,859.000000,7614.000000,291.000000,659.000000,73.000000,11.000000
2010,47863.000000,47746.000000,7962.000000,4871.000000,4663.000000,3731.000000,3710.000000,5751.000000,851.000000,261.000000,697.000000,2289.000000,1132.000000,1414.000000,117.000000,581.000000,303.000000,169.000000,1016.000000,7198.000000,357.000000,673.000000,100.000000,17.000000
2011,45418.000000,45306.000000,4870.000000,4560.000000,4598.000000,4428.000000,4524.000000,6481.000000,912.000000,314.000000,1357.000000,2388.000000,1199.000000,1201.000000,115.000000,511.000000,178.000000,287.000000,1039.000000,5421.000000,247.000000,676.000000,103.000000,9.000000
2012,46978.000000,46866.000000,3501.000000,5279.000000,5154.000000,4280.000000,4668.000000,6271.000000,1069.000000,305.000000,3222.000000,3336.000000,1280.000000,1201.000000,159.000000,466.000000,169.000000,220.000000,992.000000,4019.000000,469.000000,806.000000,104.000000,8.000000
2013,40961.000000,40818.000000,2934.000000,4344.000000,4321.000000,3585.000000,3820.000000,5122.000000,963.000000,312.000000,3198.000000,2716.000000,1170.000000,1275.000000,150.000000,219.000000,180.000000,308.000000,1078.000000,3832.000000,496.000000,795.000000,133.000000,10.000000
2014,42232.000000,42152.000000,2979.000000,4226.000000,4596.000000,3507.000000,3811.000000,5081.000000,1012.000000,358.000000,3815.000000,2601.000000,1072.000000,1384.000000,138.000000,170.000000,147.000000,273.000000,1230.000000,4281.000000,621.000000,850.000000,64.000000,16.000000
