年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,108568.000000,108417.000000,13118.000000,15196.000000,7030.000000,10767.000000,8090.000000,12543.000000,2108.000000,2825.000000,3673.000000,5501.000000,3206.000000,3020.000000,2926.000000,3393.000000,1766.000000,2177.000000,629.000000,3004.000000,1763.000000,2140.000000,151.000000,-
1999,125260.000000,125014.000000,13381.000000,19162.000000,7228.000000,11598.000000,9370.000000,14870.000000,2409.000000,2983.000000,3957.000000,6975.000000,3559.000000,2970.000000,3380.000000,4115.000000,1625.000000,2513.000000,576.000000,3822.000000,2351.000000,2117.000000,245.000000,1.000000
2000,130634.000000,130399.000000,12088.000000,20862.000000,8166.000000,9672.000000,9096.000000,15862.000000,2918.000000,2847.000000,4288.000000,8307.000000,3509.000000,3004.000000,3798.000000,3867.000000,1664.000000,2805.000000,474.000000,3139.000000,1952.000000,1963.000000,208.000000,27.000000
2001,135284.000000,134959.000000,11199.000000,22256.000000,9855.000000,10708.000000,10096.000000,14137.000000,2791.000000,2395.000000,4401.000000,7706.000000,3966.000000,3282.000000,4472.000000,5052.000000,1353.000000,2733.000000,796.000000,2975.000000,2321.000000,2176.000000,290.000000,35.000000
2002,141516.000000,141083.000000,12843.000000,21275.000000,8943.000000,13879.000000,9417.000000,17776.000000,3244.000000,2579.000000,3696.000000,7780.000000,4179.000000,3917.000000,4056.000000,5530.000000,1693.000000,2760.000000,742.000000,2330.000000,2890.000000,2313.000000,364.000000,69.000000
2003,122522.000000,122157.000000,9125.000000,18655.000000,7646.000000,13683.000000,9080.000000,17511.000000,2657.000000,2071.000000,3231.000000,6937.000000,3838.000000,3358.000000,3460.000000,4247.000000,997.000000,1885.000000,518.000000,2339.000000,1801.000000,2484.000000,342.000000,23.000000
2004,143677.000000,143191.000000,10386.000000,20623.000000,8654.000000,16772.000000,8985.000000,20779.000000,3154.000000,2378.000000,3977.000000,10015.000000,4258.000000,3942.000000,3191.000000,5274.000000,1238.000000,2633.000000,635.000000,3962.000000,2647.000000,2701.000000,460.000000,26.000000
2005,174133.000000,173736.000000,14709.000000,23182.000000,12083.000000,20024.000000,10901.000000,25911.000000,3951.000000,3007.000000,4466.000000,13180.000000,4525.000000,4671.000000,3478.000000,5613.000000,1543.000000,3731.000000,659.000000,4349.000000,3326.000000,2784.000000,358.000000,39.000000
2006,193858.000000,193496.000000,23956.000000,26341.000000,13637.000000,21598.000000,14029.000000,26851.000000,3511.000000,3188.000000,4764.000000,12450.000000,5191.000000,4482.000000,4391.000000,5475.000000,1238.000000,3659.000000,626.000000,3668.000000,3240.000000,3136.000000,341.000000,21.000000
2007,227043.000000,226700.000000,35586.000000,27048.000000,18108.000000,24834.000000,15518.000000,30521.000000,4264.000000,4045.000000,4588.000000,13176.000000,6070.000000,4838.000000,4913.000000,6777.000000,1319.000000,4657.000000,710.000000,4241.000000,3584.000000,3518.000000,334.000000,9.000000
2008,233030.000000,232602.000000,42608.000000,26600.000000,18736.000000,21306.000000,15793.000000,29911.000000,4269.000000,4714.000000,5318.000000,13149.000000,5699.000000,5618.000000,5066.000000,8670.000000,1188.000000,4945.000000,653.000000,4050.000000,3811.000000,2954.000000,410.000000,18.000000
2009,225530.000000,224897.000000,45378.000000,27407.000000,17979.000000,16275.000000,14509.000000,28793.000000,3929.000000,4545.000000,4147.000000,12267.000000,5250.000000,5054.000000,5113.000000,8630.000000,1274.000000,4843.000000,803.000000,3528.000000,3931.000000,3301.000000,604.000000,29.000000
2010,232553.000000,232034.000000,45570.000000,26416.000000,16515.000000,17028.000000,16379.000000,31571.000000,4137.000000,4804.000000,4281.000000,13092.000000,5112.000000,5539.000000,5189.000000,10340.000000,1025.000000,4776.000000,1164.000000,4285.000000,4013.000000,3472.000000,458.000000,61.000000
2011,220106.000000,219625.000000,43490.000000,26138.000000,14579.000000,16233.000000,14227.000000,30538.000000,4299.000000,4683.000000,4409.000000,11766.000000,4741.000000,5647.000000,5001.000000,8612.000000,1156.000000,3860.000000,891.000000,4498.000000,4280.000000,3190.000000,437.000000,44.000000
2012,218066.000000,217514.000000,41855.000000,25891.000000,12520.000000,18250.000000,15757.000000,29679.000000,4418.000000,4813.000000,5300.000000,11370.000000,4409.000000,5305.000000,4923.000000,7471.000000,1629.000000,3683.000000,747.000000,4535.000000,4317.000000,3180.000000,497.000000,55.000000
2013,216194.000000,215581.000000,33538.000000,29496.000000,12851.000000,18721.000000,16906.000000,26205.000000,4357.000000,4223.000000,6005.000000,11082.000000,4473.000000,6802.000000,5058.000000,7948.000000,2912.000000,4457.000000,767.000000,4464.000000,4036.000000,3093.000000,576.000000,37.000000
2014,224638.000000,223805.000000,27953.000000,31029.000000,13052.000000,19760.000000,17976.000000,28591.000000,4554.000000,4522.000000,6230.000000,12340.000000,4428.000000,7096.000000,5535.000000,8220.000000,2931.000000,5069.000000,1069.000000,5514.000000,5113.000000,2854.000000,717.000000,116.000000
