年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,58.970000,59.100000,52.640000,63.150000,58.430000,58.030000,70.400000,81.040000,41.620000,48.020000,36.780000,37.550000,59.130000,27.850000,32.640000,43.740000,95.840000,79.480000,16.610000,76.950000,81.070000,100.400000,11.750000,-
1999,51.620000,51.730000,47.510000,52.980000,48.110000,48.630000,63.820000,77.990000,30.950000,40.620000,37.150000,32.140000,36.880000,25.820000,35.090000,41.990000,63.090000,54.750000,16.810000,66.470000,85.770000,64.370000,13.620000,-
2000,46.460000,46.530000,45.970000,34.150000,43.810000,46.620000,41.370000,87.420000,40.420000,41.210000,34.660000,30.040000,34.450000,25.910000,24.360000,34.790000,55.160000,45.680000,14.570000,55.840000,65.170000,59.480000,20.840000,-
2001,64.130000,64.270000,57.370000,37.800000,61.110000,88.030000,51.590000,125.680000,39.740000,36.790000,44.450000,49.150000,56.680000,31.610000,29.320000,59.330000,47.350000,54.330000,23.110000,78.780000,74.690000,75.630000,16.250000,-
2002,66.310000,66.450000,62.280000,43.820000,72.280000,75.600000,52.690000,118.700000,55.270000,39.380000,41.730000,54.670000,61.120000,44.540000,33.580000,69.070000,48.300000,49.910000,37.900000,82.560000,91.740000,67.180000,20.710000,-
2003,57.470000,57.590000,54.280000,41.680000,67.830000,65.500000,50.470000,91.660000,45.720000,38.380000,37.980000,53.560000,47.520000,40.050000,26.900000,62.430000,39.850000,36.970000,33.570000,76.050000,53.300000,65.490000,13.340000,34.150000
2004,56.100000,56.270000,59.560000,43.740000,59.860000,84.910000,51.170000,78.390000,29.390000,37.780000,31.030000,37.440000,49.870000,30.330000,21.280000,64.410000,33.940000,38.840000,31.510000,53.790000,47.020000,58.160000,1.590000,11.010000
2005,62.920000,63.110000,67.210000,31.340000,79.550000,105.310000,55.650000,90.750000,27.060000,41.270000,40.690000,49.840000,39.610000,34.960000,22.960000,64.500000,42.980000,44.800000,19.530000,50.250000,53.240000,64.200000,8.910000,-
2006,53.570000,53.740000,50.590000,32.660000,74.110000,77.730000,46.060000,83.860000,33.190000,39.780000,26.430000,36.640000,35.990000,26.540000,22.860000,64.070000,34.950000,41.580000,17.370000,38.600000,51.180000,70.580000,8.180000,-
2007,41.600000,41.740000,50.120000,25.890000,43.730000,50.360000,41.640000,63.600000,28.890000,37.210000,23.750000,26.240000,29.750000,27.510000,19.000000,50.700000,18.740000,32.530000,16.290000,33.800000,35.020000,35.930000,7.590000,-
2008,35.290000,35.380000,40.990000,24.790000,34.930000,37.550000,32.170000,60.360000,19.750000,34.230000,25.700000,21.540000,27.590000,22.080000,19.450000,39.560000,28.360000,27.750000,9.690000,28.740000,31.080000,23.770000,15.650000,10.150000
2009,29.310000,29.350000,32.150000,22.710000,31.900000,24.490000,28.330000,55.740000,16.690000,29.380000,12.120000,15.850000,19.950000,16.450000,18.240000,39.490000,19.810000,26.380000,12.660000,19.300000,18.610000,24.470000,20.180000,10.170000
2010,22.950000,23.030000,24.910000,20.130000,24.320000,16.310000,24.810000,39.640000,13.230000,27.930000,8.910000,14.120000,16.270000,13.880000,15.220000,31.430000,18.570000,25.010000,2.070000,21.750000,16.690000,18.310000,7.320000,10.070000
2011,18.070000,18.110000,21.530000,16.470000,15.590000,12.870000,19.620000,29.990000,8.480000,19.410000,11.040000,9.350000,15.440000,9.080000,14.430000,23.590000,16.560000,15.690000,9.270000,21.460000,13.650000,13.240000,9.940000,-
2012,14.870000,14.900000,21.130000,14.310000,10.540000,11.810000,17.510000,14.730000,13.080000,11.330000,10.480000,10.450000,22.240000,7.720000,11.940000,13.700000,6.600000,16.370000,17.350000,26.150000,17.990000,12.530000,10.140000,-
2013,10.820000,10.830000,10.460000,12.910000,8.390000,7.430000,14.290000,9.930000,14.610000,9.100000,7.790000,8.860000,17.540000,6.200000,12.040000,6.900000,11.080000,17.930000,5.020000,22.870000,17.810000,10.700000,6.840000,25.560000
2014,9.780000,9.800000,8.560000,13.880000,5.750000,5.750000,16.670000,8.170000,15.480000,6.740000,7.770000,9.430000,15.510000,7.930000,11.570000,4.350000,2.230000,17.980000,2.970000,16.850000,17.660000,9.970000,5.640000,16.210000
