年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,9225.000000,9219.000000,1239.000000,1096.000000,613.000000,950.000000,948.000000,1469.000000,164.000000,220.000000,168.000000,332.000000,238.000000,162.000000,122.000000,288.000000,225.000000,202.000000,19.000000,243.000000,237.000000,217.000000,6.000000,-
1999,8922.000000,8915.000000,1104.000000,951.000000,638.000000,951.000000,1027.000000,1477.000000,121.000000,228.000000,160.000000,392.000000,149.000000,156.000000,171.000000,268.000000,154.000000,169.000000,16.000000,258.000000,215.000000,146.000000,7.000000,-
2000,6834.000000,6824.000000,941.000000,643.000000,454.000000,666.000000,527.000000,1286.000000,154.000000,157.000000,172.000000,309.000000,142.000000,177.000000,119.000000,214.000000,125.000000,145.000000,14.000000,200.000000,182.000000,107.000000,10.000000,-
2001,8584.000000,8576.000000,1327.000000,699.000000,771.000000,906.000000,713.000000,1224.000000,144.000000,148.000000,200.000000,512.000000,229.000000,180.000000,156.000000,351.000000,113.000000,161.000000,19.000000,303.000000,228.000000,128.000000,8.000000,-
2002,10145.000000,10134.000000,1382.000000,803.000000,962.000000,1196.000000,720.000000,1702.000000,212.000000,164.000000,203.000000,564.000000,269.000000,279.000000,176.000000,402.000000,133.000000,156.000000,37.000000,293.000000,294.000000,136.000000,11.000000,-
2003,9277.000000,9268.000000,1321.000000,768.000000,905.000000,1083.000000,718.000000,1447.000000,186.000000,173.000000,184.000000,567.000000,252.000000,237.000000,164.000000,404.000000,102.000000,130.000000,31.000000,259.000000,158.000000,147.000000,8.000000,1.000000
2004,7924.000000,7923.000000,1083.000000,745.000000,743.000000,997.000000,570.000000,1281.000000,134.000000,139.000000,174.000000,364.000000,251.000000,177.000000,128.000000,382.000000,79.000000,123.000000,28.000000,235.000000,141.000000,119.000000,1.000000,-
2005,8477.000000,8471.000000,1244.000000,619.000000,739.000000,1230.000000,658.000000,1504.000000,109.000000,134.000000,203.000000,520.000000,178.000000,190.000000,100.000000,318.000000,90.000000,132.000000,17.000000,172.000000,161.000000,120.000000,6.000000,-
2006,7902.000000,7898.000000,1187.000000,635.000000,943.000000,967.000000,502.000000,1301.000000,137.000000,122.000000,136.000000,431.000000,171.000000,150.000000,115.000000,359.000000,76.000000,144.000000,16.000000,149.000000,148.000000,173.000000,4.000000,-
2007,7154.000000,7147.000000,1419.000000,567.000000,708.000000,921.000000,473.000000,1105.000000,128.000000,150.000000,114.000000,294.000000,153.000000,173.000000,87.000000,358.000000,45.000000,93.000000,15.000000,124.000000,126.000000,81.000000,7.000000,-
2008,6493.000000,6482.000000,1231.000000,581.000000,637.000000,731.000000,451.000000,1056.000000,85.000000,149.000000,138.000000,265.000000,131.000000,151.000000,102.000000,280.000000,65.000000,102.000000,9.000000,97.000000,128.000000,68.000000,10.000000,1.000000
2009,5726.000000,5707.000000,1096.000000,561.000000,528.000000,570.000000,436.000000,1064.000000,71.000000,122.000000,71.000000,215.000000,112.000000,112.000000,97.000000,251.000000,44.000000,84.000000,14.000000,73.000000,84.000000,80.000000,18.000000,1.000000
2010,4684.000000,4677.000000,873.000000,482.000000,433.000000,390.000000,358.000000,809.000000,62.000000,159.000000,44.000000,190.000000,82.000000,92.000000,85.000000,266.000000,36.000000,82.000000,2.000000,85.000000,68.000000,66.000000,6.000000,1.000000
2011,3943.000000,3932.000000,810.000000,443.000000,292.000000,332.000000,303.000000,746.000000,38.000000,99.000000,57.000000,119.000000,70.000000,59.000000,79.000000,193.000000,38.000000,54.000000,8.000000,83.000000,54.000000,36.000000,11.000000,-
2012,3355.000000,3344.000000,798.000000,423.000000,191.000000,310.000000,315.000000,360.000000,55.000000,65.000000,51.000000,129.000000,109.000000,54.000000,70.000000,119.000000,16.000000,56.000000,17.000000,91.000000,76.000000,30.000000,11.000000,-
2013,2456.000000,2445.000000,423.000000,347.000000,155.000000,192.000000,254.000000,266.000000,62.000000,46.000000,49.000000,112.000000,85.000000,40.000000,59.000000,55.000000,26.000000,60.000000,5.000000,91.000000,76.000000,25.000000,8.000000,3.000000
2014,2234.000000,2226.000000,338.000000,375.000000,109.000000,150.000000,304.000000,210.000000,62.000000,37.000000,41.000000,123.000000,79.000000,52.000000,60.000000,32.000000,7.000000,59.000000,3.000000,64.000000,77.000000,31.000000,7.000000,1.000000
