年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,362.150000,1.500000,-,-,0.690000,-,12.360000,-,103.350000,26.650000,-,11.780000,-,25.290000,128.320000,-,52.210000,-,-,-,-,-,-
1999,-,291.210000,-,-,-,-,0.950000,9.150000,-,37.280000,28.220000,-,26.850000,-,17.450000,120.400000,36.010000,14.900000,-,-,-,-,-,-
2000,-,526.460000,-,-,-,-,-,-,-,40.430000,22.670000,-,36.260000,-,7.160000,100.500000,-,319.440000,-,-,-,-,-,-
2001,-,222.390000,-,-,-,-,-,1.140000,-,11.350000,50.270000,-,17.340000,-,6.350000,128.040000,4.670000,3.230000,-,-,-,-,-,-
2002,-,196.930000,-,-,-,-,4.060000,-,-,6.920000,42.830000,-,9.110000,-,1.280000,82.970000,34.040000,15.720000,-,-,-,-,-,-
2003,-,381.340000,-,-,-,-,-,-,-,34.000000,76.680000,-,25.610000,-,6.750000,43.210000,190.310000,3.510000,-,-,1.270000,-,-,-
2004,-,424.050000,-,-,-,-,-,-,-,4.900000,114.770000,-,29.380000,-,10.990000,37.110000,222.750000,3.410000,-,-,0.740000,-,-,-
2005,-,262.770000,-,-,-,-,-,-,-,17.720000,69.770000,-,21.980000,0.200000,-,25.720000,124.490000,2.890000,-,-,-,-,-,-
2006,-,384.560000,-,-,-,-,-,-,-,20.930000,133.940000,-,16.590000,-,-,41.030000,171.720000,0.350000,-,-,-,-,-,-
2007,-,181.900000,-,-,-,-,-,-,-,26.930000,73.230000,-,15.160000,-,0.500000,17.620000,48.140000,0.320000,-,-,-,-,-,-
2008,-,103.250000,-,-,-,-,-,-,-,32.470000,2.150000,-,1.100000,0.280000,-,11.760000,51.820000,-,-,-,3.670000,-,-,-
2009,-,78.960000,1.850000,-,-,1.800000,0.410000,2.300000,-,39.460000,6.620000,-,7.790000,3.880000,1.460000,5.140000,3.360000,3.370000,-,-,1.520000,-,-,-
2010,80.880000,80.880000,1.800000,-,-,-,-,-,-,53.310000,2.830000,-,12.570000,-,-,5.590000,-,3.500000,-,-,1.280000,-,-,-
2011,95.530000,95.530000,-,-,-,0.830000,-,-,-,64.370000,11.800000,-,4.180000,-,1.210000,5.410000,3.200000,-,-,-,4.530000,-,-,-
2012,102.220000,102.220000,-,-,-,-,-,-,-,60.310000,29.320000,-,0.290000,-,12.300000,-,-,-,-,-,-,-,-,-
2013,85.180000,85.180000,-,-,-,-,-,-,-,26.980000,39.540000,-,3.490000,-,7.280000,-,6.940000,-,-,-,0.950000,-,-,-
2014,78.050000,78.050000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.290000,17.350000,0.000000,0.000000,0.000000,13.070000,0.000000,3.040000,0.000000,0.000000,0.000000,1.900000,0.000000,0.000000,0.000000
