年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,25.001000,25.001000,-,-,-,-,-,-,-,-,0.799000,-,-,-,-,-,-,-,-,-,24.195000,0.006000,-,-
1999,11.501000,11.501000,-,-,-,-,-,-,-,-,1.060000,-,-,-,-,-,-,-,-,-,10.403000,0.038000,-,-
2000,6.261000,6.261000,-,-,-,-,-,-,-,-,0.261000,-,-,-,-,-,-,-,-,-,6.000000,-,-,-
2001,2.649000,2.649000,-,-,-,-,-,-,-,-,0.381000,-,-,-,-,-,-,-,-,-,2.238000,0.029000,-,-
2002,1.764000,1.764000,-,-,-,-,-,-,-,-,0.727000,-,-,-,-,-,-,-,-,-,1.036000,-,-,-
2003,2.718000,2.718000,-,-,-,-,-,-,-,-,0.316000,-,-,-,-,-,-,-,-,-,2.402000,-,-,-
2004,83.130000,83.130000,-,-,-,-,-,80.142000,-,-,0.655000,-,-,-,-,-,-,-,-,-,2.332000,-,-,-
2005,202.966000,202.966000,-,-,-,-,-,200.340000,-,-,0.293000,-,-,-,-,-,-,-,-,-,2.332000,-,-,-
2006,91.062000,91.062000,-,-,-,-,-,89.257000,-,-,0.757000,-,-,-,-,-,-,-,-,-,1.047000,-,-,-
2007,22.469000,22.469000,-,-,-,-,-,21.263000,-,-,0.420000,-,-,-,-,-,-,-,-,-,0.785000,-,-,-
2008,8.846000,8.846000,-,-,-,-,-,7.833000,-,-,-,-,-,-,-,-,-,-,-,-,1.012000,-,-,-
2009,18.709000,18.709000,-,-,-,-,-,18.514000,-,-,-,-,-,-,-,-,-,-,-,-,0.194000,-,-,-
2010,0.093000,0.093000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.093000,-,-,-
2011,7.482000,7.482000,7.438000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.044000,-,-,-
2012,6.516000,6.516000,6.455000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.060000,-,-,-
2013,5.737000,5.737000,5.737000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,3.708000,3.708000,3.708000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
