年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,332116.104000,331783.411000,31230.772000,123796.241000,15507.784000,23534.018000,19965.770000,44712.381000,4736.986000,4807.002000,5552.414000,10621.155000,5115.705000,6991.378000,5076.424000,7701.554000,3848.899000,4404.580000,1582.619000,4012.821000,5311.374000,3273.524000,288.838000,43.854000
1999,342427.714000,342051.679000,29884.868000,122151.025000,16661.328000,23547.709000,18870.987000,50202.161000,5249.122000,5478.280000,6075.253000,10654.111000,6326.177000,7049.807000,6975.660000,8233.361000,4227.198000,4699.416000,2282.808000,4313.834000,5496.668000,3671.895000,320.255000,55.779000
2000,495632.817000,493601.796000,47509.637000,161288.938000,26103.910000,35666.314000,27677.361000,68008.442000,7539.089000,7665.470000,9509.283000,17394.325000,9295.293000,12260.906000,10608.145000,14784.497000,6205.370000,8973.747000,3165.310000,6852.409000,8046.505000,5046.836000,1641.619000,389.401000
2001,295442.695000,294531.717000,23948.078000,93677.033000,13455.987000,24385.222000,17976.644000,43694.768000,4728.021000,4343.561000,5721.153000,10989.321000,5716.705000,7196.718000,5798.446000,8966.952000,3402.394000,4840.398000,1748.206000,4719.535000,5460.631000,3761.932000,689.214000,221.763000
2002,318562.401000,316961.363000,27092.258000,94065.536000,16426.390000,26981.882000,20025.006000,47264.220000,4789.289000,5669.187000,6018.193000,12027.835000,10068.773000,6820.615000,6575.789000,9048.530000,3234.365000,4229.348000,1632.537000,5518.765000,5506.866000,3965.973000,1289.694000,311.342000
2003,329419.315000,327627.475000,34495.619000,96841.123000,18378.670000,30420.915000,21270.285000,48602.958000,4852.531000,4882.580000,5606.889000,11609.429000,5527.729000,7224.632000,5469.087000,8369.934000,3176.680000,4035.608000,1461.571000,5010.369000,6226.098000,4164.756000,1470.038000,321.801000
2004,363734.369000,362026.421000,36596.252000,109633.603000,22565.607000,32735.783000,23968.107000,52635.821000,4859.011000,5685.975000,6527.353000,12524.899000,6308.945000,7224.885000,5507.982000,8861.811000,3158.865000,4259.592000,1425.804000,5451.290000,7459.397000,4635.428000,1394.087000,313.860000
2005,388204.888000,385999.899000,39344.453000,118516.714000,22912.041000,35147.295000,25883.161000,56009.491000,5409.139000,6009.290000,6952.925000,13491.390000,6245.421000,7645.975000,7128.422000,8440.189000,3333.337000,4711.015000,1509.699000,5581.214000,7078.007000,4650.712000,1879.145000,325.844000
2006,390570.302000,388395.231000,38526.418000,118502.352000,22896.567000,35425.975000,24791.145000,56592.601000,5377.827000,5782.255000,6958.529000,13743.883000,5882.982000,8240.703000,8504.217000,9604.802000,3383.176000,4640.725000,1550.754000,6127.943000,7454.265000,4408.101000,1853.044000,322.027000
2007,411205.328000,408655.572000,40848.147000,125033.586000,22022.007000,37256.656000,23951.279000,59101.161000,5523.970000,6419.889000,7558.860000,13958.474000,12224.238000,8710.365000,7487.116000,9974.815000,3816.322000,4747.102000,1753.085000,6204.956000,7937.404000,4126.130000,2115.198000,434.557000
2008,393000.011000,390340.191000,60505.685000,102443.338000,22264.240000,36889.365000,24145.090000,46674.341000,5558.575000,6577.016000,7045.900000,14105.885000,8847.176000,8941.400000,7152.287000,9996.411000,3962.893000,5099.001000,1876.101000,5894.971000,7870.691000,4489.817000,2221.936000,437.883000
2009,366147.685000,363849.328000,53931.405000,96242.940000,21454.540000,34223.689000,23316.382000,43048.085000,5349.848000,5916.038000,6238.231000,12629.972000,10518.103000,8580.960000,7793.580000,8419.838000,3191.113000,4297.358000,1520.018000,5270.103000,7543.635000,4363.481000,1952.109000,346.247000
2010,397703.277000,395298.540000,59183.400000,110399.947000,26132.110000,38041.168000,23926.738000,45782.098000,5827.957000,6921.914000,7271.575000,13053.502000,6664.821000,8753.017000,5993.361000,9109.556000,3508.097000,4524.990000,1586.168000,5777.869000,8408.800000,4431.441000,2059.348000,345.388000
2011,448881.945000,446315.688000,71523.425000,99754.811000,31735.777000,52258.051000,34815.592000,54397.368000,6997.912000,8862.619000,7743.208000,14379.200000,7317.939000,9300.830000,7289.496000,10031.296000,3682.257000,5138.360000,1660.360000,5886.696000,9046.343000,4494.137000,2211.367000,354.889000
2012,471551.423000,468707.846000,76596.889000,101988.831000,34467.551000,56475.854000,36492.595000,55730.306000,6443.190000,8482.568000,7848.761000,15462.305000,7510.054000,9595.446000,8048.240000,10793.270000,4038.367000,5349.596000,2064.653000,6681.240000,9908.092000,4730.027000,2277.161000,566.415000
2013,510455.572000,507786.866000,86171.181000,105776.206000,38173.160000,61612.862000,37916.902000,62647.232000,8409.159000,9435.322000,7606.385000,15773.222000,10596.316000,10651.098000,7775.530000,10997.192000,4574.670000,5576.765000,1929.020000,6813.924000,10128.969000,5221.744000,2257.282000,411.423000
2014,526538.151000,523747.367000,88221.727000,112407.759000,38782.611000,64477.196000,40382.767000,62080.575000,7674.964000,9709.255000,8700.012000,16298.765000,9926.037000,11184.190000,7963.522000,11824.537000,4231.025000,6284.156000,2109.152000,6729.728000,9850.281000,4909.097000,2381.583000,409.200000
