年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,39351.207000,38974.150000,2040.837000,26087.225000,1609.724000,1145.885000,1347.888000,2221.985000,13.967000,685.956000,96.858000,405.178000,140.593000,665.377000,545.034000,350.898000,150.867000,190.811000,258.743000,392.902000,368.099000,255.314000,354.685000,22.371000
1999,23902.277000,23714.264000,2958.047000,10539.733000,1585.241000,500.390000,2537.248000,1053.654000,154.826000,262.340000,124.136000,222.172000,71.896000,888.509000,534.193000,27.207000,617.209000,229.442000,152.056000,619.748000,297.320000,338.887000,175.594000,12.418000
2000,23278.379000,21782.957000,1225.076000,11718.538000,1890.883000,772.930000,879.929000,2434.105000,80.512000,493.219000,165.946000,267.618000,137.999000,120.945000,75.108000,41.051000,114.332000,220.434000,320.971000,415.294000,319.868000,88.188000,1459.629000,35.792000
2001,21992.561000,21222.665000,4132.607000,7936.544000,179.845000,944.306000,3221.060000,1575.699000,25.258000,141.049000,140.219000,80.843000,104.255000,2133.214000,46.550000,18.108000,26.184000,57.901000,110.790000,128.033000,146.979000,73.211000,750.371000,19.524000
2002,10922.071000,10731.919000,365.826000,6063.170000,465.893000,500.787000,264.584000,1228.528000,216.688000,349.289000,170.234000,76.107000,62.734000,167.657000,43.349000,61.551000,94.443000,58.453000,142.232000,227.500000,107.803000,65.083000,176.643000,13.507000
2003,12455.392000,12283.227000,324.153000,7012.967000,314.113000,352.315000,222.433000,1394.452000,131.414000,488.038000,266.920000,121.315000,27.860000,475.566000,354.397000,77.620000,69.497000,73.469000,158.380000,183.695000,164.197000,70.416000,120.113000,52.051000
2004,12910.370000,12743.171000,881.884000,4920.767000,891.731000,563.272000,361.314000,1215.695000,179.945000,1082.815000,148.338000,69.471000,116.294000,733.456000,243.370000,39.276000,21.704000,119.767000,199.936000,325.411000,458.772000,169.943000,106.219000,60.979000
2005,14400.762000,14243.975000,1274.570000,2878.163000,746.353000,675.387000,608.769000,3344.921000,1083.891000,875.460000,53.667000,89.625000,30.799000,1295.221000,233.336000,143.728000,67.142000,67.201000,325.782000,118.911000,207.681000,123.358000,146.207000,10.579000
2006,11388.930000,10996.955000,1047.931000,3136.583000,147.215000,936.109000,559.807000,2108.004000,45.134000,483.079000,156.992000,86.085000,110.877000,501.417000,186.477000,80.776000,25.472000,196.262000,451.081000,364.163000,145.890000,227.594000,378.257000,13.718000
2007,12468.378000,12228.663000,410.164000,3676.082000,74.693000,1404.706000,1534.097000,732.317000,103.399000,1943.876000,194.339000,55.530000,54.069000,218.585000,137.320000,233.425000,25.240000,349.917000,268.397000,580.845000,145.069000,86.584000,226.489000,13.224000
2008,13999.284000,13662.267000,1063.553000,5181.157000,225.989000,1336.945000,769.600000,2130.252000,19.640000,1217.360000,110.047000,82.816000,96.926000,46.505000,107.724000,311.114000,19.221000,179.191000,247.763000,286.574000,117.858000,112.022000,317.047000,19.970000
2009,15578.050000,15217.400000,978.746000,3720.347000,997.111000,2691.084000,1304.661000,1999.395000,102.165000,1780.706000,34.674000,59.833000,31.553000,265.647000,167.670000,75.174000,26.681000,110.908000,204.190000,325.353000,226.281000,115.210000,346.225000,14.424000
2010,14976.866000,14666.691000,1379.576000,4727.025000,442.136000,1592.627000,1261.184000,2794.955000,39.650000,97.034000,212.488000,71.719000,41.820000,23.442000,159.661000,383.539000,49.094000,153.406000,384.517000,288.272000,280.223000,284.314000,301.680000,8.493000
2011,14544.724000,14397.571000,781.651000,3369.025000,441.856000,1287.466000,670.291000,2570.374000,95.128000,2487.971000,228.903000,102.320000,25.591000,3.217000,133.817000,1239.020000,84.041000,92.412000,212.745000,340.231000,104.178000,127.326000,138.458000,8.693000
2012,24674.118000,24551.057000,3541.880000,3643.013000,508.095000,1851.554000,5819.661000,4116.179000,1554.313000,402.573000,308.946000,103.952000,33.853000,99.728000,45.000000,289.566000,84.949000,1235.333000,159.078000,554.385000,106.685000,92.305000,115.586000,7.474000
2013,33970.905000,33810.626000,9344.417000,3735.634000,149.662000,1166.185000,7591.708000,6256.183000,608.067000,185.747000,1829.764000,136.944000,68.254000,15.257000,142.122000,384.316000,68.700000,1224.048000,153.829000,469.878000,137.009000,142.895000,149.939000,10.338000
2014,47778.162000,47594.332000,10885.669000,21896.721000,226.362000,1071.885000,2645.760000,5919.795000,104.962000,1254.301000,1153.036000,157.358000,98.872000,270.416000,92.705000,549.073000,260.484000,207.146000,79.534000,378.989000,208.695000,132.560000,175.612000,8.216000
