年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,0.760000,0.430000,0.390000,0.920000,-,0.740000,0.030000,0.340000,-,0.260000,-,0.000000,0.780000,-,0.030000,-,0.090000,0.120000,-,0.030000,0.070000,0.130000,41.460000,6.770000
1999,1.190000,0.840000,0.100000,2.340000,-,0.390000,0.060000,1.210000,-,0.150000,-,0.230000,0.060000,0.040000,0.070000,-,0.090000,-,-,0.070000,0.070000,0.130000,38.260000,11.550000
2000,2.510000,1.930000,2.300000,5.450000,-,0.270000,0.370000,0.390000,0.260000,0.280000,-,0.170000,0.020000,0.030000,0.010000,0.430000,0.070000,0.010000,0.350000,0.250000,0.050000,0.190000,43.190000,1.940000
2001,1.660000,1.110000,0.990000,3.620000,-,0.220000,0.300000,0.830000,0.660000,0.990000,-,0.360000,0.010000,0.030000,0.200000,-,0.120000,0.040000,0.240000,0.160000,1.020000,-,40.940000,0.470000
2002,1.570000,1.410000,0.030000,5.470000,-,0.240000,0.070000,0.960000,0.200000,0.850000,0.030000,0.070000,0.020000,0.000000,0.070000,-,0.100000,0.030000,0.210000,0.300000,0.040000,-,17.530000,-
2003,1.450000,1.390000,0.300000,4.660000,-,0.190000,0.050000,1.840000,0.300000,0.290000,0.010000,0.090000,0.020000,0.030000,0.150000,1.500000,0.590000,0.030000,1.610000,0.830000,-,-,5.690000,1.480000
2004,1.890000,1.850000,0.780000,6.660000,-,0.180000,0.080000,1.560000,0.090000,0.510000,0.630000,0.090000,0.130000,0.020000,0.000000,0.360000,0.070000,0.040000,0.190000,0.240000,2.920000,-,5.140000,1.460000
2005,4.150000,4.150000,15.600000,9.150000,-,0.020000,0.070000,1.940000,0.530000,0.610000,-,0.190000,0.650000,0.020000,0.520000,-,0.250000,0.020000,0.140000,0.330000,-,-,5.720000,0.630000
2006,1.920000,1.880000,1.740000,5.850000,-,0.700000,0.050000,1.710000,1.200000,0.400000,-,0.240000,-,0.020000,0.030000,0.500000,0.020000,0.040000,0.190000,1.310000,-,0.020000,5.230000,1.840000
2007,2.670000,2.630000,5.080000,6.670000,2.920000,0.260000,0.360000,2.220000,3.050000,0.850000,-,0.170000,0.000000,0.020000,0.030000,-,0.020000,0.720000,0.290000,0.100000,-,0.020000,6.020000,1.310000
2008,1.270000,1.240000,0.330000,1.940000,8.060000,1.700000,0.050000,0.500000,2.080000,0.300000,-,0.190000,0.880000,0.020000,0.030000,-,0.130000,1.280000,0.170000,0.160000,-,0.010000,3.980000,0.120000
2009,1.470000,1.460000,0.320000,3.290000,8.480000,0.720000,0.730000,0.530000,1.250000,0.990000,0.010000,0.120000,0.010000,0.020000,0.030000,-,0.020000,0.550000,0.180000,0.150000,-,2.590000,2.380000,0.100000
2010,2.390000,2.350000,6.060000,5.570000,1.680000,1.870000,0.110000,0.830000,0.840000,1.490000,0.000000,0.120000,1.800000,0.020000,0.020000,-,0.050000,0.330000,0.160000,0.060000,-,2.550000,5.430000,0.040000
2011,2.950000,2.960000,7.780000,5.940000,3.070000,2.210000,0.030000,0.360000,0.710000,2.760000,0.000000,0.220000,5.560000,0.010000,0.020000,0.030000,0.080000,0.410000,0.150000,0.240000,-,0.030000,3.670000,0.100000
2012,3.920000,3.940000,6.240000,4.590000,9.790000,5.570000,3.020000,0.400000,1.570000,18.600000,3.600000,0.250000,2.840000,0.010000,0.030000,0.010000,0.020000,0.570000,0.150000,0.100000,-,0.040000,3.340000,0.110000
2013,3.100000,3.100000,1.080000,5.500000,6.260000,6.340000,0.320000,3.520000,5.030000,8.670000,0.890000,0.850000,1.330000,0.020000,0.040000,-,0.020000,0.420000,0.140000,0.150000,2.160000,0.020000,3.950000,0.030000
2014,3.190000,3.190000,0.040000,7.180000,0.370000,3.820000,0.580000,4.960000,4.030000,7.780000,1.340000,8.160000,2.840000,0.020000,0.040000,-,0.040000,1.450000,0.150000,0.180000,-,0.020000,3.230000,0.030000
