年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,6.200000,6.200000,3.580000,14.780000,5.150000,2.230000,3.130000,2.600000,0.120000,5.520000,0.620000,1.700000,1.010000,3.940000,3.620000,1.820000,1.420000,1.620000,4.560000,3.320000,3.930000,3.920000,7.100000,1.920000
1999,3.790000,3.800000,5.050000,6.490000,4.800000,1.080000,5.660000,1.190000,1.260000,2.190000,0.880000,0.910000,0.500000,4.680000,3.100000,0.140000,6.040000,1.910000,2.490000,5.170000,2.940000,4.530000,3.220000,0.900000
2000,2.940000,2.800000,1.470000,5.280000,4.920000,1.300000,1.880000,2.360000,0.640000,3.870000,0.940000,0.960000,0.560000,0.600000,0.360000,0.190000,1.080000,1.920000,4.200000,2.620000,2.500000,1.000000,13.290000,1.800000
2001,3.700000,3.630000,7.270000,6.270000,0.830000,1.430000,8.370000,2.160000,0.240000,1.490000,1.010000,0.310000,0.290000,13.900000,0.340000,0.100000,0.300000,0.510000,2.230000,1.010000,1.360000,0.920000,9.000000,0.910000
2002,1.840000,1.830000,0.740000,4.710000,1.440000,0.980000,0.690000,1.450000,1.760000,3.010000,1.050000,0.310000,0.290000,1.070000,0.270000,0.280000,0.950000,0.520000,2.240000,1.700000,0.980000,0.810000,2.850000,0.630000
2003,1.930000,1.930000,0.420000,5.380000,0.920000,0.610000,0.520000,1.570000,1.060000,4.480000,1.660000,0.460000,0.170000,2.620000,2.240000,0.330000,0.650000,0.590000,2.300000,1.380000,1.390000,0.790000,1.510000,2.120000
2004,1.820000,1.830000,1.170000,3.370000,2.150000,0.960000,0.770000,1.140000,1.160000,7.360000,0.930000,0.250000,0.710000,3.450000,1.540000,0.160000,0.210000,0.900000,2.710000,2.120000,3.230000,1.800000,1.180000,2.050000
2005,1.950000,1.960000,1.560000,1.820000,1.980000,1.090000,1.260000,2.770000,7.480000,6.360000,0.310000,0.310000,0.200000,6.110000,1.370000,0.620000,0.680000,0.500000,4.760000,0.780000,1.690000,1.380000,1.600000,0.340000
2006,1.610000,1.580000,1.540000,2.050000,0.410000,1.500000,1.150000,1.980000,0.310000,3.570000,1.000000,0.310000,0.670000,2.470000,0.980000,0.320000,0.250000,1.370000,7.080000,2.380000,1.100000,2.450000,4.210000,0.580000
2007,1.710000,1.710000,0.560000,2.270000,0.200000,2.130000,3.110000,0.770000,0.720000,12.090000,1.180000,0.190000,0.250000,1.010000,0.660000,0.910000,0.240000,2.370000,3.960000,4.120000,1.040000,0.980000,2.450000,0.510000
2008,1.800000,1.780000,1.170000,3.370000,0.510000,1.790000,1.400000,2.350000,0.120000,7.140000,0.530000,0.280000,0.440000,0.200000,0.480000,1.000000,0.160000,1.150000,3.400000,2.020000,0.810000,1.090000,3.110000,0.820000
2009,1.990000,1.980000,1.100000,2.550000,2.170000,3.920000,2.440000,1.950000,0.600000,9.780000,0.180000,0.180000,0.130000,1.000000,0.800000,0.270000,0.230000,0.770000,2.920000,1.850000,1.530000,0.990000,3.290000,0.560000
2010,1.790000,1.780000,1.520000,2.800000,0.930000,2.080000,2.150000,2.730000,0.230000,0.490000,0.980000,0.210000,0.170000,0.110000,0.610000,1.110000,0.310000,1.050000,5.180000,1.830000,1.940000,2.520000,2.520000,0.310000
2011,1.550000,1.560000,0.550000,2.050000,0.760000,1.420000,0.940000,2.280000,0.470000,10.920000,1.050000,0.300000,0.120000,0.010000,0.620000,3.600000,0.600000,0.570000,2.680000,2.000000,0.670000,1.110000,1.130000,0.260000
2012,2.640000,2.670000,2.630000,2.260000,0.810000,1.950000,7.500000,3.970000,7.790000,1.780000,1.390000,0.290000,0.160000,0.420000,0.210000,0.890000,0.630000,7.050000,2.000000,3.360000,0.630000,0.860000,0.860000,0.240000
2013,3.580000,3.620000,6.810000,2.330000,0.240000,1.140000,10.330000,5.580000,2.960000,0.900000,8.190000,0.360000,0.300000,0.060000,0.660000,1.230000,0.510000,6.860000,1.820000,2.800000,0.800000,1.250000,1.130000,0.310000
2014,4.870000,4.930000,7.640000,11.600000,0.400000,1.070000,3.700000,5.090000,0.540000,5.680000,5.150000,0.390000,0.420000,1.040000,0.430000,1.720000,1.890000,1.220000,1.000000,2.270000,1.230000,1.190000,1.420000,0.270000
