年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,224357.708000,222423.224000,24760.215000,45301.190000,13111.726000,20189.914000,17459.983000,26537.111000,5037.661000,4419.511000,6865.642000,11575.891000,4947.127000,6723.635000,5610.119000,9824.806000,3523.847000,4637.782000,1620.766000,3813.777000,3742.257000,2720.255000,1669.709000,264.774000
1999,228881.589000,227058.342000,26014.523000,45171.034000,14869.425000,20942.292000,18032.612000,28500.231000,5355.903000,4422.186000,6264.374000,11257.677000,4943.033000,6734.296000,5582.446000,9241.367000,3309.121000,4276.682000,1540.278000,3813.362000,4211.723000,2575.766000,1479.320000,343.926000
2000,335825.974000,333469.170000,40774.824000,73161.882000,21828.016000,31605.630000,24140.920000,40317.223000,6975.868000,7079.567000,9234.342000,14591.032000,7471.033000,8952.411000,9764.770000,11482.235000,3735.158000,5592.915000,1922.169000,6635.915000,4872.199000,3331.050000,1875.584000,481.219000
2001,241902.179000,239759.069000,28791.194000,44823.462000,14711.971000,25959.005000,16923.141000,29173.126000,5362.792000,5996.005000,5819.049000,11322.733000,6418.044000,6597.257000,7358.717000,9061.915000,3358.726000,4469.060000,1472.781000,5026.553000,3932.228000,3181.298000,1672.264000,470.846000
2002,258024.924000,255806.550000,28039.002000,54153.202000,18134.569000,26126.144000,16533.185000,32036.071000,5602.714000,5066.589000,5697.062000,11398.448000,6504.728000,7425.769000,6736.683000,11671.344000,3356.532000,4418.159000,1779.300000,4006.895000,4322.749000,2797.397000,1723.169000,495.203000
2003,264400.038000,262197.673000,32480.724000,53921.852000,16945.582000,27980.831000,17735.267000,32219.142000,5376.664000,5147.423000,6404.472000,11706.029000,6279.387000,7310.914000,7124.814000,11015.285000,3315.468000,4403.002000,1757.041000,4100.098000,4247.304000,2726.365000,1711.033000,491.331000
2004,261971.880000,259573.221000,29548.484000,51333.687000,19470.986000,28543.724000,16758.926000,32103.429000,5763.988000,5442.614000,5786.710000,12181.889000,5867.580000,7665.234000,7024.158000,11633.688000,3180.581000,4344.047000,1779.739000,4227.607000,4362.427000,2553.714000,1998.089000,400.569000
2005,263183.138000,261063.725000,29889.907000,51483.151000,19488.582000,26476.217000,17457.628000,33249.228000,6018.742000,5628.234000,5933.065000,11912.555000,5730.388000,7398.241000,7163.416000,11586.183000,3255.891000,4570.908000,1740.747000,4384.789000,5023.115000,2672.729000,1695.195000,424.216000
2006,262910.163000,260764.695000,29291.821000,51368.348000,19987.175000,25885.187000,16836.979000,33251.656000,5599.962000,5761.777000,5957.088000,11543.555000,6440.768000,6679.450000,7561.240000,12089.439000,4355.125000,4498.473000,1629.972000,4545.496000,4663.060000,2818.115000,1687.374000,458.093000
2007,270792.644000,268654.433000,30329.944000,53319.186000,20034.528000,26310.040000,17163.440000,34564.137000,5718.918000,6351.096000,6480.587000,12095.910000,6254.399000,6780.922000,7579.925000,12226.099000,4536.707000,4708.993000,1884.140000,4489.685000,4738.418000,3087.347000,1646.598000,491.612000
2008,282371.720000,279829.201000,32756.791000,58615.039000,18617.051000,27664.320000,17968.401000,35127.496000,6211.524000,6470.054000,7311.777000,11879.383000,6471.447000,6904.091000,7340.637000,12548.926000,4434.142000,4811.381000,1906.464000,4487.601000,5052.334000,3250.333000,2055.877000,486.641000
2009,300334.473000,297033.553000,34975.780000,58030.001000,22590.881000,27629.342000,18247.864000,35222.731000,6217.420000,7389.719000,11003.344000,13961.321000,7191.992000,8203.053000,8300.264000,13051.521000,4814.159000,5290.526000,1756.840000,4981.583000,4975.682000,3199.519000,2773.744000,527.174000
2010,310764.418000,307649.758000,42736.648000,56975.824000,21609.567000,28531.416000,18838.889000,40145.301000,8514.364000,7281.664000,11611.831000,15003.954000,7063.695000,7491.137000,6098.302000,10111.444000,4955.251000,5179.336000,1929.459000,5106.224000,5266.345000,3199.098000,2512.287000,602.372000
2011,322501.396000,319777.784000,39160.643000,58097.125000,22251.106000,32305.857000,26515.841000,44063.310000,6372.851000,10182.552000,9237.217000,15047.853000,7312.291000,8415.543000,6031.088000,10048.478000,3908.376000,5246.509000,1851.988000,4831.532000,5483.494000,3414.120000,2102.978000,620.633000
2012,334186.936000,331212.319000,41898.202000,62578.870000,23506.076000,33656.582000,27916.333000,45442.590000,6565.832000,7642.601000,9488.785000,14508.210000,7907.824000,8288.443000,6408.207000,10940.555000,3981.534000,5262.474000,1898.438000,4537.278000,5563.561000,3219.915000,2296.309000,678.307000
2013,336267.897000,333082.393000,44359.233000,63188.649000,24283.740000,32471.647000,28048.661000,43781.753000,6851.454000,7243.887000,9356.311000,15520.869000,7360.775000,8488.304000,6236.107000,11271.392000,3998.511000,5301.551000,1873.849000,4637.107000,5453.644000,3354.939000,2517.504000,667.999000
2014,349577.516000,346294.337000,47544.136000,63780.303000,28136.596000,33192.674000,27820.755000,45244.508000,8005.019000,8623.141000,8519.159000,16454.056000,7288.370000,8659.782000,6459.008000,10990.728000,4080.122000,5352.153000,1955.599000,4755.188000,5848.406000,3584.623000,2568.774000,714.404000
