年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,78809.972000,77963.910000,10184.446000,25252.134000,5428.173000,4316.258000,4660.019000,8614.999000,1133.018000,2631.065000,1726.698000,1551.532000,2505.341000,1189.016000,1548.328000,2148.505000,960.023000,862.512000,468.631000,1758.014000,556.755000,468.433000,735.337000,110.723000
1999,82096.810000,81119.722000,9864.403000,27810.302000,5205.031000,3865.373000,4794.358000,8613.629000,1189.863000,2729.500000,2604.197000,1287.366000,1835.986000,1585.137000,1887.800000,1662.765000,883.156000,812.779000,729.719000,2217.142000,1121.212000,419.993000,855.922000,121.165000
2000,105620.146000,104096.490000,8542.500000,42586.261000,4647.652000,5220.576000,5652.545000,13192.425000,1183.461000,3221.535000,2383.867000,1926.853000,1747.834000,2661.400000,1711.112000,2001.627000,962.963000,1050.307000,973.842000,2369.911000,1448.247000,611.564000,1334.057000,189.598000
2001,106544.310000,105173.885000,4965.599000,22574.251000,4089.743000,17482.996000,4270.935000,8986.845000,1293.207000,2632.511000,1612.947000,2844.817000,18541.815000,3124.448000,2300.788000,2678.314000,1060.436000,1442.741000,1012.585000,2364.200000,1050.596000,844.100000,1160.049000,210.374000
2002,74481.029000,73293.108000,4883.645000,21585.318000,3090.173000,4635.521000,3497.982000,9715.524000,1045.161000,2932.238000,1602.792000,2462.148000,2182.640000,2359.711000,2265.365000,2823.985000,1424.417000,1453.401000,932.936000,2105.258000,1591.793000,703.089000,993.607000,194.313000
2003,74182.404000,72899.520000,5732.606000,20106.497000,2685.725000,4985.666000,4156.041000,9617.061000,1092.141000,3089.509000,1687.298000,2877.533000,1788.412000,2314.947000,2415.863000,2597.734000,1303.804000,1521.271000,967.388000,1688.979000,1586.161000,684.876000,1076.616000,206.268000
2004,76695.361000,75202.603000,7503.922000,17006.648000,3246.939000,5642.830000,4648.788000,10259.830000,1536.308000,3292.615000,1878.612000,2837.643000,1928.029000,2614.921000,2776.408000,2634.966000,1348.389000,1693.325000,853.592000,1664.418000,1233.464000,600.947000,1300.719000,192.037000
2005,86348.125000,84956.421000,6912.134000,21759.124000,3674.441000,5720.252000,5135.000000,12964.047000,1834.284000,3333.031000,1952.171000,3148.434000,2010.316000,2596.817000,2963.040000,2866.127000,1347.835000,1766.367000,902.803000,1836.621000,1547.599000,685.971000,1177.585000,214.119000
2006,85567.869000,84367.548000,6972.195000,21451.306000,3260.193000,5957.479000,4905.391000,12387.283000,1592.260000,3603.878000,1965.550000,3537.577000,2030.195000,2499.336000,2769.564000,3180.197000,1346.443000,1743.467000,919.194000,1931.844000,1597.670000,716.516000,1019.498000,180.822000
2007,88575.762000,87396.134000,7458.993000,21683.122000,3493.327000,6069.806000,4871.583000,14065.420000,1654.206000,3545.223000,2009.318000,3197.686000,2121.922000,2541.173000,2902.998000,3203.969000,1519.996000,1750.112000,959.678000,1923.548000,1683.097000,740.948000,952.535000,227.092000
2008,95388.562000,94009.792000,8851.120000,22705.595000,4344.922000,6648.343000,5186.185000,14389.468000,1911.242000,3694.842000,2429.477000,3714.660000,2156.495000,2863.279000,3223.911000,3177.191000,1594.357000,1567.002000,927.770000,2095.880000,1760.334000,767.709000,1076.925000,301.844000
2009,106394.391000,104858.388000,12022.263000,23627.302000,4487.324000,7187.211000,5733.638000,16158.726000,2076.594000,3772.081000,2814.394000,4640.472000,2435.023000,2930.327000,2922.746000,4786.339000,1599.068000,1678.520000,1025.363000,2088.886000,1893.763000,978.337000,1271.121000,264.881000
2010,118709.218000,117161.786000,14609.623000,33315.464000,4592.181000,7428.272000,6491.256000,16426.492000,2147.522000,2189.532000,2811.344000,4514.998000,2499.104000,3567.474000,2929.000000,3851.867000,1786.547000,1758.308000,1069.367000,2268.315000,1905.745000,999.364000,1281.083000,266.349000
2011,179973.650000,178467.830000,31406.277000,43518.868000,10885.354000,17335.085000,16298.143000,24839.485000,2366.515000,2169.092000,2748.708000,4761.169000,2444.140000,3617.521000,2937.339000,4010.870000,1764.472000,1703.497000,1086.800000,2090.155000,1509.729000,974.599000,1287.703000,218.116000
2012,175438.261000,173884.569000,30460.242000,44720.842000,9701.028000,14829.445000,13631.587000,25058.758000,2234.025000,2555.827000,2801.232000,5007.875000,2516.908000,3556.903000,3010.492000,4080.282000,1843.246000,1776.169000,1052.160000,2236.997000,1746.280000,1064.262000,1335.878000,217.814000
2013,153057.782000,151424.513000,20901.258000,40119.140000,6675.182000,11875.245000,9476.997000,25940.499000,2137.899000,2655.052000,3116.483000,4847.649000,2534.644000,3892.475000,3086.129000,4032.714000,1878.807000,1870.383000,1043.572000,2079.608000,2067.932000,1192.836000,1413.228000,220.040000
2014,156077.949000,154342.837000,21273.403000,39547.608000,7254.062000,13320.367000,9465.348000,26548.986000,2296.163000,2678.833000,2750.491000,5400.958000,2572.868000,3810.753000,3077.410000,3957.873000,1896.576000,2005.200000,1087.602000,2134.882000,2068.051000,1195.395000,1516.006000,219.105000
