年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,93233.765000,91545.239000,4016.739000,18724.805000,3625.924000,6887.165000,6055.276000,11713.875000,1592.749000,2258.851000,3628.132000,5105.804000,3507.527000,4175.027000,5656.716000,4528.720000,2616.244000,2357.968000,1169.811000,1828.052000,1253.990000,841.854000,1247.793000,440.732000
1999,97053.279000,95061.823000,5336.370000,22072.523000,4029.452000,5856.022000,8004.066000,10192.350000,2280.257000,1822.517000,2511.695000,5040.561000,3554.837000,5330.419000,4986.769000,3977.700000,2077.507000,2292.646000,1139.135000,1758.195000,1514.237000,1284.553000,1566.995000,424.460000
2000,142996.428000,140870.608000,7405.533000,46357.080000,4129.123000,10638.919000,6813.981000,17063.847000,2858.751000,2369.940000,4289.339000,4485.319000,10815.799000,5331.474000,3444.337000,3433.009000,1815.112000,1625.910000,1834.900000,2480.283000,2369.420000,1308.522000,1583.909000,541.910000
2001,110940.910000,107525.431000,6084.885000,29887.948000,2706.070000,9434.509000,6159.134000,11673.411000,2203.645000,2128.953000,4429.664000,6602.624000,6871.074000,3566.858000,2489.397000,3084.058000,1115.358000,2310.679000,939.069000,2162.051000,2832.649000,843.388000,2364.883000,1050.595000
2002,114535.612000,111811.703000,5495.433000,29076.601000,5199.877000,6385.937000,5940.398000,16396.181000,2331.242000,3039.179000,5363.713000,2618.355000,7713.331000,3106.188000,4208.326000,3340.453000,1605.989000,1413.254000,1591.412000,2439.746000,3126.682000,1419.397000,1937.568000,786.340000
2003,115194.902000,111824.084000,10271.121000,24652.376000,4368.592000,8048.893000,7711.703000,19188.948000,1619.561000,1848.914000,3792.131000,3461.652000,4056.203000,4490.117000,3062.571000,3952.265000,2068.635000,1890.294000,1452.294000,2476.879000,2528.644000,882.282000,2476.266000,894.550000
2004,132449.755000,128229.299000,9947.726000,21538.175000,6225.130000,8784.399000,8079.092000,31447.556000,2806.010000,3057.006000,3089.876000,2774.082000,4142.177000,4504.125000,2213.355000,3642.189000,2089.062000,2443.667000,1754.166000,3392.904000,4705.200000,1593.392000,2747.513000,1472.942000
2005,142816.852000,137706.691000,7720.546000,22717.902000,5363.317000,12064.757000,8233.154000,41714.860000,3554.646000,2759.458000,4313.285000,3229.422000,2738.003000,3606.031000,4126.135000,3014.074000,1292.139000,2388.923000,1363.540000,3348.163000,2810.474000,1347.850000,3397.964000,1712.197000
2006,121871.812000,118183.715000,4242.939000,22100.174000,4436.780000,9930.203000,9280.687000,28359.843000,1991.851000,2806.733000,2547.418000,2770.979000,2899.473000,4686.168000,5327.228000,4385.810000,1986.629000,2856.487000,823.887000,2892.984000,2038.556000,1818.874000,2719.716000,968.380000
2007,114556.990000,110415.433000,5765.757000,22065.317000,3881.323000,10932.998000,8135.914000,14783.823000,2235.915000,2107.171000,2720.570000,3946.897000,6129.749000,4986.043000,6654.143000,4089.573000,1628.549000,3231.518000,1235.988000,1979.199000,2487.706000,1417.270000,2928.692000,1212.864000
2008,141519.697000,136931.013000,17865.961000,22272.481000,6063.881000,14191.522000,11151.873000,12861.162000,3051.629000,2084.244000,5522.078000,2819.551000,5026.406000,5618.587000,6978.408000,6988.562000,1757.985000,3240.833000,1715.410000,2120.478000,3611.232000,1988.723000,3762.731000,825.952000
2009,165478.566000,159669.689000,14994.884000,28593.462000,4358.699000,11468.962000,9455.122000,24479.911000,4654.492000,2388.748000,5888.709000,8481.222000,8115.490000,8245.047000,6358.732000,4784.363000,1957.521000,3203.112000,1789.148000,5848.360000,2293.224000,2310.471000,4872.039000,936.837000
2010,158756.567000,153791.540000,12561.443000,26230.477000,4730.861000,13662.051000,13419.838000,18978.195000,3547.597000,4984.105000,5648.799000,5043.397000,6167.639000,3838.968000,10038.566000,9518.206000,5100.826000,2435.629000,1616.895000,2777.753000,1328.384000,2161.901000,3807.246000,1157.780000
2011,150685.848000,143661.283000,19117.730000,25660.898000,6672.364000,10234.107000,11255.768000,14642.596000,4255.914000,5200.976000,4528.260000,4500.497000,3127.389000,4161.564000,5194.157000,8542.949000,2954.983000,3230.825000,2394.087000,3886.760000,1900.056000,2199.395000,5395.632000,1628.932000
2012,137309.301000,132415.452000,19202.052000,20831.565000,6242.384000,13072.217000,11404.691000,11267.186000,3464.019000,5093.401000,4071.920000,6524.111000,2562.036000,4435.495000,4431.425000,5616.538000,2710.057000,2844.076000,2653.471000,2499.222000,2259.959000,1229.618000,3579.701000,1314.147000
2013,157343.721000,152211.451000,25412.566000,20262.527000,8095.047000,26634.897000,11900.934000,9546.768000,3671.802000,3882.966000,4423.033000,5677.400000,4269.893000,4538.452000,4706.093000,4600.791000,2471.187000,3470.603000,2930.892000,2570.179000,1882.658000,1262.751000,3565.416000,1566.853000
2014,156735.107000,151929.891000,28489.978000,18280.227000,8362.932000,21414.063000,13347.686000,13105.518000,1945.534000,5090.567000,4935.608000,6317.188000,4192.974000,5386.823000,3687.423000,4141.012000,1781.566000,3267.016000,2097.878000,2967.338000,1959.158000,1159.393000,3466.831000,1338.384000
