年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,7651.044000,7651.044000,-,3381.007000,-,-,-,4270.036000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,7432.550000,7432.550000,-,2661.402000,-,-,-,4771.147000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,55231.620000,54997.343000,7970.379000,4098.421000,3577.178000,3822.296000,4979.850000,10128.569000,1520.039000,215.512000,437.555000,3239.780000,2876.789000,1989.480000,541.944000,2488.937000,1336.887000,1715.162000,466.345000,648.950000,1575.042000,1368.220000,234.277000,-
2001,50398.353000,50146.913000,5588.885000,10372.293000,2570.199000,2977.445000,4155.114000,7564.180000,1236.395000,325.900000,1730.136000,2341.970000,1431.781000,1833.191000,608.293000,2571.358000,1020.498000,1189.338000,354.757000,364.764000,1098.377000,812.030000,251.439000,-
2002,42828.553000,42513.029000,5316.290000,3143.841000,2315.739000,1847.955000,4675.235000,6935.642000,1340.560000,1451.881000,1643.345000,2745.188000,1653.277000,1489.220000,527.458000,695.388000,1690.804000,1199.469000,487.590000,1164.395000,1290.510000,899.233000,307.200000,8.323000
2003,44131.502000,43843.387000,5130.802000,3355.913000,2841.830000,2064.931000,4773.153000,6827.604000,1391.890000,1537.806000,1811.586000,3158.302000,1522.531000,1799.805000,318.950000,464.283000,1200.844000,1345.297000,478.411000,1439.448000,1368.807000,1011.185000,276.400000,11.714000
2004,52582.498000,52272.803000,6763.536000,3698.384000,3459.877000,2420.179000,6391.559000,6698.157000,1860.853000,1667.828000,2004.123000,3982.308000,2203.787000,2587.729000,342.801000,611.362000,1259.482000,1455.776000,544.604000,1635.829000,1471.982000,1212.638000,300.826000,8.868000
2005,56319.168000,55895.770000,6610.635000,4005.308000,3677.227000,5059.700000,6055.374000,7316.284000,1843.595000,1777.661000,1867.570000,3791.601000,2310.961000,2569.744000,402.926000,677.142000,1290.404000,1566.219000,577.199000,1732.177000,1581.572000,1182.462000,409.108000,14.289000
2006,57356.158000,57006.327000,6804.616000,4159.484000,3839.449000,5306.169000,6476.365000,7593.447000,1836.849000,1874.097000,2113.378000,3836.455000,2285.622000,2667.292000,449.609000,722.502000,436.068000,1609.801000,628.673000,1496.226000,1658.404000,1211.810000,336.610000,13.220000
2007,61266.873000,60888.970000,8490.150000,4289.177000,3833.295000,5480.194000,7316.048000,8131.435000,1880.656000,1897.263000,2353.040000,3888.487000,2323.732000,2662.435000,449.966000,732.808000,451.856000,1637.683000,616.395000,1521.188000,1684.847000,1248.304000,361.157000,16.745000
2008,63402.696000,62961.340000,8419.663000,4378.246000,4001.371000,6947.169000,7268.023000,8486.950000,1883.652000,2009.503000,2132.434000,3900.612000,2439.506000,2659.790000,463.957000,749.277000,373.158000,1667.769000,646.856000,1553.732000,1714.841000,1264.822000,417.622000,23.734000
2009,66300.801000,65865.261000,9489.743000,4457.352000,4387.675000,7002.613000,7450.235000,11042.396000,1877.600000,1916.168000,448.505000,3904.435000,2489.968000,2639.690000,742.538000,746.682000,420.290000,1678.146000,627.427000,1551.164000,1747.384000,1245.240000,414.464000,21.076000
2010,61287.099000,60830.951000,2544.537000,4747.166000,4608.843000,7452.520000,7910.362000,6792.173000,451.205000,2010.891000,484.821000,4162.086000,2779.120000,2845.095000,2288.203000,3914.267000,538.667000,1817.991000,666.476000,1637.134000,1828.745000,1350.640000,433.692000,22.455000
2011,70589.470000,70171.718000,11862.342000,4961.523000,4782.598000,8282.918000,3905.871000,5111.676000,2066.697000,541.231000,2444.690000,4356.037000,2572.543000,2857.934000,2380.894000,4716.657000,1658.927000,1905.873000,697.730000,1676.938000,1994.493000,1394.136000,392.186000,25.565000
2012,76697.840000,76276.917000,12500.686000,5122.553000,5004.340000,8642.360000,4461.782000,5244.839000,2148.105000,2290.471000,2756.837000,4736.583000,2913.169000,3094.007000,3221.591000,4367.157000,1743.619000,1981.540000,724.236000,1755.130000,2112.264000,1455.637000,396.404000,24.518000
2013,73368.491000,72932.656000,11990.935000,4840.914000,5149.673000,8521.179000,4197.696000,5105.519000,2051.463000,1892.311000,2690.514000,4398.025000,2450.375000,2809.649000,3115.433000,4065.011000,1780.258000,1896.778000,747.027000,1671.424000,2110.560000,1447.906000,406.548000,29.286000
2014,74981.543000,74496.267000,12100.170000,4908.230000,4905.401000,8621.136000,3684.694000,5484.591000,2074.609000,2294.567000,2776.478000,4713.353000,2552.867000,3045.869000,3319.252000,4433.429000,1833.374000,1927.460000,732.486000,1705.005000,2019.104000,1364.182000,451.905000,33.370000
